district,year,week,cases
"None 2021 None Up to Week 44 None Name: 0, dtype: object",2021,44,2020
"None 44 43 44 2020 2021 Name: 4, dtype: object",2021,44,43
"Colombo 18 276 295 Name: 7, dtype: object",2021,44,18
"Gampaha 11 211 188 Name: 9, dtype: object",2021,44,10
"Kalutara 6 83 99 Name: 11, dtype: object",2021,44,7
"Kandy 48 24 37 Name: 13, dtype: object",2021,44,30
"Matale 3 4 6 Name: 15, dtype: object",2021,44,2
"Nuwara Eliya 1 4 2 Name: 17, dtype: object",2021,44,1
"Galle Nil 19 20 Name: 19, dtype: object",2021,44,4
"Hambantota Nil 11 7 Name: 21, dtype: object",2021,44,1
"Matara 5 13 7 Name: 23, dtype: object",2021,44,5
"Jaffna 3 1 6 Name: 25, dtype: object",2021,44,3
"Kilinochchi 2 Nil Nil Name: 27, dtype: object",2021,44,1
"Batticaloa 96 6 3 Name: 35, dtype: object",2021,44,110
"Trincomalee 3 6 Nil Name: 39, dtype: object",2021,44,2
"Kalmunai 2 1 3 Name: 41, dtype: object",2021,44,2
"Kurunegala 4 33 53 Name: 43, dtype: object",2021,44,7
"Puttalam 4 6 11 Name: 45, dtype: object",2021,44,2
"Anuradhapura 2 6 6 334 301 Name: 47, dtype: object",2021,44,1
"Polonnaruwa Nil 4 3 Name: 48, dtype: object",2021,44,1
"Badulla 3 25 38 Name: 50, dtype: object",2021,44,6
"Moneragala 3 1 5 Name: 52, dtype: object",2021,44,6
"Rathnapura 11 17 21 Name: 54, dtype: object",2021,44,11
"Kegalle 13 6 16 Name: 56, dtype: object",2021,44,3
District,2021,44,43
Colombo,2021,44,16
Gampaha,2021,44,22
"None 2021 None Up to e-Week 43 None Name: 0, dtype: object",2021,43,2020
"None 43 42 43 2020 2021 Name: 4, dtype: object",2021,43,42
"Colombo 18 319 276 5821 7170 Name: 7, dtype: object",2021,43,27
"Gampaha 10 208 211 2971 3211 Name: 8, dtype: object",2021,43,22
"Kalutara 7 66 83 1673 1532 Name: 10, dtype: object",2021,43,3
"Kandy 30 40 24 3827 941 Name: 12, dtype: object",2021,43,53
"Matale 2 3 4 586 204 Name: 13, dtype: object",2021,43,1
"Nuwara Eliya 1 2 4 109 68 Name: 15, dtype: object",2021,43,1
"Galle 4 14 19 1372 422 Name: 17, dtype: object",2021,43,3
"Hambantota 1 10 11 322 344 Name: 19, dtype: object",2021,43,1
"Matara 5 9 13 533 563 Name: 21, dtype: object",2021,43,6
"Jaffna 3 Nil 1 1858 38 Name: 23, dtype: object",2021,43,9
"Batticaloa 110 9 6 2809 3404 Name: 33, dtype: object",2021,43,57
"Ampara Nil 1 1 309 74 Name: 35, dtype: object",2021,43,1
"Kalmunai 2 3 1 956 244 Name: 39, dtype: object",2021,43,7
"Kurunegala 7 42 33 778 1142 Name: 41, dtype: object",2021,43,5
"Puttalam 2 10 6 516 375 Name: 42, dtype: object",2021,43,6
"Anuradhapura 1 7 6 332 295 Name: 44, dtype: object",2021,43,1
"Moneragala 6 6 1 323 146 Name: 49, dtype: object",2021,43,5
"Rathnapura 11 26 17 1897 656 Name: 51, dtype: object",2021,43,11
"Kegalle 3 13 6 764 499 Name: 53, dtype: object",2021,43,8
"43 Name: 2, dtype: object",2021,43,42
"Colombo Dehiwala 16 Name: 4, dtype: object",2021,43,16
"None Piliyandala 16 Name: 5, dtype: object",2021,43,15
"None Homagama 20 Name: 6, dtype: object",2021,43,45
"None Kaduwela 11 Name: 7, dtype: object",2021,43,9
"None Kolonnawa 8 Name: 8, dtype: object",2021,43,7
"None PitaKotte/Nawala 10 Name: 9, dtype: object",2021,43,4
"None Maharagama 24 Name: 10, dtype: object",2021,43,26
"None MC Colombo 74 Name: 11, dtype: object",2021,43,82
"None Moratuwa 8 Name: 12, dtype: object",2021,43,17
"None Nugegoda 9 Name: 13, dtype: object",2021,43,6
"None Boralesgamuwa 9 Name: 14, dtype: object",2021,43,10
"None Kahathuduwa/Wethara 5 Name: 15, dtype: object",2021,43,10
"None Battaramulla 13 Name: 16, dtype: object",2021,43,20
"None Ratmalana 16 Name: 17, dtype: object",2021,43,14
"None Kesbewa 7 Name: 18, dtype: object",2021,43,2
"None Gothatuwa 18 Name: 19, dtype: object",2021,43,21
"G ampaha Attanagalla/Veyangoda 22 Name: 20, dtype: object",2021,43,12
"None Gampaha 19 Name: 21, dtype: object",2021,43,25
"None Ja-Ela 16 Name: 22, dtype: object",2021,43,12
"None Katana 19 Name: 23, dtype: object",2021,43,13
"None Kelaniya 20 Name: 24, dtype: object",2021,43,26
"None Dompe/Kiridiwela 7 Name: 25, dtype: object",2021,43,9
"None 2021 None Up to Week 45 None Name: 0, dtype: object",2021,45,2020
"None 45 44 45 2020 2021 Name: 4, dtype: object",2021,45,44
"Colombo 21 295 306 5860 7771 Name: 7, dtype: object",2021,45,18
"Gampaha 14 188 219 2996 3618 Name: 8, dtype: object",2021,45,11
"Kalutara 6 99 81 1685 1712 Name: 9, dtype: object",2021,45,6
"Kandy 33 37 54 3908 1032 Name: 10, dtype: object",2021,45,48
"Matale 4 6 5 593 215 Name: 11, dtype: object",2021,45,3
"Nuwara Eliya Nil 2 6 110 76 Name: 12, dtype: object",2021,45,1
"Matara 3 7 22 541 592 Name: 15, dtype: object",2021,45,5
"Jaffna 4 6 2 1865 46 Name: 16, dtype: object",2021,45,3
"Kilinochchi Nil Nil Nil 74 14 Name: 17, dtype: object",2021,45,2
"Batticaloa 77 3 4 2982 3411 Name: 21, dtype: object",2021,45,96
"Ampara 2 Nil Nil 312 74 Name: 22, dtype: object",2021,45,1
"Trincomalee 1 Nil 19 2262 167 Name: 23, dtype: object",2021,45,3
"Kalmunai 6 3 4 964 251 Name: 24, dtype: object",2021,45,2
"Kurunegala 2 53 58 784 1253 Name: 25, dtype: object",2021,45,4
"Puttalam 3 11 11 523 397 Name: 26, dtype: object",2021,45,4
"Anuradhapura 2 6 11 336 312 Name: 27, dtype: object",2021,45,2
"Badulla 6 38 49 443 426 Name: 29, dtype: object",2021,45,3
"Moneragala 2 5 1 328 152 Name: 30, dtype: object",2021,45,3
"Rathnapura 5 21 13 1913 690 Name: 31, dtype: object",2021,45,11
"Kegalle 9 16 22 786 537 Name: 32, dtype: object",2021,45,13
District,2021,45,44
Colombo,2021,45,16
Gampaha,2021,45,13
"None 2021 None Up to Week 45 None Name: 0, dtype: object",2021,46,2020
"None 46 45 46 2020 2021 Name: 4, dtype: object",2021,46,45
"Colombo 23 306 336 5883 8251 Name: 7, dtype: object",2021,46,21
"Gampaha 18 219 338 3014 4086 Name: 8, dtype: object",2021,46,14
"Kalutara 13 81 79 1698 1835 Name: 9, dtype: object",2021,46,6
"Kandy 31 54 3939 1109 Name: 10, dtype: object",2021,46,33
"Matale 2 5 595 232 Name: 12, dtype: object",2021,46,4
"Galle Nil 31 1379 507 Name: 16, dtype: object",2021,46,7
"Hambantota 1 9 8 325 377 Name: 18, dtype: object",2021,46,2
"Matara 6 22 21 547 621 Name: 19, dtype: object",2021,46,3
"Jaffna 4 2 1 1869 48 Name: 20, dtype: object",2021,46,4
"Batticaloa 78 4 10 3060 3425 Name: 25, dtype: object",2021,46,77
"Ampara Nil Nil 4 312 78 Name: 26, dtype: object",2021,46,2
"Trincomalee 4 19 9 2266 181 Name: 27, dtype: object",2021,46,1
"Kalmunai 1 4 5 965 256 Name: 28, dtype: object",2021,46,6
"Kurunegala 1 58 73 785 1338 Name: 29, dtype: object",2021,46,2
"Puttalam 3 11 23 526 423 Name: 30, dtype: object",2021,46,3
"Anuradhapura 1 11 2 337 317 Name: 31, dtype: object",2021,46,2
"Polonnaruwa Nil 2 8 173 92 Name: 32, dtype: object",2021,46,1
"Badulla 7 49 50 450 493 Name: 33, dtype: object",2021,46,6
"Moneragala 1 1 5 329 157 Name: 34, dtype: object",2021,46,2
"Rathnapura 9 13 1922 727 Name: 35, dtype: object",2021,46,5
"Kegalle 7 22 793 562 Name: 38, dtype: object",2021,46,9
District,2021,46,45
Colombo,2021,46,13
Gampaha,2021,46,27
"None 2021 None Up to Week 47 None Name: 0, dtype: object",2021,47,2020
"None 47 46 47 2020 2021 Name: 4, dtype: object",2021,47,46
"Colombo 18 336 371 5901 8622 Name: 5, dtype: object",2021,47,23
"Gampaha 19 338 299 3033 4385 Name: 6, dtype: object",2021,47,18
"Kalutara 5 79 127 1703 1962 Name: 7, dtype: object",2021,47,13
"Kandy 42 62 50 3981 1159 Name: 8, dtype: object",2021,47,31
"Matale 3 14 10 598 242 Name: 9, dtype: object",2021,47,2
"Hambantota 2 8 13 327 390 Name: 12, dtype: object",2021,47,1
"Matara 1 21 26 548 647 Name: 13, dtype: object",2021,47,6
"Jaffna 4 1 11 1873 59 Name: 14, dtype: object",2021,47,4
"Vavuniya Nil 1 2 284 42 Name: 17, dtype: object",2021,47,1
"Batticaloa 93 10 10 3153 3435 Name: 19, dtype: object",2021,47,78
"Trincomalee 2 9 17 2268 198 Name: 21, dtype: object",2021,47,4
"Kalmunai 3 5 2 968 278 Name: 22, dtype: object",2021,47,1
"Kurunegala 9 73 57 794 1340 Name: 23, dtype: object",2021,47,1
"Puttalam 2 23 32 528 480 Name: 24, dtype: object",2021,47,3
"Anuradhapura 2 2 13 339 349 Name: 25, dtype: object",2021,47,1
"Badulla 8 50 48 458 498 Name: 27, dtype: object",2021,47,7
