district,year,week,cases
Ampara,2021,3,1
Ampara,2021,43,1
Ampara,2021,45,1
Ampara,2021,46,2
Ampara,2022,4,3
Ampara,2022,6,3
Ampara,2022,7,1
Ampara,2022,8,1
Ampara,2022,9,1
Ampara,2022,10,2
Ampara,2022,12,1
Ampara,2022,13,2
Ampara,2022,14,1
Ampara,2022,15,2
Ampara,2022,16,3
Ampara,2022,17,2
Ampara,2022,18,3
Ampara,2022,21,2
Ampara,2022,23,4
Ampara,2022,25,6
Ampara,2022,26,4
Ampara,2022,27,5
Ampara,2022,29,4
Ampara,2022,30,7
Ampara,2022,37,1
Ampara,2022,38,1
Ampara,2022,39,1
Ampara,2022,40,2
Ampara,2022,41,3
Ampara,2022,42,2
Ampara,2022,43,1
Ampara,2022,44,1
Ampara,2022,47,4
Ampara,2022,48,4
Ampara,2022,49,5
Ampara,2022,50,13
Ampara,2022,51,7
Ampara,2022,52,5
Ampara,2023,1,7
Ampara,2023,3,7
Ampara,2023,4,8
Ampara,2023,5,4
Ampara,2023,6,3
Ampara,2023,7,2
Ampara,2023,9,1
Ampara,2023,10,1
Ampara,2023,11,2
Ampara,2023,12,1
Ampara,2023,13,2
Ampara,2023,14,5
Ampara,2023,16,5
Ampara,2023,17,7
Ampara,2023,18,1
Ampara,2023,19,2
Ampara,2023,21,7
Ampara,2023,22,4
Ampara,2023,23,2
Ampara,2023,24,8
Ampara,2023,25,5
Ampara,2023,26,7
Ampara,2023,27,9
Ampara,2023,28,6
Ampara,2023,29,3
Ampara,2023,30,5
Ampara,2023,32,2
Ampara,2023,33,3
Ampara,2023,34,3
Ampara,2023,37,2
Ampara,2023,38,1
Ampara,2023,39,2
Ampara,2023,41,3
Ampara,2023,42,3
Ampara,2023,43,1
Ampara,2023,44,1
Ampara,2023,45,4
Ampara,2023,46,2
Ampara,2023,47,2
Ampara,2023,48,7
Ampara,2023,49,6
Ampara,2023,50,1
Ampara,2023,51,4
Ampara,2024,1,8
Ampara,2024,2,3
Ampara,2024,3,3
Ampara,2024,4,3
Ampara,2024,6,2
Ampara,2024,7,9
Ampara,2024,8,1
Ampara,2024,9,3
Ampara,2024,10,3
Ampara,2024,11,3
Ampara,2024,12,2
Ampara,2024,13,5
Ampara,2024,14,4
Ampara,2024,15,24
Ampara,2024,16,13
Ampara,2024,17,7
Ampara,2024,18,2
Ampara,2024,19,4
Ampara,2024,20,4
Ampara,2024,21,12
Ampara,2024,22,9
Ampara,2024,23,6
Ampara,2024,24,9
Ampara,2024,25,5
Ampara,2024,27,6
Ampara,2024,28,8
Ampara,2024,29,4
Ampara,2024,30,11
Ampara,2024,31,3
Ampara,2024,32,3
Ampara,2024,33,1
Ampara,2024,34,1
Ampara,2024,35,3
Ampara,2024,37,1
Ampara,2024,38,4
Ampara,2024,39,4
Ampara,2024,40,4
Ampara,2024,42,5
Ampara,2024,43,1
Ampara,2024,44,5
Ampara,2024,45,6
Ampara,2024,46,8
Ampara,2024,47,3
Ampara,2024,48,4
Ampara,2024,49,5
Ampara,2024,50,6
Ampara,2024,51,13
Ampara,2024,52,6
Anuradhapura,2021,1,6
Anuradhapura,2021,2,3
Anuradhapura,2021,3,3
Anuradhapura,2021,43,1
Anuradhapura,2021,44,1
Anuradhapura,2021,45,2
Anuradhapura,2021,46,2
Anuradhapura,2021,47,1
Anuradhapura,2021,49,2
Anuradhapura,2021,50,3
Anuradhapura,2021,51,4
Anuradhapura,2022,4,3
Anuradhapura,2022,5,5
Anuradhapura,2022,6,1
Anuradhapura,2022,7,6
Anuradhapura,2022,8,5
Anuradhapura,2022,9,6
Anuradhapura,2022,10,3
Anuradhapura,2022,11,11
Anuradhapura,2022,12,4
Anuradhapura,2022,13,5
Anuradhapura,2022,14,13
Anuradhapura,2022,15,6
Anuradhapura,2022,16,12
Anuradhapura,2022,17,10
Anuradhapura,2022,18,5
Anuradhapura,2022,19,13
Anuradhapura,2022,21,1
Anuradhapura,2022,22,3
Anuradhapura,2022,23,24
Anuradhapura,2022,24,17
Anuradhapura,2022,25,18
Anuradhapura,2022,26,10
Anuradhapura,2022,27,11
Anuradhapura,2022,28,16
Anuradhapura,2022,29,16
Anuradhapura,2022,30,10
Anuradhapura,2022,31,3
Anuradhapura,2022,32,6
Anuradhapura,2022,33,7
Anuradhapura,2022,34,3
Anuradhapura,2022,35,5
Anuradhapura,2022,36,7
Anuradhapura,2022,37,3
Anuradhapura,2022,38,2
Anuradhapura,2022,40,4
Anuradhapura,2022,41,2
Anuradhapura,2022,42,3
Anuradhapura,2022,43,7
Anuradhapura,2022,44,6
Anuradhapura,2022,45,6
Anuradhapura,2022,46,11
Anuradhapura,2022,47,2
Anuradhapura,2022,48,13
Anuradhapura,2022,49,7
Anuradhapura,2022,50,11
Anuradhapura,2022,51,7
Anuradhapura,2022,52,11
Anuradhapura,2023,1,21
Anuradhapura,2023,3,15
Anuradhapura,2023,4,9
