district,target_year,target_week,horizon_weeks_ahead,predicted_cases,historical_avg_cases,rainfall_mm_forecast,temp_avg_c_forecast,beds_needed,blood_units_needed,risk
Ampara,2025,50,1,57.626500938082984,6.666666666666667,0.0,25.942857142857143,4.939414366121398,1.7287950281424895,critical
Ampara,2025,51,2,146.67043154761907,8.0,19.2,24.02,12.571751275510206,4.400112946428572,critical
Anuradhapura,2025,50,1,67.81159365092567,7.0,0.0,25.849999999999998,5.812422312936485,2.03434780952777,critical
Anuradhapura,2025,51,2,35.034801587301594,5.5,65.69999999999999,22.9,3.0029829931972793,1.051044047619048,critical
Badulla,2025,50,1,5.75135119047619,81.75,6.22,21.0,0.4929729591836734,0.1725405357142857,low
Badulla,2025,51,2,11.92577380952381,60.0,27.9,20.85,1.0222091836734692,0.3577732142857143,low
Batticaloa,2025,50,1,58.499179725961774,102.0,0.0,26.042857142857144,5.014215405082438,1.7549753917788533,low
Batticaloa,2025,51,2,228.1557083333333,129.66666666666666,15.600000000000001,24.330000000000002,19.55620357142857,6.844671249999999,high
Colombo,2025,50,1,62.85431488679293,485.25,5.83,26.692857142857143,5.38751270458225,1.8856294466037877,low
Colombo,2025,51,2,101.43174479166666,530.25,0.0,24.47,8.694149553571426,3.0429523437499997,low
Galle,2025,50,1,83.85165357081189,40.0,1.2,26.707142857142856,7.187284591783876,2.5155496071243566,critical
Galle,2025,51,2,173.69124203382506,53.333333333333336,0.0,25.419999999999998,14.887820745756432,5.210737261014752,critical
Gampaha,2025,50,1,88.39561114903643,171.0,4.69,26.964285714285715,7.576766669917407,2.651868334471093,low
Gampaha,2025,51,2,95.812578125,224.33333333333334,0.8999999999999999,24.470000000000002,8.212506696428571,2.87437734375,low
Hambantota,2025,50,1,58.18384304187192,17.666666666666668,0.05,27.05,4.987186546446163,1.7455152912561573,critical
Hambantota,2025,51,2,52.968203125,15.0,2.1,24.919999999999998,4.540131696428571,1.5890460937500002,critical
Jaffna,2025,50,1,69.8190936509257,54.0,0.0,25.857142857142858,5.984493741507917,2.094572809527771,moderate
Jaffna,2025,51,2,198.68054166666664,155.25,14.1,24.240000000000002,17.02976071428571,5.960416249999999,moderate
Kalutara,2025,50,1,45.746466052142395,102.5,7.210000000000001,26.785714285714285,3.921125661612205,1.3723939815642718,low
Kalutara,2025,51,2,142.610078125,110.5,0.5,24.35,12.223720982142856,4.27830234375,moderate
Kandy,2025,50,1,128.46728924632356,141.25,13.67,24.87857142857143,11.011481935399162,3.854018677389707,low
Kandy,2025,51,2,12.06327380952381,134.5,46.199999999999996,21.78,1.0339948979591838,0.36189821428571434,low
Kilinochchi,2025,50,1,76.34658921629726,2.0,0.0,25.478571428571428,6.5439933613969075,2.290397676488918,critical
Kilinochchi,2025,51,2,136.3056011904762,4.333333333333333,64.1,24.080000000000002,11.68333724489796,4.0891680357142866,critical
Kurunegala,2025,50,1,100.22209736967234,51.5,7.05,26.307142857142857,8.590465488829057,3.0066629210901703,high
Kurunegala,2025,51,2,47.23055059523809,53.0,38.0,23.58,4.048332908163265,1.4169165178571428,low
Mannar,2025,50,1,61.2705033731479,22.333333333333332,0.0,25.835714285714285,5.251757431984106,1.8381151011944372,critical
Mannar,2025,51,2,97.84369642857146,57.5,77.8,23.9,8.386602551020411,2.935310892857144,high
Matale,2025,50,1,210.1082958333334,6.0,11.22,24.22142857142857,18.009282500000005,6.303248875000001,critical
Matale,2025,51,2,35.1609375,8.0,59.2,22.14,3.013794642857143,1.054828125,critical
Matara,2025,50,1,50.96420305649183,17.333333333333332,1.92,27.264285714285712,4.368360261985014,1.5289260916947551,critical
Matara,2025,51,2,110.63499203382511,12.0,0.3,25.54,9.482999317185008,3.319049761014753,critical
Monaragala,2025,50,1,58.263661458333324,13.0,0.0,24.957142857142856,4.994028124999999,1.7479098437499996,critical
Monaragala,2025,51,2,104.3126875,6.0,47.10000000000001,23.919999999999998,8.941087499999998,3.1293806249999996,critical
Mullaitivu,2025,50,1,105.50576953962894,3.0,0.4,25.314285714285713,9.043351674825336,3.1651730861888683,critical
Mullaitivu,2025,51,2,183.63138690476194,2.0,37.9,24.2,15.739833163265308,5.508941607142859,critical
Nuwara Eliya,2025,50,1,6.960749999999999,6.25,20.21,17.992857142857144,0.5966357142857142,0.20882249999999997,moderate
Nuwara Eliya,2025,51,2,13.192785714285717,7.333333333333333,37.8,14.819999999999999,1.130810204081633,0.39578357142857157,high
Polonnaruwa,2025,50,1,79.9330146329365,5.0,0.2,25.22142857142857,6.8514012542517,2.3979904389880953,critical
Polonnaruwa,2025,51,2,40.60914781746033,5.0,65.39999999999999,23.39,3.480784098639457,1.21827443452381,critical
Puttalam,2025,50,1,90.64556733090974,123.5,0.0,26.335714285714285,7.76962005693512,2.7193670199272924,low
Puttalam,2025,51,2,140.73617934782607,119.5,53.599999999999994,24.55,12.06310108695652,4.222085380434782,moderate
Ratnapura,2025,50,1,33.26587116141497,,11.25,27.214285714285715,2.8513603852641403,0.9979761348424492,moderate
Ratnapura,2025,51,2,53.337078125,,1.5,24.869999999999997,4.571749553571428,1.60011234375,high
Trincomalee,2025,50,1,91.99335981740668,22.0,0.1,25.271428571428572,7.885145127206287,2.7598007945222007,critical
Trincomalee,2025,51,2,108.1793125,16.5,52.2,23.95,9.2725125,3.2453793749999997,critical
Vavuniya,2025,50,1,80.99883407738095,5.0,0.0,25.164285714285715,6.942757206632652,2.4299650223214284,critical
Vavuniya,2025,51,2,15.625383928571427,1.0,91.2,22.68,1.3393186224489795,0.4687615178571428,critical
