district,year,week,rainfall_mm,temp_avg_c,humidity_pct
Ampara,2009,53,10.87,26.560000000000002,79.79666666666667
Ampara,2010,1,28.119999999999997,26.038571428571426,82.01142857142857
Ampara,2010,2,47.34,26.66,81.60428571428572
Ampara,2010,3,6.01,26.172857142857143,77.27857142857144
Ampara,2010,4,22.43,26.54714285714286,81.92714285714285
Ampara,2010,5,21.349999999999998,26.514285714285712,79.61142857142856
Ampara,2010,6,1.34,26.66714285714286,79.21571428571428
Ampara,2010,7,40.63000000000001,27.025714285714287,78.46000000000001
Ampara,2010,8,0.0,26.74857142857143,78.64
Ampara,2010,9,0.0,26.689999999999998,75.85000000000001
Ampara,2010,10,0.0,28.044285714285714,76.62714285714286
Ampara,2010,11,0.51,28.17142857142857,76.39714285714285
Ampara,2010,12,52.75,28.445714285714285,76.61428571428571
Ampara,2010,13,30.83,28.917142857142856,77.35571428571428
Ampara,2010,14,39.41,28.67142857142857,78.64714285714285
Ampara,2010,15,62.19,28.835714285714285,81.74000000000001
Ampara,2010,16,36.22,29.23428571428571,80.35571428571428
Ampara,2010,17,75.44,28.97,79.53999999999999
Ampara,2010,18,44.42,29.382857142857144,79.93571428571428
Ampara,2010,19,21.49,29.708571428571428,77.57571428571428
Ampara,2010,20,37.94,28.54,83.02
Ampara,2010,21,5.82,29.314285714285713,81.45285714285716
Ampara,2010,22,1.7,29.517142857142858,76.85142857142857
Ampara,2010,23,13.91,28.45,77.9342857142857
Ampara,2010,24,41.95,28.252857142857145,79.04857142857144
Ampara,2010,25,13.32,28.692857142857143,76.58285714285715
Ampara,2010,26,6.68,28.548571428571428,74.13428571428572
Ampara,2010,27,30.59,28.117142857142856,79.61285714285714
Ampara,2010,28,25.13,28.439999999999998,74.83142857142857
Ampara,2010,29,9.09,28.68857142857143,73.29142857142857
Ampara,2010,30,1.53,28.744285714285716,71.11285714285715
Ampara,2010,31,0.38,29.532857142857146,70.41571428571429
Ampara,2010,32,13.23,29.278571428571432,72.00571428571429
Ampara,2010,33,56.44,28.16142857142857,73.09142857142857
Ampara,2010,34,29.57,28.622857142857146,73.72285714285714
Ampara,2010,35,14.639999999999999,28.657142857142855,72.48714285714286
Ampara,2010,36,15.77,28.858571428571427,72.48428571428572
Ampara,2010,37,24.71,28.897142857142857,72.45
Ampara,2010,38,50.07,27.532857142857143,78.14857142857143
Ampara,2010,39,103.34,27.13,82.78285714285714
Ampara,2010,40,20.83,28.198571428571427,79.71000000000001
Ampara,2010,41,1.34,28.071428571428573,75.82428571428571
Ampara,2010,42,2.2399999999999998,28.47,71.85142857142857
Ampara,2010,43,81.23,27.505714285714287,80.08
Ampara,2010,44,49.38,27.018571428571427,80.76857142857143
