district,year,week,cases,rainfall_mm,temp_avg_c,humidity_pct
Ampara,2021,3,1,27.89,26.58428571428572,82.94857142857143
Ampara,2021,43,1,195.91,27.255714285714284,82.52285714285713
Ampara,2021,45,1,304.0,27.307142857142857,82.57714285714285
Ampara,2021,46,2,53.42,27.624285714285715,79.61857142857143
Ampara,2022,4,3,6.02,26.172857142857143,77.99142857142856
Ampara,2022,6,3,75.96000000000001,26.48,83.93142857142857
Ampara,2022,7,1,49.74,26.55,81.11285714285714
Ampara,2022,8,1,42.95,27.204285714285717,80.94428571428571
Ampara,2022,9,1,88.97,27.08857142857143,82.42999999999999
Ampara,2022,10,2,14.93,27.288571428571423,81.4157142857143
Ampara,2022,12,1,6.93,28.17571428571429,80.30714285714285
Ampara,2022,13,2,8.91,28.147142857142857,79.97571428571428
Ampara,2022,14,1,102.32,27.965714285714284,78.8157142857143
Ampara,2022,15,2,86.02,28.492857142857144,81.33714285714287
Ampara,2022,16,3,32.29,28.574285714285715,81.14857142857143
Ampara,2022,17,2,43.13,28.81,80.34714285714287
Ampara,2022,18,3,42.25,29.41,78.07714285714285
Ampara,2022,21,2,37.58,28.785714285714285,81.00142857142858
Ampara,2022,23,4,13.94,28.360000000000003,80.41
Ampara,2022,25,6,9.79,28.344285714285714,78.53142857142858
Ampara,2022,26,4,8.19,28.535714285714285,79.05714285714285
Ampara,2022,27,5,9.97,28.06714285714286,77.0942857142857
Ampara,2022,29,4,23.01,28.59142857142857,77.25285714285714
Ampara,2022,30,7,53.64,27.837142857142855,77.88285714285713
Ampara,2022,37,1,0.8300000000000001,28.34,76.83
Ampara,2022,38,1,1.29,28.78428571428572,74.21714285714286
Ampara,2022,39,1,14.94,28.717142857142857,74.02142857142857
Ampara,2022,40,2,28.96,28.360000000000003,73.80857142857144
Ampara,2022,41,3,114.46,27.857142857142858,79.19714285714285
Ampara,2022,42,2,67.47,27.49571428571429,81.21000000000001
Ampara,2022,43,1,43.68,27.665714285714284,75.95142857142856
Ampara,2022,44,1,72.02,26.904285714285717,83.36428571428571
Ampara,2022,47,4,2.02,26.935714285714287,78.25
Ampara,2022,48,4,37.58,26.842857142857145,80.50571428571428
Ampara,2022,49,5,75.47,25.964285714285715,83.35857142857142
Ampara,2022,50,13,65.55,26.5,82.55999999999999
Ampara,2022,51,7,211.02,26.43285714285714,90.50428571428571
Ampara,2022,52,5,13.04,26.18857142857143,81.73571428571428
Ampara,2023,1,7,30.74,26.297142857142852,82.0657142857143
Ampara,2023,3,7,21.24,25.93428571428572,78.47142857142856
Ampara,2023,4,8,72.75,25.872857142857143,82.02857142857144
Ampara,2023,5,4,46.76,26.375714285714285,86.98285714285714
Ampara,2023,6,3,13.76,26.23,81.03142857142858
Ampara,2023,7,2,23.11,25.961428571428574,79.36714285714285
Ampara,2023,9,1,33.39,27.174285714285716,79.66
Ampara,2023,10,1,21.77,27.16857142857143,81.82714285714285
Ampara,2023,11,2,13.3,27.517142857142854,81.55571428571429
Ampara,2023,12,1,16.77,28.10142857142857,77.82142857142857
Ampara,2023,13,2,19.98,28.24571428571429,75.62285714285714
Ampara,2023,14,5,17.34,28.504285714285714,76.2942857142857
Ampara,2023,16,5,10.07,29.69,75.22714285714287
Ampara,2023,17,7,48.8,29.337142857142855,76.26571428571428
Ampara,2023,18,1,111.57,28.05,80.55142857142857
Ampara,2023,19,2,67.27,28.66,79.92428571428572
Ampara,2023,21,7,6.25,29.54,77.14571428571428
Ampara,2023,22,4,19.3,29.71857142857143,77.46714285714286
Ampara,2023,23,2,9.43,29.59714285714286,77.48428571428572
Ampara,2023,24,8,31.72,29.35142857142857,77.28857142857143
Ampara,2023,25,5,7.84,29.095714285714287,78.98142857142857
Ampara,2023,26,7,42.5,28.807142857142857,77.43142857142857
Ampara,2023,27,9,12.95,28.505714285714284,76.13571428571429
Ampara,2023,28,6,9.57,29.307142857142857,76.25857142857141
Ampara,2023,29,3,2.11,29.41857142857143,71.64571428571428
Ampara,2023,30,5,2.97,29.684285714285718,71.48857142857143
Ampara,2023,32,2,13.77,29.56714285714286,73.80571428571429
Ampara,2023,33,3,0.31,29.768571428571427,69.20571428571428
Ampara,2023,34,3,5.470000000000001,29.504285714285714,74.08857142857143
Ampara,2023,37,2,35.66,28.482857142857146,78.60285714285715
Ampara,2023,38,1,69.12,28.082857142857144,81.45714285714287
Ampara,2023,39,2,67.51,28.12142857142857,81.60285714285715
Ampara,2023,41,3,129.03,27.685714285714287,83.25142857142858
Ampara,2023,42,3,160.79,27.41142857142857,82.08714285714287
Ampara,2023,43,1,29.12,27.50714285714286,79.54142857142857
Ampara,2023,44,1,76.25,27.43,82.3157142857143
Ampara,2023,45,4,55.59,27.527142857142856,81.3442857142857
Ampara,2023,46,2,81.35,27.624285714285715,85.59142857142857
Ampara,2023,47,2,36.42,27.86428571428572,81.20857142857143
Ampara,2023,48,7,183.27,27.39,88.26285714285714
Ampara,2023,49,6,72.01,27.49857142857143,88.0442857142857
Ampara,2023,50,1,184.17,27.46,87.08714285714287
Ampara,2023,51,4,34.85,27.40428571428572,83.88428571428572
Ampara,2024,1,8,99.22,27.285714285714285,84.36
Ampara,2024,2,3,92.35,26.89,83.2
Ampara,2024,3,3,33.94,26.702857142857145,80.89142857142858
Ampara,2024,4,3,5.529999999999999,26.915714285714284,75.44571428571429
Ampara,2024,6,2,1.99,26.94428571428572,78.35714285714286
Ampara,2024,7,9,6.67,27.562857142857144,81.26714285714286
Ampara,2024,8,1,4.7,27.755714285714284,79.87428571428572
Ampara,2024,9,3,8.84,27.74428571428572,80.48285714285714
Ampara,2024,10,3,2.4,27.367142857142856,76.96000000000001
Ampara,2024,11,3,1.33,27.97142857142857,75.05142857142857
Ampara,2024,12,2,23.3,28.382857142857144,78.89142857142858
Ampara,2024,13,5,6.9,28.754285714285714,77.05428571428571
