district,date,rain_sum,precipitation_sum,daylight_duration,uv_index_max,temp_max,temp_min,temp_daily_avg,humidity_daily_avg,rain_daily_total,precip_prob_daily_avg,dew_point_avg
Colombo,2025-12-06,0.0,1.4,42261.01,7.3,28.5,26.2,27.041666666666668,83.58333333333333,0.0,24.583333333333332,23.991666666666664
Colombo,2025-12-07,0.0,4.1,42253.49,7.55,27.9,25.9,27.004166666666666,83.95833333333333,0.0,23.75,24.041666666666668
Colombo,2025-12-08,0.0,1.4,42246.47,7.95,28.8,25.5,27.087500000000002,82.79166666666667,0.0,6.458333333333333,23.866666666666664
Colombo,2025-12-09,0.0,3.5,42239.95,7.35,28.1,26.0,26.941666666666666,82.79166666666667,0.0,31.083333333333332,23.729166666666668
Colombo,2025-12-10,0.0,13.1,42233.95,7.25,28.1,25.6,26.670833333333334,85.75,0.0,40.125,24.070833333333336
Colombo,2025-12-11,0.0,12.9,42228.48,7.8,28.5,25.7,26.891666666666666,84.91666666666667,0.0,22.291666666666668,24.120833333333334
Colombo,2025-12-12,0.0,7.3,42223.57,7.2,27.8,25.4,26.71666666666667,84.375,0.0,18.0,23.837500000000002
Gampaha,2025-12-06,0.0,0.8,42210.71,7.5,32.4,23.2,26.808333333333334,82.41666666666667,0.0,15.833333333333334,23.22083333333333
Gampaha,2025-12-07,0.0,2.2,42202.9,7.35,32.5,23.5,26.925,81.75,0.0,23.041666666666668,23.21666666666667
Gampaha,2025-12-08,0.0,0.0,42195.6,7.9,32.2,23.2,26.958333333333332,78.875,0.0,7.75,22.604166666666668
Gampaha,2025-12-09,0.0,6.2,42188.83,6.6,29.6,24.1,26.054166666666664,84.29166666666667,0.0,25.75,23.075
Gampaha,2025-12-10,0.0,10.5,42182.6,7.45,30.4,23.0,26.120833333333334,85.625,0.0,35.25,23.3625
Gampaha,2025-12-11,0.0,5.4,42176.92,5.75,31.5,23.3,26.59583333333333,83.91666666666667,0.0,27.625,23.416666666666668
Gampaha,2025-12-12,0.0,0.0,42171.82,6.85,32.3,23.0,26.666666666666668,80.04166666666667,0.0,22.5,22.575
Kalutara,2025-12-06,0.0,7.9,42311.27,7.75,29.8,23.6,26.099999999999998,90.0,0.0,30.958333333333332,24.241666666666664
Kalutara,2025-12-07,0.0,0.2,42304.04,7.35,30.0,23.2,26.337500000000002,86.70833333333333,0.0,21.5,23.75
Kalutara,2025-12-08,0.0,0.1,42297.29,7.85,32.4,23.1,26.808333333333334,82.95833333333333,0.0,17.541666666666668,23.316666666666666
Kalutara,2025-12-09,0.0,8.0,42291.02,7.4,30.2,23.7,26.208333333333332,85.25,0.0,28.5,23.395833333333332
