district,date,PRECTOTCORR,T2M,RH2M
Ampara,2010-01-01,0.52,26.52,78.92
Ampara,2010-01-02,1.26,26.85,78.54
Ampara,2010-01-03,9.09,26.31,81.93
Ampara,2010-01-04,0.97,25.7,78.28
Ampara,2010-01-05,0.07,25.28,76.6
Ampara,2010-01-06,0.1,25.72,75.07
Ampara,2010-01-07,1.76,25.86,86.65
Ampara,2010-01-08,11.95,26.47,90.74
Ampara,2010-01-09,9.52,26.45,85.39
Ampara,2010-01-10,3.75,26.79,81.35
Ampara,2010-01-11,1.61,26.56,81.27
Ampara,2010-01-12,6.99,26.46,80.64
Ampara,2010-01-13,22.36,26.49,83.8
Ampara,2010-01-14,1.4,26.34,84.01
Ampara,2010-01-15,0.7,26.43,81.12
Ampara,2010-01-16,9.08,27.24,82.02
Ampara,2010-01-17,5.2,27.1,78.37
Ampara,2010-01-18,5.39,26.93,80.36
Ampara,2010-01-19,0.55,26.73,80.54
Ampara,2010-01-20,0.06,26.36,76.8
Ampara,2010-01-21,0.01,26.01,77.42
Ampara,2010-01-22,0.0,25.66,78.76
Ampara,2010-01-23,0.0,25.55,77.73
Ampara,2010-01-24,0.0,25.97,69.34
Ampara,2010-01-25,0.0,25.9,76.06
Ampara,2010-01-26,0.43,25.89,84.38
Ampara,2010-01-27,3.22,26.82,83.68
Ampara,2010-01-28,1.46,26.92,80.35
Ampara,2010-01-29,3.13,26.67,82.17
Ampara,2010-01-30,4.87,26.77,83.42
Ampara,2010-01-31,9.32,26.86,83.43
Ampara,2010-02-01,13.95,26.93,83.8
Ampara,2010-02-02,6.42,26.8,82.53
Ampara,2010-02-03,0.51,26.45,79.7
Ampara,2010-02-04,0.35,26.21,79.42
Ampara,2010-02-05,0.12,26.31,80.5
Ampara,2010-02-06,0.0,26.52,77.1
Ampara,2010-02-07,0.0,26.38,74.23
Ampara,2010-02-08,0.0,25.95,76.78
Ampara,2010-02-09,0.01,26.11,78.01
Ampara,2010-02-10,0.55,26.73,83.12
Ampara,2010-02-11,0.12,27.22,80.08
Ampara,2010-02-12,0.47,27.1,79.33
Ampara,2010-02-13,0.18,26.96,80.32
Ampara,2010-02-14,0.01,26.6,76.87
Ampara,2010-02-15,0.02,26.79,74.06
Ampara,2010-02-16,32.56,27.16,83.72
Ampara,2010-02-17,8.05,27.32,80.44
Ampara,2010-02-18,0.0,26.95,78.37
Ampara,2010-02-19,0.0,27.12,74.17
Ampara,2010-02-20,0.0,26.87,79.29
Ampara,2010-02-21,0.0,26.97,79.17
Ampara,2010-02-22,0.0,27.14,80.94
Ampara,2010-02-23,0.0,26.65,77.49
Ampara,2010-02-24,0.0,26.51,76.81
Ampara,2010-02-25,0.0,26.46,78.47
Ampara,2010-02-26,0.0,26.51,79.53
Ampara,2010-02-27,0.0,26.98,78.0
Ampara,2010-02-28,0.0,26.99,79.24
Ampara,2010-03-01,0.0,26.58,76.26
Ampara,2010-03-02,0.0,26.18,74.33
Ampara,2010-03-03,0.0,25.74,75.27
Ampara,2010-03-04,0.0,26.02,73.76
Ampara,2010-03-05,0.0,27.28,76.15
Ampara,2010-03-06,0.0,27.91,77.17
Ampara,2010-03-07,0.0,27.12,78.01
Ampara,2010-03-08,0.0,27.72,77.93
Ampara,2010-03-09,0.0,27.74,75.75
Ampara,2010-03-10,0.0,27.64,77.39
Ampara,2010-03-11,0.0,28.35,72.92
Ampara,2010-03-12,0.0,28.42,73.3
Ampara,2010-03-13,0.0,28.39,79.97
Ampara,2010-03-14,0.0,28.05,79.13
Ampara,2010-03-15,0.0,27.92,75.8
Ampara,2010-03-16,0.0,27.82,75.71
Ampara,2010-03-17,0.0,27.82,75.14
Ampara,2010-03-18,0.15,28.42,72.93
Ampara,2010-03-19,0.24,28.56,77.63
Ampara,2010-03-20,0.08,28.37,78.22
Ampara,2010-03-21,0.04,28.29,79.35
Ampara,2010-03-22,0.0,28.24,75.23
Ampara,2010-03-23,0.01,28.53,74.16
Ampara,2010-03-24,5.86,28.27,75.45
Ampara,2010-03-25,6.6,28.37,76.36
Ampara,2010-03-26,10.46,29.02,77.75
Ampara,2010-03-27,23.05,28.41,80.22
Ampara,2010-03-28,6.77,28.28,77.13
Ampara,2010-03-29,5.82,28.72,77.17
Ampara,2010-03-30,13.04,28.65,80.77
Ampara,2010-03-31,6.79,29.35,75.0
Ampara,2010-04-01,0.65,29.22,74.85
Ampara,2010-04-02,0.21,29.02,76.58
Ampara,2010-04-03,1.44,29.1,77.11
Ampara,2010-04-04,2.88,28.36,80.01
Ampara,2010-04-05,4.37,28.82,76.14
Ampara,2010-04-06,0.89,28.2,71.22
Ampara,2010-04-07,5.39,28.44,76.44
Ampara,2010-04-08,4.05,28.87,82.84
Ampara,2010-04-09,10.92,28.67,83.04
Ampara,2010-04-10,8.83,28.56,80.78
Ampara,2010-04-11,4.96,29.14,80.07
Ampara,2010-04-12,2.06,28.96,82.36
Ampara,2010-04-13,1.15,29.26,78.27
Ampara,2010-04-14,0.41,28.95,79.93
