district,date,PRECTOTCORR,T2M,RH2M
Anuradhapura,2010-01-01,0.13,23.98,85.98
Anuradhapura,2010-01-02,0.23,24.35,87.06
Anuradhapura,2010-01-03,0.32,23.73,87.59
Anuradhapura,2010-01-04,0.07,22.68,84.25
Anuradhapura,2010-01-05,0.0,21.96,83.57
Anuradhapura,2010-01-06,0.07,22.72,84.09
Anuradhapura,2010-01-07,0.46,23.86,87.51
Anuradhapura,2010-01-08,10.7,24.99,93.07
Anuradhapura,2010-01-09,5.92,25.31,90.23
Anuradhapura,2010-01-10,8.57,24.72,89.23
Anuradhapura,2010-01-11,7.45,25.07,88.5
Anuradhapura,2010-01-12,12.04,24.97,89.15
Anuradhapura,2010-01-13,13.27,25.13,89.87
Anuradhapura,2010-01-14,0.07,24.83,88.65
Anuradhapura,2010-01-15,0.06,24.12,85.29
Anuradhapura,2010-01-16,2.7,24.95,88.22
Anuradhapura,2010-01-17,0.33,24.76,85.22
Anuradhapura,2010-01-18,0.11,24.49,85.6
Anuradhapura,2010-01-19,0.0,24.11,85.49
Anuradhapura,2010-01-20,0.0,23.76,84.85
Anuradhapura,2010-01-21,0.0,23.24,84.01
Anuradhapura,2010-01-22,0.0,22.47,83.18
Anuradhapura,2010-01-23,0.0,22.4,83.82
Anuradhapura,2010-01-24,0.01,22.89,82.28
Anuradhapura,2010-01-25,0.0,23.4,84.18
Anuradhapura,2010-01-26,0.02,24.1,86.36
Anuradhapura,2010-01-27,2.12,25.04,88.15
Anuradhapura,2010-01-28,0.33,24.85,84.88
Anuradhapura,2010-01-29,0.14,24.57,83.45
Anuradhapura,2010-01-30,0.1,24.64,85.1
Anuradhapura,2010-01-31,0.12,24.55,85.07
Anuradhapura,2010-02-01,0.47,24.75,85.47
Anuradhapura,2010-02-02,0.14,24.51,83.61
Anuradhapura,2010-02-03,0.01,23.95,82.94
Anuradhapura,2010-02-04,0.01,23.73,83.38
Anuradhapura,2010-02-05,0.0,24.13,83.46
Anuradhapura,2010-02-06,0.0,24.23,80.39
Anuradhapura,2010-02-07,0.0,23.51,80.37
Anuradhapura,2010-02-08,0.0,22.95,81.39
Anuradhapura,2010-02-09,0.0,23.19,84.97
Anuradhapura,2010-02-10,0.02,24.73,85.66
Anuradhapura,2010-02-11,0.01,25.28,84.09
