district,date,PRECTOTCORR,T2M,RH2M
Colombo,2010-01-01,0.08,25.01,82.05
Colombo,2010-01-02,0.63,24.97,85.01
Colombo,2010-01-03,2.73,24.93,86.1
Colombo,2010-01-04,0.11,24.39,81.95
Colombo,2010-01-05,0.0,23.47,79.04
Colombo,2010-01-06,0.0,23.51,80.25
Colombo,2010-01-07,0.16,24.54,81.73
Colombo,2010-01-08,5.5,24.96,88.34
Colombo,2010-01-09,16.61,25.76,87.4
Colombo,2010-01-10,1.04,25.55,82.32
Colombo,2010-01-11,4.22,26.04,81.22
Colombo,2010-01-12,18.25,26.1,82.83
Colombo,2010-01-13,13.17,26.48,82.33
Colombo,2010-01-14,2.31,26.11,81.55
Colombo,2010-01-15,0.05,25.34,81.6
Colombo,2010-01-16,3.16,25.66,84.68
Colombo,2010-01-17,8.38,25.48,84.03
Colombo,2010-01-18,1.29,25.3,83.87
Colombo,2010-01-19,5.34,25.45,82.34
Colombo,2010-01-20,0.31,24.82,80.43
Colombo,2010-01-21,0.05,24.58,80.8
Colombo,2010-01-22,0.0,24.14,79.7
Colombo,2010-01-23,0.0,24.0,79.46
Colombo,2010-01-24,0.02,24.66,77.03
Colombo,2010-01-25,0.05,24.77,76.68
Colombo,2010-01-26,0.03,25.18,80.92
Colombo,2010-01-27,1.4,25.9,83.86
Colombo,2010-01-28,0.3,25.75,83.28
Colombo,2010-01-29,0.71,25.6,82.16
Colombo,2010-01-30,1.34,25.8,84.5
Colombo,2010-01-31,5.47,25.92,83.91
Colombo,2010-02-01,11.35,25.94,84.52
Colombo,2010-02-02,6.95,25.87,84.09
Colombo,2010-02-03,1.28,25.73,81.63
Colombo,2010-02-04,0.5,25.56,80.13
Colombo,2010-02-05,0.01,25.64,80.05
Colombo,2010-02-06,0.0,25.17,79.57
Colombo,2010-02-07,0.01,24.84,78.8
Colombo,2010-02-08,0.0,24.76,76.98
Colombo,2010-02-09,0.44,25.45,75.81
Colombo,2010-02-10,2.34,26.45,80.53
Colombo,2010-02-11,6.17,26.65,81.92
Colombo,2010-02-12,0.1,26.07,80.68
Colombo,2010-02-13,3.42,26.42,81.02
Colombo,2010-02-14,0.18,26.14,76.26
Colombo,2010-02-15,0.0,26.09,72.61
Colombo,2010-02-16,4.02,26.0,81.29
Colombo,2010-02-17,3.92,26.48,84.48
Colombo,2010-02-18,0.17,26.56,77.3
Colombo,2010-02-19,0.0,26.82,77.78
Colombo,2010-02-20,0.01,26.7,75.3
Colombo,2010-02-21,0.0,26.75,72.92
Colombo,2010-02-22,0.0,26.76,74.9
Colombo,2010-02-23,0.02,26.57,68.72
Colombo,2010-02-24,0.77,26.68,74.21
Colombo,2010-02-25,0.18,27.01,75.19
Colombo,2010-02-26,0.0,27.16,72.03
Colombo,2010-02-27,0.0,27.28,66.6
Colombo,2010-02-28,0.0,27.09,68.86
