district,date,PRECTOTCORR,T2M,RH2M
Galle,2010-01-01,0.02,27.11,74.32
Galle,2010-01-02,1.86,27.23,76.54
Galle,2010-01-03,6.51,26.82,80.87
Galle,2010-01-04,1.04,26.23,78.93
Galle,2010-01-05,0.01,25.97,73.95
Galle,2010-01-06,0.0,26.04,72.5
Galle,2010-01-07,0.24,26.52,75.61
Galle,2010-01-08,6.55,26.41,83.96
Galle,2010-01-09,10.3,26.47,83.3
Galle,2010-01-10,0.54,26.64,83.36
Galle,2010-01-11,13.81,26.65,82.05
Galle,2010-01-12,11.6,26.77,79.71
Galle,2010-01-13,16.7,26.29,82.62
Galle,2010-01-14,4.66,27.09,80.89
Galle,2010-01-15,0.53,27.12,77.32
Galle,2010-01-16,0.77,27.27,79.58
Galle,2010-01-17,11.62,27.31,80.41
Galle,2010-01-18,4.04,26.97,79.28
Galle,2010-01-19,7.27,27.29,78.76
Galle,2010-01-20,1.01,27.07,72.76
Galle,2010-01-21,0.09,26.88,73.26
Galle,2010-01-22,0.0,26.6,71.71
Galle,2010-01-23,0.0,26.5,72.23
Galle,2010-01-24,0.0,26.13,73.27
Galle,2010-01-25,0.14,26.6,69.99
Galle,2010-01-26,0.08,26.85,72.63
Galle,2010-01-27,1.87,27.3,78.75
Galle,2010-01-28,0.43,27.4,80.42
Galle,2010-01-29,1.23,27.43,78.32
Galle,2010-01-30,4.31,27.08,83.2
Galle,2010-01-31,9.29,27.34,80.89
Galle,2010-02-01,21.51,27.15,82.2
Galle,2010-02-02,20.1,27.19,83.82
Galle,2010-02-03,2.07,27.49,78.27
Galle,2010-02-04,0.14,27.31,74.89
Galle,2010-02-05,0.47,27.49,76.49
Galle,2010-02-06,0.03,27.33,75.58
Galle,2010-02-07,0.06,27.12,74.39
Galle,2010-02-08,0.25,26.88,70.7
Galle,2010-02-09,1.42,26.9,74.13
Galle,2010-02-10,6.32,27.29,80.33
Galle,2010-02-11,9.02,27.62,81.38
Galle,2010-02-12,0.83,27.7,74.53
Galle,2010-02-13,8.06,27.74,76.08
Galle,2010-02-14,1.43,27.09,77.03
Galle,2010-02-15,0.03,27.27,73.8
Galle,2010-02-16,4.48,27.31,78.1
Galle,2010-02-17,6.27,27.72,83.33
Galle,2010-02-18,0.67,27.48,78.92
Galle,2010-02-19,0.0,27.67,79.25
Galle,2010-02-20,0.09,27.7,76.19
Galle,2010-02-21,0.11,27.66,76.4
Galle,2010-02-22,0.01,27.85,76.62
Galle,2010-02-23,0.4,27.36,74.26
Galle,2010-02-24,0.43,27.12,75.89
Galle,2010-02-25,0.21,27.32,77.22
Galle,2010-02-26,0.0,27.64,75.13
Galle,2010-02-27,0.0,28.04,73.33
Galle,2010-02-28,0.0,27.76,74.74
Galle,2010-03-01,0.0,27.57,71.79
Galle,2010-03-02,0.0,27.49,69.81
Galle,2010-03-03,0.0,27.27,72.96
Galle,2010-03-04,0.45,27.0,77.59
Galle,2010-03-05,0.0,27.13,73.37
Galle,2010-03-06,0.03,27.15,73.59
Galle,2010-03-07,0.42,27.76,81.83
Galle,2010-03-08,0.78,27.99,81.28
Galle,2010-03-09,0.35,28.22,76.6
Galle,2010-03-10,0.05,28.08,76.4
Galle,2010-03-11,0.74,28.2,76.3
Galle,2010-03-12,4.12,28.32,77.69
Galle,2010-03-13,2.0,28.12,79.6
Galle,2010-03-14,1.59,28.31,78.81
Galle,2010-03-15,0.87,28.11,78.23
Galle,2010-03-16,0.35,28.04,74.85
Galle,2010-03-17,0.1,28.02,73.47
Galle,2010-03-18,1.13,28.36,70.83
Galle,2010-03-19,2.54,28.78,72.33
Galle,2010-03-20,0.68,28.79,73.02
Galle,2010-03-21,5.79,28.39,78.75
Galle,2010-03-22,6.23,27.89,81.87
Galle,2010-03-23,7.1,28.21,81.77
Galle,2010-03-24,8.5,28.12,82.24
Galle,2010-03-25,0.43,28.44,76.98
Galle,2010-03-26,5.13,28.58,75.34
Galle,2010-03-27,30.16,28.7,76.99
Galle,2010-03-28,4.84,28.28,70.76
Galle,2010-03-29,5.13,28.81,74.19
Galle,2010-03-30,13.29,28.51,79.42
Galle,2010-03-31,11.64,28.54,80.85
Galle,2010-04-01,3.59,28.72,81.19
Galle,2010-04-02,1.91,29.18,78.22
Galle,2010-04-03,4.18,29.26,73.66
Galle,2010-04-04,4.73,28.11,78.83
Galle,2010-04-05,6.36,27.69,81.8
Galle,2010-04-06,5.81,28.26,75.49
Galle,2010-04-07,12.92,28.53,75.8
Galle,2010-04-08,5.54,28.6,83.11
Galle,2010-04-09,6.4,28.21,80.48
Galle,2010-04-10,10.11,28.19,81.06
Galle,2010-04-11,7.54,29.0,78.03
Galle,2010-04-12,5.97,28.69,82.78
Galle,2010-04-13,19.01,28.55,83.05
Galle,2010-04-14,13.54,28.65,83.02
Galle,2010-04-15,2.56,29.01,79.02
Galle,2010-04-16,6.03,28.8,80.99
Galle,2010-04-17,12.79,28.6,82.62
Galle,2010-04-18,15.51,28.45,84.1
Galle,2010-04-19,10.88,28.76,80.52
Galle,2010-04-20,5.1,28.55,83.86
Galle,2010-04-21,19.15,28.75,82.93
Galle,2010-04-22,26.73,29.25,81.03
Galle,2010-04-23,22.59,29.0,82.82
Galle,2010-04-24,12.88,27.84,85.38
Galle,2010-04-25,10.29,27.31,87.6
Galle,2010-04-26,13.1,27.71,84.97
Galle,2010-04-27,9.71,27.98,83.6
Galle,2010-04-28,3.23,28.49,79.49
Galle,2010-04-29,15.42,28.61,80.85
Galle,2010-04-30,13.78,28.73,82.34
Galle,2010-05-01,4.79,28.79,81.19
Galle,2010-05-02,3.97,29.19,79.25
Galle,2010-05-03,6.27,28.93,83.51
Galle,2010-05-04,12.85,28.99,84.89
Galle,2010-05-05,7.9,28.94,84.72
Galle,2010-05-06,11.25,28.9,83.87
Galle,2010-05-07,11.2,29.11,83.69
Galle,2010-05-08,11.98,28.72,87.7
Galle,2010-05-09,15.23,28.74,82.02
Galle,2010-05-10,1.87,28.65,79.28
Galle,2010-05-11,6.54,28.72,85.77
Galle,2010-05-12,13.61,28.89,86.53
Galle,2010-05-13,19.76,29.15,86.02
Galle,2010-05-14,30.33,28.62,81.71
Galle,2010-05-15,9.92,28.86,81.22
Galle,2010-05-16,23.47,28.8,81.98
Galle,2010-05-17,85.36,28.94,83.13
Galle,2010-05-18,51.08,28.51,83.88
