district,date,PRECTOTCORR,T2M,RH2M
Hambantota,2010-01-01,0.56,26.2,82.66
Hambantota,2010-01-02,1.72,26.33,83.52
Hambantota,2010-01-03,8.25,26.13,85.48
Hambantota,2010-01-04,1.65,26.08,80.34
Hambantota,2010-01-05,0.27,25.72,75.53
Hambantota,2010-01-06,0.28,25.49,76.73
Hambantota,2010-01-07,5.88,26.41,74.65
Hambantota,2010-01-08,14.39,26.3,83.24
Hambantota,2010-01-09,2.47,26.16,85.21
Hambantota,2010-01-10,1.88,26.74,80.64
Hambantota,2010-01-11,5.43,27.04,77.42
Hambantota,2010-01-12,2.69,26.57,80.36
Hambantota,2010-01-13,21.04,26.4,83.37
Hambantota,2010-01-14,12.47,26.48,85.3
Hambantota,2010-01-15,6.3,26.38,85.23
Hambantota,2010-01-16,13.36,26.81,85.49
Hambantota,2010-01-17,14.21,26.8,84.57
Hambantota,2010-01-18,16.62,26.65,84.53
Hambantota,2010-01-19,7.92,26.67,84.6
Hambantota,2010-01-20,2.67,26.35,80.93
Hambantota,2010-01-21,0.07,26.18,79.64
Hambantota,2010-01-22,0.0,26.04,80.53
Hambantota,2010-01-23,0.0,25.95,80.72
Hambantota,2010-01-24,0.0,25.68,79.85
Hambantota,2010-01-25,0.0,25.92,78.86
Hambantota,2010-01-26,1.15,26.18,83.92
Hambantota,2010-01-27,3.99,26.81,85.34
Hambantota,2010-01-28,2.21,26.98,84.11
Hambantota,2010-01-29,5.71,26.8,84.62
Hambantota,2010-01-30,7.89,26.56,88.38
Hambantota,2010-01-31,18.47,26.73,87.33
Hambantota,2010-02-01,30.77,26.55,88.52
Hambantota,2010-02-02,14.43,26.79,85.87
Hambantota,2010-02-03,1.95,26.82,82.33
Hambantota,2010-02-04,0.38,26.65,81.72
Hambantota,2010-02-05,0.22,26.51,83.29
Hambantota,2010-02-06,0.0,26.64,81.23
Hambantota,2010-02-07,0.01,26.5,79.36
Hambantota,2010-02-08,0.01,26.34,79.01
Hambantota,2010-02-09,0.03,26.32,81.62
Hambantota,2010-02-10,3.31,26.98,85.47
Hambantota,2010-02-11,2.14,27.35,83.06
Hambantota,2010-02-12,3.1,26.8,84.06
Hambantota,2010-02-13,2.75,27.11,83.47
Hambantota,2010-02-14,0.35,26.7,81.03
Hambantota,2010-02-15,0.05,26.67,79.0
Hambantota,2010-02-16,1.46,26.88,87.36
Hambantota,2010-02-17,1.18,27.22,86.57
Hambantota,2010-02-18,0.01,27.31,80.63
Hambantota,2010-02-19,0.0,27.03,80.57
Hambantota,2010-02-20,0.0,27.23,80.71
Hambantota,2010-02-21,0.0,27.11,81.22
Hambantota,2010-02-22,0.0,27.33,81.69
Hambantota,2010-02-23,0.0,26.88,78.0
Hambantota,2010-02-24,0.0,26.62,78.88
Hambantota,2010-02-25,0.0,26.99,76.16
Hambantota,2010-02-26,0.0,27.04,78.37
Hambantota,2010-02-27,0.0,26.95,79.03
Hambantota,2010-02-28,0.0,27.13,79.64
Hambantota,2010-03-01,0.0,26.86,78.34
Hambantota,2010-03-02,0.0,26.95,74.39
Hambantota,2010-03-03,0.02,26.71,74.93
Hambantota,2010-03-04,0.09,26.49,77.31
Hambantota,2010-03-05,0.0,27.04,76.71
Hambantota,2010-03-06,0.01,27.15,76.33
Hambantota,2010-03-07,0.04,27.85,75.72
Hambantota,2010-03-08,0.03,27.86,76.88
Hambantota,2010-03-09,0.11,28.09,73.95
Hambantota,2010-03-10,0.0,27.82,77.38
Hambantota,2010-03-11,0.4,28.14,77.68
Hambantota,2010-03-12,0.37,28.3,79.31
Hambantota,2010-03-13,0.0,27.88,83.96
Hambantota,2010-03-14,0.0,27.96,82.46
Hambantota,2010-03-15,0.0,27.73,79.31
Hambantota,2010-03-16,0.0,27.74,76.86
Hambantota,2010-03-17,0.02,27.63,76.24
Hambantota,2010-03-18,1.02,28.2,75.67
Hambantota,2010-03-19,3.18,28.6,77.34
Hambantota,2010-03-20,1.42,28.36,78.85
Hambantota,2010-03-21,1.55,28.13,79.94
Hambantota,2010-03-22,1.9,28.16,77.75
Hambantota,2010-03-23,1.31,28.11,79.65
Hambantota,2010-03-24,4.66,27.77,82.23
Hambantota,2010-03-25,0.45,28.29,76.84
Hambantota,2010-03-26,8.49,28.7,73.47
Hambantota,2010-03-27,31.61,28.45,78.47
Hambantota,2010-03-28,9.34,28.19,70.75
Hambantota,2010-03-29,14.57,28.83,73.11
Hambantota,2010-03-30,22.2,28.55,79.8
Hambantota,2010-03-31,19.93,28.51,81.06
Hambantota,2010-04-01,5.35,28.8,81.06
