district,date,PRECTOTCORR,T2M,RH2M
Jaffna,2010-01-01,0.12,26.31,78.07
Jaffna,2010-01-02,0.15,26.16,79.31
Jaffna,2010-01-03,0.38,25.6,78.91
Jaffna,2010-01-04,0.0,25.31,73.93
Jaffna,2010-01-05,0.0,24.95,73.75
Jaffna,2010-01-06,0.0,25.42,76.02
Jaffna,2010-01-07,0.29,25.95,76.59
Jaffna,2010-01-08,16.35,26.01,89.52
Jaffna,2010-01-09,6.76,26.35,88.28
Jaffna,2010-01-10,2.25,26.39,83.92
Jaffna,2010-01-11,5.43,26.42,83.24
Jaffna,2010-01-12,5.62,26.28,84.11
Jaffna,2010-01-13,4.61,26.57,83.76
Jaffna,2010-01-14,0.07,26.6,81.86
Jaffna,2010-01-15,0.05,26.32,76.24
Jaffna,2010-01-16,0.28,26.49,81.18
Jaffna,2010-01-17,0.16,26.51,77.42
Jaffna,2010-01-18,0.09,26.39,77.89
Jaffna,2010-01-19,0.0,26.17,78.98
Jaffna,2010-01-20,0.0,25.91,77.85
Jaffna,2010-01-21,0.0,25.33,73.17
Jaffna,2010-01-22,0.0,24.73,72.52
Jaffna,2010-01-23,0.0,24.98,73.67
Jaffna,2010-01-24,0.03,25.48,73.94
Jaffna,2010-01-25,0.23,25.85,76.83
Jaffna,2010-01-26,0.01,25.95,79.93
Jaffna,2010-01-27,0.64,26.24,83.04
Jaffna,2010-01-28,0.35,26.46,78.63
Jaffna,2010-01-29,0.0,26.08,75.61
Jaffna,2010-01-30,0.0,26.23,74.78
Jaffna,2010-01-31,0.0,26.13,77.31
Jaffna,2010-02-01,0.01,26.05,76.95
Jaffna,2010-02-02,0.0,25.91,75.49
Jaffna,2010-02-03,0.0,25.7,74.97
Jaffna,2010-02-04,0.2,25.58,74.69
Jaffna,2010-02-05,0.5,25.8,74.77
Jaffna,2010-02-06,0.0,25.92,74.16
Jaffna,2010-02-07,0.46,25.68,72.89
Jaffna,2010-02-08,0.0,25.16,73.58
Jaffna,2010-02-09,0.0,25.14,77.84
Jaffna,2010-02-10,0.0,25.68,79.95
Jaffna,2010-02-11,0.01,26.22,80.31
Jaffna,2010-02-12,0.01,26.52,78.71
Jaffna,2010-02-13,0.04,26.55,79.65
Jaffna,2010-02-14,0.0,26.16,78.74
Jaffna,2010-02-15,0.0,26.25,76.61
Jaffna,2010-02-16,0.34,26.57,75.54
Jaffna,2010-02-17,0.08,27.03,80.07
Jaffna,2010-02-18,0.0,26.69,76.63
Jaffna,2010-02-19,0.0,26.53,77.19
Jaffna,2010-02-20,0.0,26.7,78.83
Jaffna,2010-02-21,0.0,27.02,78.31
Jaffna,2010-02-22,0.0,27.22,78.98
Jaffna,2010-02-23,0.01,27.37,73.82
Jaffna,2010-02-24,0.0,27.42,71.42
Jaffna,2010-02-25,0.0,27.67,72.47
Jaffna,2010-02-26,0.0,27.54,73.84
Jaffna,2010-02-27,0.0,27.72,73.21
Jaffna,2010-02-28,0.0,27.76,71.88
Jaffna,2010-03-01,0.0,27.36,68.39
Jaffna,2010-03-02,0.0,26.82,65.92
Jaffna,2010-03-03,0.0,26.96,63.78
Jaffna,2010-03-04,0.0,27.02,66.6
Jaffna,2010-03-05,0.0,27.67,70.91
Jaffna,2010-03-06,0.0,28.25,73.21
Jaffna,2010-03-07,0.01,28.85,73.17
Jaffna,2010-03-08,0.0,28.67,74.33
Jaffna,2010-03-09,0.0,28.57,73.53
Jaffna,2010-03-10,0.0,28.6,73.41
Jaffna,2010-03-11,0.03,28.67,72.51
Jaffna,2010-03-12,0.03,28.68,71.24
Jaffna,2010-03-13,0.23,28.68,75.55
Jaffna,2010-03-14,0.0,28.85,70.82
Jaffna,2010-03-15,0.0,29.15,68.0
Jaffna,2010-03-16,0.0,28.9,69.28
Jaffna,2010-03-17,0.0,28.59,72.21
Jaffna,2010-03-18,0.01,28.76,70.52
Jaffna,2010-03-19,0.04,29.19,72.55
Jaffna,2010-03-20,0.01,29.49,70.18
Jaffna,2010-03-21,0.0,29.63,65.21
Jaffna,2010-03-22,0.0,29.25,70.5
Jaffna,2010-03-23,0.15,29.53,69.64
Jaffna,2010-03-24,0.0,29.34,70.55
Jaffna,2010-03-25,0.4,29.66,70.6
Jaffna,2010-03-26,2.18,30.22,68.72
Jaffna,2010-03-27,3.67,29.73,74.86
Jaffna,2010-03-28,1.01,29.81,71.94
Jaffna,2010-03-29,0.87,29.62,73.22
Jaffna,2010-03-30,0.56,29.97,74.81
Jaffna,2010-03-31,0.42,30.17,73.69
Jaffna,2010-04-01,0.11,30.59,72.36
Jaffna,2010-04-02,0.07,30.49,73.32
Jaffna,2010-04-03,0.08,30.45,70.31
Jaffna,2010-04-04,1.01,30.23,70.05
Jaffna,2010-04-05,2.46,29.87,71.38
Jaffna,2010-04-06,3.37,30.07,70.44
Jaffna,2010-04-07,0.69,30.21,67.91
