district,date,PRECTOTCORR,T2M,RH2M
Kalutara,2010-01-01,0.02,26.01,78.37
Kalutara,2010-01-02,1.15,26.0,81.07
Kalutara,2010-01-03,4.32,25.87,84.22
Kalutara,2010-01-04,0.19,25.16,81.37
Kalutara,2010-01-05,0.0,24.38,77.09
Kalutara,2010-01-06,0.0,24.55,76.8
Kalutara,2010-01-07,0.09,25.23,79.84
Kalutara,2010-01-08,6.18,25.3,87.22
Kalutara,2010-01-09,12.5,25.77,85.97
Kalutara,2010-01-10,0.49,25.69,85.62
Kalutara,2010-01-11,9.95,25.91,84.13
Kalutara,2010-01-12,18.1,26.14,83.53
Kalutara,2010-01-13,16.56,26.02,85.34
Kalutara,2010-01-14,3.19,26.59,80.05
Kalutara,2010-01-15,0.09,26.27,78.88
Kalutara,2010-01-16,1.74,26.34,82.62
Kalutara,2010-01-17,11.37,26.33,81.94
Kalutara,2010-01-18,2.01,26.09,81.3
Kalutara,2010-01-19,8.1,26.41,80.65
Kalutara,2010-01-20,0.56,25.85,77.12
Kalutara,2010-01-21,0.11,25.55,78.56
Kalutara,2010-01-22,0.0,25.28,76.18
Kalutara,2010-01-23,0.0,25.23,76.18
Kalutara,2010-01-24,0.01,25.1,76.62
Kalutara,2010-01-25,0.08,25.63,72.44
Kalutara,2010-01-26,0.11,25.86,76.79
Kalutara,2010-01-27,1.48,26.47,82.49
Kalutara,2010-01-28,0.27,26.53,81.75
Kalutara,2010-01-29,0.9,26.46,80.78
Kalutara,2010-01-30,2.0,26.34,84.51
Kalutara,2010-01-31,8.31,26.54,83.32
Kalutara,2010-02-01,18.01,26.55,83.21
Kalutara,2010-02-02,15.75,26.51,84.86
Kalutara,2010-02-03,1.99,26.66,80.96
Kalutara,2010-02-04,0.38,26.47,77.21
Kalutara,2010-02-05,0.12,26.54,79.48
Kalutara,2010-02-06,0.01,26.1,78.81
Kalutara,2010-02-07,0.01,25.79,77.56
Kalutara,2010-02-08,0.02,25.71,75.46
Kalutara,2010-02-09,0.81,26.02,75.46
Kalutara,2010-02-10,2.66,26.69,81.76
Kalutara,2010-02-11,7.53,26.88,82.38
Kalutara,2010-02-12,0.31,26.95,75.44
Kalutara,2010-02-13,6.82,27.16,77.15
Kalutara,2010-02-14,0.71,26.28,78.08
Kalutara,2010-02-15,0.0,26.34,73.91
Kalutara,2010-02-16,4.96,26.51,79.36
Kalutara,2010-02-17,5.04,27.11,83.02
Kalutara,2010-02-18,0.44,26.71,79.41
