district,date,PRECTOTCORR,T2M,RH2M
Kegalle,2010-01-01,0.11,22.53,89.68
Kegalle,2010-01-02,0.63,22.94,90.69
Kegalle,2010-01-03,5.44,22.49,92.71
Kegalle,2010-01-04,0.45,21.51,89.41
Kegalle,2010-01-05,0.0,20.48,86.81
Kegalle,2010-01-06,0.0,20.71,87.7
Kegalle,2010-01-07,0.48,22.34,89.89
Kegalle,2010-01-08,7.74,23.29,92.72
Kegalle,2010-01-09,19.5,24.41,89.77
Kegalle,2010-01-10,3.95,23.86,87.07
Kegalle,2010-01-11,2.74,24.33,85.17
Kegalle,2010-01-12,12.92,24.27,86.5
Kegalle,2010-01-13,20.18,24.26,89.77
Kegalle,2010-01-14,0.29,23.56,89.85
Kegalle,2010-01-15,0.03,22.81,88.32
Kegalle,2010-01-16,6.24,23.56,90.56
Kegalle,2010-01-17,4.86,23.21,89.5
Kegalle,2010-01-18,1.34,23.04,89.64
Kegalle,2010-01-19,0.63,22.91,89.23
Kegalle,2010-01-20,0.1,22.35,87.8
Kegalle,2010-01-21,0.0,22.04,88.14
Kegalle,2010-01-22,0.0,21.41,88.42
Kegalle,2010-01-23,0.0,21.44,87.52
Kegalle,2010-01-24,0.0,21.52,85.37
Kegalle,2010-01-25,0.0,21.86,84.92
Kegalle,2010-01-26,0.0,22.76,88.58
Kegalle,2010-01-27,2.13,23.84,89.6
Kegalle,2010-01-28,1.02,23.6,88.37
Kegalle,2010-01-29,2.02,23.37,88.77
Kegalle,2010-01-30,2.69,23.56,89.95
Kegalle,2010-01-31,4.78,23.62,90.23
Kegalle,2010-02-01,9.06,23.7,90.28
Kegalle,2010-02-02,4.16,23.55,90.07
Kegalle,2010-02-03,0.38,23.16,88.3
Kegalle,2010-02-04,0.12,22.54,88.28
Kegalle,2010-02-05,0.0,22.84,88.22
Kegalle,2010-02-06,0.0,22.74,86.17
Kegalle,2010-02-07,0.0,22.29,85.61
Kegalle,2010-02-08,0.0,21.59,86.15
Kegalle,2010-02-09,0.0,22.07,86.5
Kegalle,2010-02-10,0.5,24.01,87.94
Kegalle,2010-02-11,0.24,24.31,87.81
Kegalle,2010-02-12,0.04,23.64,88.17
Kegalle,2010-02-13,0.3,24.07,87.46
Kegalle,2010-02-14,0.01,23.22,85.97
Kegalle,2010-02-15,0.01,22.74,83.85
Kegalle,2010-02-16,23.74,23.78,90.33
Kegalle,2010-02-17,6.6,24.47,89.22
Kegalle,2010-02-18,0.0,23.96,85.66
Kegalle,2010-02-19,0.0,23.94,82.26
Kegalle,2010-02-20,0.0,23.79,84.82
Kegalle,2010-02-21,0.0,23.77,84.11
Kegalle,2010-02-22,0.0,24.03,85.35
Kegalle,2010-02-23,0.0,23.53,81.51
Kegalle,2010-02-24,0.0,23.9,74.93
Kegalle,2010-02-25,0.0,24.6,77.29
Kegalle,2010-02-26,0.0,24.14,78.2
Kegalle,2010-02-27,0.0,23.64,79.66
Kegalle,2010-02-28,0.0,24.01,80.53
Kegalle,2010-03-01,0.0,23.27,78.71
Kegalle,2010-03-02,0.0,22.84,76.41
Kegalle,2010-03-03,0.0,22.65,72.16
Kegalle,2010-03-04,0.0,24.43,73.18
Kegalle,2010-03-05,0.0,25.6,75.34
Kegalle,2010-03-06,0.01,25.36,74.11
Kegalle,2010-03-07,0.05,25.74,75.9
Kegalle,2010-03-08,0.04,26.43,73.63
Kegalle,2010-03-09,0.08,25.73,75.17
Kegalle,2010-03-10,0.0,25.14,78.25
Kegalle,2010-03-11,0.0,25.77,76.59
Kegalle,2010-03-12,0.0,26.24,74.09
Kegalle,2010-03-13,0.0,25.82,81.19
Kegalle,2010-03-14,0.0,26.43,75.75
Kegalle,2010-03-15,0.0,26.41,67.16
Kegalle,2010-03-16,0.0,26.1,65.63
Kegalle,2010-03-17,0.0,25.26,73.01
Kegalle,2010-03-18,0.0,25.79,72.93
Kegalle,2010-03-19,0.07,26.67,73.5
Kegalle,2010-03-20,0.01,26.88,72.6
Kegalle,2010-03-21,0.05,27.53,70.34
Kegalle,2010-03-22,0.48,27.79,69.27
Kegalle,2010-03-23,0.44,28.25,67.81
Kegalle,2010-03-24,7.56,27.22,76.73
Kegalle,2010-03-25,5.13,27.69,76.46
Kegalle,2010-03-26,12.84,26.94,80.44
Kegalle,2010-03-27,35.03,26.17,85.94
Kegalle,2010-03-28,6.69,26.46,79.05
Kegalle,2010-03-29,2.66,27.18,77.79
Kegalle,2010-03-30,10.31,27.48,77.31
Kegalle,2010-03-31,6.43,26.38,81.7
Kegalle,2010-04-01,1.02,26.72,80.69
Kegalle,2010-04-02,0.08,27.18,77.38
Kegalle,2010-04-03,0.05,27.63,71.19
Kegalle,2010-04-04,3.89,27.27,74.51
Kegalle,2010-04-05,12.26,26.94,78.87
Kegalle,2010-04-06,4.79,26.06,75.76
Kegalle,2010-04-07,8.18,26.28,76.47
Kegalle,2010-04-08,2.21,26.29,83.05
Kegalle,2010-04-09,6.85,26.55,79.94
Kegalle,2010-04-10,7.18,26.77,78.58
Kegalle,2010-04-11,3.98,27.59,74.44
Kegalle,2010-04-12,2.12,27.17,79.27
Kegalle,2010-04-13,2.94,27.16,79.81
Kegalle,2010-04-14,1.79,26.35,85.71
Kegalle,2010-04-15,1.17,27.91,76.5
Kegalle,2010-04-16,10.64,27.83,79.04
Kegalle,2010-04-17,37.95,26.73,85.46
Kegalle,2010-04-18,11.28,27.4,81.6
Kegalle,2010-04-19,5.46,25.89,87.67
Kegalle,2010-04-20,1.06,26.63,84.46
Kegalle,2010-04-21,5.94,26.41,85.7
Kegalle,2010-04-22,5.94,26.81,86.08
Kegalle,2010-04-23,5.03,26.68,89.39
Kegalle,2010-04-24,18.18,26.16,87.21
Kegalle,2010-04-25,6.06,27.09,79.64
Kegalle,2010-04-26,15.8,26.24,85.12
Kegalle,2010-04-27,12.24,26.43,82.42
Kegalle,2010-04-28,2.81,26.67,82.91
Kegalle,2010-04-29,9.05,27.1,82.75
Kegalle,2010-04-30,30.08,27.01,82.62
Kegalle,2010-05-01,18.36,26.38,79.85
Kegalle,2010-05-02,4.07,27.06,84.59
Kegalle,2010-05-03,8.33,26.02,92.35
Kegalle,2010-05-04,6.53,25.67,91.61
Kegalle,2010-05-05,1.76,26.34,88.27
