district,date,PRECTOTCORR,T2M,RH2M
Mannar,2010-01-01,0.02,25.71,80.92
Mannar,2010-01-02,0.03,25.74,82.01
Mannar,2010-01-03,0.16,25.17,81.94
Mannar,2010-01-04,0.0,24.6,77.72
Mannar,2010-01-05,0.0,24.06,77.02
Mannar,2010-01-06,0.0,24.66,79.04
Mannar,2010-01-07,0.32,25.46,79.09
Mannar,2010-01-08,9.77,25.73,91.06
Mannar,2010-01-09,5.72,26.15,89.62
Mannar,2010-01-10,3.9,26.08,84.66
Mannar,2010-01-11,9.43,26.08,84.99
Mannar,2010-01-12,7.12,25.86,86.7
Mannar,2010-01-13,7.01,26.14,87.09
Mannar,2010-01-14,0.02,26.1,85.06
Mannar,2010-01-15,0.01,25.72,80.14
Mannar,2010-01-16,0.65,26.09,83.89
Mannar,2010-01-17,0.06,26.03,81.17
Mannar,2010-01-18,0.0,25.83,81.3
Mannar,2010-01-19,0.0,25.66,81.27
Mannar,2010-01-20,0.0,25.31,80.64
Mannar,2010-01-21,0.0,24.69,77.71
Mannar,2010-01-22,0.0,23.95,76.47
Mannar,2010-01-23,0.0,24.28,76.47
Mannar,2010-01-24,0.05,24.76,77.11
Mannar,2010-01-25,0.17,25.23,78.06
Mannar,2010-01-26,0.0,25.36,82.26
Mannar,2010-01-27,1.24,25.92,85.19
Mannar,2010-01-28,0.39,26.08,80.9
Mannar,2010-01-29,0.0,25.7,78.48
Mannar,2010-01-30,0.0,25.73,79.13
Mannar,2010-01-31,0.0,25.67,80.16
Mannar,2010-02-01,0.01,25.65,80.47
Mannar,2010-02-02,0.0,25.47,79.04
Mannar,2010-02-03,0.0,25.17,78.49
Mannar,2010-02-04,0.0,25.07,77.93
Mannar,2010-02-05,0.0,25.4,77.73
Mannar,2010-02-06,0.0,25.47,76.46
Mannar,2010-02-07,0.0,25.11,75.5
Mannar,2010-02-08,0.0,24.57,76.43
Mannar,2010-02-09,0.0,24.53,80.95
Mannar,2010-02-10,0.0,25.36,82.31
Mannar,2010-02-11,0.0,25.91,81.92
Mannar,2010-02-12,0.0,25.99,81.8
Mannar,2010-02-13,0.0,26.2,81.52
Mannar,2010-02-14,0.0,25.7,81.04
Mannar,2010-02-15,0.0,25.56,78.99
Mannar,2010-02-16,1.39,26.05,79.07
Mannar,2010-02-17,0.36,26.74,82.27
Mannar,2010-02-18,0.0,26.47,78.32
Mannar,2010-02-19,0.0,26.26,77.04
Mannar,2010-02-20,0.0,26.24,80.22
Mannar,2010-02-21,0.0,26.66,79.3
Mannar,2010-02-22,0.0,26.88,80.02
Mannar,2010-02-23,0.0,26.95,75.3
Mannar,2010-02-24,0.0,26.92,71.44
Mannar,2010-02-25,0.0,27.24,72.82
Mannar,2010-02-26,0.0,27.16,73.74
Mannar,2010-02-27,0.0,27.29,74.51
Mannar,2010-02-28,0.0,27.29,73.59
Mannar,2010-03-01,0.0,26.71,69.88
Mannar,2010-03-02,0.0,26.24,66.5
Mannar,2010-03-03,0.0,26.22,65.96
Mannar,2010-03-04,0.0,26.52,66.83
Mannar,2010-03-05,0.0,27.29,70.94
Mannar,2010-03-06,0.0,27.9,72.53
Mannar,2010-03-07,0.0,28.82,71.91
Mannar,2010-03-08,0.0,28.86,71.75
Mannar,2010-03-09,0.0,28.7,71.42
Mannar,2010-03-10,0.0,28.83,70.26
Mannar,2010-03-11,0.0,28.88,69.64
Mannar,2010-03-12,0.0,29.01,68.08
Mannar,2010-03-13,0.0,28.71,73.9
Mannar,2010-03-14,0.0,28.98,68.03
Mannar,2010-03-15,0.0,29.01,68.11
Mannar,2010-03-16,0.0,28.83,67.43
Mannar,2010-03-17,0.0,28.52,69.95
Mannar,2010-03-18,0.0,28.84,68.39
Mannar,2010-03-19,0.0,29.36,69.36
Mannar,2010-03-20,0.0,29.42,69.77
Mannar,2010-03-21,0.0,29.48,66.51
Mannar,2010-03-22,0.03,29.36,68.55
Mannar,2010-03-23,0.28,29.67,67.58
Mannar,2010-03-24,0.09,29.5,68.63
Mannar,2010-03-25,0.62,29.82,68.4
Mannar,2010-03-26,3.15,30.18,68.41
Mannar,2010-03-27,6.56,29.16,76.96
Mannar,2010-03-28,1.42,29.3,71.87
Mannar,2010-03-29,0.65,29.39,73.0
Mannar,2010-03-30,0.54,29.71,73.85
Mannar,2010-03-31,0.49,29.88,72.43
Mannar,2010-04-01,0.04,30.43,71.03
Mannar,2010-04-02,0.02,30.22,72.77
Mannar,2010-04-03,0.06,30.31,69.7
Mannar,2010-04-04,1.94,30.18,68.23
Mannar,2010-04-05,4.25,29.29,74.39
Mannar,2010-04-06,3.21,29.75,68.41
Mannar,2010-04-07,1.59,30.09,65.85
Mannar,2010-04-08,1.2,30.06,73.74
Mannar,2010-04-09,0.03,30.4,70.44
Mannar,2010-04-10,0.02,30.13,72.35
Mannar,2010-04-11,0.02,30.97,64.63
Mannar,2010-04-12,0.16,30.16,75.85
Mannar,2010-04-13,0.1,30.83,70.4
Mannar,2010-04-14,0.02,30.98,71.48
Mannar,2010-04-15,0.25,31.42,68.52
Mannar,2010-04-16,5.67,29.97,76.65
Mannar,2010-04-17,8.35,29.02,83.7
Mannar,2010-04-18,1.47,29.42,78.83
Mannar,2010-04-19,0.45,29.73,77.14
Mannar,2010-04-20,0.03,30.34,74.76
Mannar,2010-04-21,0.03,30.25,75.76
Mannar,2010-04-22,0.02,30.26,75.26
Mannar,2010-04-23,1.43,29.32,80.69
Mannar,2010-04-24,0.96,29.51,78.08
Mannar,2010-04-25,0.48,30.67,68.9
Mannar,2010-04-26,9.71,28.77,81.2
Mannar,2010-04-27,5.75,29.31,76.62
Mannar,2010-04-28,4.96,30.03,72.55
Mannar,2010-04-29,8.09,29.87,74.94
Mannar,2010-04-30,14.08,29.35,77.54
Mannar,2010-05-01,5.48,29.88,67.35
Mannar,2010-05-02,0.55,30.15,73.68
Mannar,2010-05-03,2.27,29.85,76.01
Mannar,2010-05-04,1.99,29.22,82.56
Mannar,2010-05-05,0.61,29.74,79.58
Mannar,2010-05-06,0.77,30.02,79.3
Mannar,2010-05-07,1.37,29.75,81.63
Mannar,2010-05-08,4.51,29.85,80.3
Mannar,2010-05-09,2.36,29.63,80.44
Mannar,2010-05-10,0.72,30.12,76.6
Mannar,2010-05-11,0.51,30.26,77.6
Mannar,2010-05-12,0.02,30.93,75.14
Mannar,2010-05-13,0.04,30.56,78.6
Mannar,2010-05-14,0.43,30.0,81.94
Mannar,2010-05-15,0.36,30.59,74.1
Mannar,2010-05-16,0.06,30.67,73.93
Mannar,2010-05-17,0.32,30.69,75.54
Mannar,2010-05-18,17.4,29.85,79.39
Mannar,2010-05-19,11.61,29.31,79.85
Mannar,2010-05-20,3.54,29.15,78.65
Mannar,2010-05-21,0.54,29.18,77.17
Mannar,2010-05-22,0.02,29.1,80.67
Mannar,2010-05-23,0.11,28.95,80.45
Mannar,2010-05-24,0.05,29.19,81.42
Mannar,2010-05-25,0.03,29.39,80.66
Mannar,2010-05-26,0.02,29.36,79.14
Mannar,2010-05-27,0.04,29.33,80.68
Mannar,2010-05-28,0.06,29.21,82.86
Mannar,2010-05-29,0.06,29.18,82.54
Mannar,2010-05-30,0.02,29.46,77.28
Mannar,2010-05-31,0.01,29.69,72.71
Mannar,2010-06-01,0.0,30.06,72.47
Mannar,2010-06-02,0.06,29.86,76.67
Mannar,2010-06-03,0.1,29.43,81.56
Mannar,2010-06-04,0.17,29.36,81.59
Mannar,2010-06-05,0.74,29.66,76.49
Mannar,2010-06-06,0.14,29.15,75.35
Mannar,2010-06-07,0.06,28.58,73.93
Mannar,2010-06-08,0.01,29.02,72.83
Mannar,2010-06-09,0.03,29.21,75.05
Mannar,2010-06-10,1.88,28.48,79.58
Mannar,2010-06-11,3.05,28.45,80.43
Mannar,2010-06-12,0.23,28.6,79.69
Mannar,2010-06-13,0.22,28.65,78.36
Mannar,2010-06-14,0.15,28.9,74.65
Mannar,2010-06-15,0.02,28.85,75.03
Mannar,2010-06-16,0.05,28.26,80.23
Mannar,2010-06-17,0.12,28.56,78.42
Mannar,2010-06-18,0.07,28.29,75.33
Mannar,2010-06-19,0.04,28.73,76.59
Mannar,2010-06-20,0.45,29.07,75.46
Mannar,2010-06-21,0.41,28.9,75.92
Mannar,2010-06-22,0.16,28.85,77.8
Mannar,2010-06-23,0.23,28.69,77.48
Mannar,2010-06-24,0.02,28.74,69.49
Mannar,2010-06-25,0.0,29.25,68.35
Mannar,2010-06-26,0.0,29.54,70.34
Mannar,2010-06-27,0.02,29.31,75.24
Mannar,2010-06-28,0.06,29.32,77.52
Mannar,2010-06-29,0.05,29.0,74.36
Mannar,2010-06-30,0.07,28.76,71.75
Mannar,2010-07-01,0.05,28.91,65.78
Mannar,2010-07-02,0.03,28.6,70.99
Mannar,2010-07-03,0.02,28.79,72.89
Mannar,2010-07-04,0.03,28.85,73.79
Mannar,2010-07-05,0.04,29.11,72.93
Mannar,2010-07-06,0.01,28.97,68.68
Mannar,2010-07-07,2.71,29.37,69.01
Mannar,2010-07-08,5.21,27.3,81.34
Mannar,2010-07-09,1.19,28.23,75.97
Mannar,2010-07-10,2.98,29.21,73.23
Mannar,2010-07-11,2.7,28.12,79.25
Mannar,2010-07-12,0.08,28.3,78.12
Mannar,2010-07-13,0.19,28.53,74.12
Mannar,2010-07-14,0.24,28.5,73.56
Mannar,2010-07-15,1.01,28.51,76.27
Mannar,2010-07-16,0.11,28.76,74.15
Mannar,2010-07-17,0.16,28.89,71.61
Mannar,2010-07-18,0.04,28.95,71.41
Mannar,2010-07-19,0.03,27.87,74.45
Mannar,2010-07-20,0.01,28.2,72.3
Mannar,2010-07-21,0.01,29.0,71.49
Mannar,2010-07-22,0.02,28.93,72.57
Mannar,2010-07-23,0.73,28.82,74.09
Mannar,2010-07-24,0.62,29.09,71.53
Mannar,2010-07-25,0.0,28.82,69.41
Mannar,2010-07-26,0.0,29.05,69.73
Mannar,2010-07-27,0.01,29.04,70.8
