district,date,PRECTOTCORR,T2M,RH2M
Matara,2010-01-01,0.0,26.25,78.08
Matara,2010-01-02,0.16,26.24,79.81
Matara,2010-01-03,6.48,26.17,82.5
Matara,2010-01-04,0.82,25.89,78.12
Matara,2010-01-05,0.03,25.57,72.8
Matara,2010-01-06,0.01,25.39,71.95
Matara,2010-01-07,0.3,26.07,72.58
Matara,2010-01-08,7.65,25.84,83.61
Matara,2010-01-09,8.38,25.84,85.42
Matara,2010-01-10,0.73,26.09,83.86
Matara,2010-01-11,14.3,26.35,81.27
Matara,2010-01-12,9.52,26.49,81.15
Matara,2010-01-13,17.83,26.14,84.19
Matara,2010-01-14,3.11,26.4,83.75
Matara,2010-01-15,0.73,26.45,81.57
Matara,2010-01-16,1.37,26.67,81.62
Matara,2010-01-17,8.68,26.57,82.65
Matara,2010-01-18,2.28,26.38,82.22
Matara,2010-01-19,4.66,26.57,82.27
Matara,2010-01-20,1.06,26.25,77.01
Matara,2010-01-21,0.12,26.12,76.21
Matara,2010-01-22,0.0,25.93,76.29
Matara,2010-01-23,0.0,25.87,76.84
Matara,2010-01-24,0.0,25.55,77.58
Matara,2010-01-25,0.01,25.91,73.8
Matara,2010-01-26,0.05,26.26,77.24
Matara,2010-01-27,1.42,26.86,80.99
Matara,2010-01-28,0.64,26.87,82.33
Matara,2010-01-29,2.54,26.83,81.19
Matara,2010-01-30,4.52,26.61,85.18
Matara,2010-01-31,8.32,26.82,83.37
Matara,2010-02-01,17.94,26.59,85.33
Matara,2010-02-02,18.37,26.68,85.26
Matara,2010-02-03,2.58,26.9,80.69
Matara,2010-02-04,0.06,26.64,79.09
Matara,2010-02-05,0.01,26.69,78.66
Matara,2010-02-06,0.0,26.58,78.04
Matara,2010-02-07,0.02,26.23,77.67
Matara,2010-02-08,0.04,26.21,74.9
Matara,2010-02-09,0.23,26.34,76.72
Matara,2010-02-10,1.91,26.94,82.31
Matara,2010-02-11,1.54,27.21,82.1
Matara,2010-02-12,0.27,26.84,79.26
Matara,2010-02-13,5.01,27.11,80.29
Matara,2010-02-14,0.75,26.42,79.4
Matara,2010-02-15,0.02,26.39,77.28
Matara,2010-02-16,4.81,26.78,82.97
Matara,2010-02-17,4.08,27.16,85.34
Matara,2010-02-18,0.03,27.22,79.95
Matara,2010-02-19,0.0,27.09,80.14
Matara,2010-02-20,0.01,27.16,78.15
Matara,2010-02-21,0.03,26.89,79.28
Matara,2010-02-22,0.0,27.09,79.53
Matara,2010-02-23,0.03,26.64,76.25
Matara,2010-02-24,0.0,26.41,77.89
Matara,2010-02-25,0.01,26.88,77.11
Matara,2010-02-26,0.0,27.25,74.93
Matara,2010-02-27,0.0,27.29,72.98
Matara,2010-02-28,0.0,27.05,76.51
Matara,2010-03-01,0.0,26.79,74.32
Matara,2010-03-02,0.0,27.01,68.56
Matara,2010-03-03,0.0,26.84,73.1
Matara,2010-03-04,0.03,26.71,77.16
Matara,2010-03-05,0.0,26.97,75.26
Matara,2010-03-06,0.05,26.72,74.24
Matara,2010-03-07,0.26,27.7,77.84
Matara,2010-03-08,0.3,27.99,77.51
Matara,2010-03-09,0.36,28.0,74.06
Matara,2010-03-10,0.01,27.66,75.99
Matara,2010-03-11,0.82,27.9,75.95
Matara,2010-03-12,1.06,28.08,77.75
Matara,2010-03-13,0.24,27.73,80.93
Matara,2010-03-14,0.18,28.06,78.63
Matara,2010-03-15,0.05,27.74,75.95
Matara,2010-03-16,0.03,27.87,72.92
Matara,2010-03-17,0.0,27.78,71.03
Matara,2010-03-18,0.2,28.04,72.64
Matara,2010-03-19,1.62,28.59,73.51
Matara,2010-03-20,0.43,28.64,72.63
Matara,2010-03-21,5.15,28.37,74.82
Matara,2010-03-22,5.76,28.15,77.93
Matara,2010-03-23,3.23,28.35,78.96
Matara,2010-03-24,10.66,27.78,82.7
Matara,2010-03-25,0.49,28.31,77.23
Matara,2010-03-26,5.52,28.43,73.85
Matara,2010-03-27,46.44,28.04,79.33
Matara,2010-03-28,6.61,27.81,71.52
Matara,2010-03-29,3.13,28.43,74.97
