district,date,PRECTOTCORR,T2M,RH2M
Monaragala,2010-01-01,0.92,22.12,90.6
Monaragala,2010-01-02,1.0,22.47,91.48
Monaragala,2010-01-03,10.08,22.18,93.77
Monaragala,2010-01-04,1.72,21.6,90.1
Monaragala,2010-01-05,0.08,20.56,86.09
Monaragala,2010-01-06,0.39,20.31,87.47
Monaragala,2010-01-07,3.54,22.05,89.63
Monaragala,2010-01-08,17.31,22.66,93.45
Monaragala,2010-01-09,3.12,23.08,91.72
Monaragala,2010-01-10,1.41,23.13,90.28
Monaragala,2010-01-11,2.13,23.57,88.54
Monaragala,2010-01-12,4.73,23.71,87.06
Monaragala,2010-01-13,18.15,23.44,90.81
Monaragala,2010-01-14,4.77,22.84,91.39
Monaragala,2010-01-15,2.77,22.46,91.15
Monaragala,2010-01-16,8.57,23.12,91.74
Monaragala,2010-01-17,7.52,22.97,90.22
Monaragala,2010-01-18,9.98,22.83,91.07
Monaragala,2010-01-19,2.87,22.62,91.94
Monaragala,2010-01-20,0.16,21.99,88.24
Monaragala,2010-01-21,0.02,21.57,89.09
Monaragala,2010-01-22,0.0,21.48,88.97
Monaragala,2010-01-23,0.0,21.49,88.36
Monaragala,2010-01-24,0.0,21.3,86.33
Monaragala,2010-01-25,0.0,21.34,85.86
Monaragala,2010-01-26,1.19,22.37,89.99
Monaragala,2010-01-27,3.63,23.35,91.55
Monaragala,2010-01-28,1.39,23.26,89.77
Monaragala,2010-01-29,3.81,23.18,90.45
Monaragala,2010-01-30,6.31,23.29,92.26
Monaragala,2010-01-31,14.47,23.37,92.36
Monaragala,2010-02-01,24.52,23.3,93.11
Monaragala,2010-02-02,10.5,23.29,92.43
Monaragala,2010-02-03,1.22,22.95,89.76
Monaragala,2010-02-04,0.5,22.44,89.68
Monaragala,2010-02-05,0.12,22.14,91.17
Monaragala,2010-02-06,0.0,22.49,88.08
Monaragala,2010-02-07,0.01,21.94,87.0
Monaragala,2010-02-08,0.01,21.49,87.78
Monaragala,2010-02-09,0.01,22.01,88.15
Monaragala,2010-02-10,1.11,23.61,90.24
Monaragala,2010-02-11,0.27,23.69,89.8
Monaragala,2010-02-12,1.72,22.79,91.29
Monaragala,2010-02-13,0.9,23.14,90.25
Monaragala,2010-02-14,0.03,22.19,88.88
Monaragala,2010-02-15,0.07,21.92,86.94
Monaragala,2010-02-16,7.42,23.21,92.77
Monaragala,2010-02-17,2.81,23.65,92.02
Monaragala,2010-02-18,0.0,23.52,87.98
Monaragala,2010-02-19,0.0,23.13,85.64
Monaragala,2010-02-20,0.0,23.1,87.75
Monaragala,2010-02-21,0.0,22.97,87.46
Monaragala,2010-02-22,0.0,23.33,88.43
Monaragala,2010-02-23,0.0,22.65,85.21
Monaragala,2010-02-24,0.0,22.99,81.92
Monaragala,2010-02-25,0.0,23.6,82.19
Monaragala,2010-02-26,0.0,23.26,84.0
Monaragala,2010-02-27,0.0,22.51,84.96
Monaragala,2010-02-28,0.0,22.83,86.33
Monaragala,2010-03-01,0.0,22.22,85.37
