district,date,PRECTOTCORR,T2M,RH2M
Mullaitivu,2010-01-01,0.23,26.23,77.89
Mullaitivu,2010-01-02,0.36,26.11,78.73
Mullaitivu,2010-01-03,0.37,25.55,78.63
Mullaitivu,2010-01-04,0.0,25.12,74.5
Mullaitivu,2010-01-05,0.0,24.85,73.27
Mullaitivu,2010-01-06,0.13,25.33,75.38
Mullaitivu,2010-01-07,0.88,25.92,78.37
Mullaitivu,2010-01-08,21.91,26.13,89.54
Mullaitivu,2010-01-09,5.89,26.57,85.46
Mullaitivu,2010-01-10,3.52,26.45,83.46
Mullaitivu,2010-01-11,6.24,26.35,83.78
Mullaitivu,2010-01-12,11.9,26.28,83.7
Mullaitivu,2010-01-13,9.83,26.42,84.5
Mullaitivu,2010-01-14,0.24,26.5,81.64
Mullaitivu,2010-01-15,0.22,26.26,76.03
Mullaitivu,2010-01-16,0.85,26.61,81.05
Mullaitivu,2010-01-17,0.43,26.53,77.64
Mullaitivu,2010-01-18,0.21,26.32,78.43
Mullaitivu,2010-01-19,0.0,26.08,78.99
Mullaitivu,2010-01-20,0.0,25.87,77.6
Mullaitivu,2010-01-21,0.0,25.3,74.86
Mullaitivu,2010-01-22,0.0,24.74,72.95
Mullaitivu,2010-01-23,0.0,24.85,75.1
Mullaitivu,2010-01-24,0.0,25.48,73.59
Mullaitivu,2010-01-25,0.05,25.81,77.26
Mullaitivu,2010-01-26,0.08,25.91,80.49
Mullaitivu,2010-01-27,1.38,26.23,83.72
Mullaitivu,2010-01-28,0.56,26.42,79.0
Mullaitivu,2010-01-29,0.03,26.05,76.83
Mullaitivu,2010-01-30,0.0,26.16,75.79
Mullaitivu,2010-01-31,0.0,26.07,77.86
Mullaitivu,2010-02-01,0.07,26.0,78.54
Mullaitivu,2010-02-02,0.27,25.94,76.22
Mullaitivu,2010-02-03,0.0,25.69,75.24
Mullaitivu,2010-02-04,0.08,25.55,75.44
Mullaitivu,2010-02-05,0.43,25.82,75.69
Mullaitivu,2010-02-06,0.0,25.98,74.44
Mullaitivu,2010-02-07,0.33,25.64,72.86
Mullaitivu,2010-02-08,0.0,25.06,74.64
Mullaitivu,2010-02-09,0.0,25.08,78.55
Mullaitivu,2010-02-10,0.01,25.68,80.68
Mullaitivu,2010-02-11,0.08,26.21,80.93
Mullaitivu,2010-02-12,0.02,26.45,79.06
Mullaitivu,2010-02-13,0.09,26.52,79.21
Mullaitivu,2010-02-14,0.0,25.9,80.21
Mullaitivu,2010-02-15,0.0,26.15,76.69
Mullaitivu,2010-02-16,0.65,26.67,76.52
Mullaitivu,2010-02-17,0.1,26.85,80.05
Mullaitivu,2010-02-18,0.0,26.25,79.61
Mullaitivu,2010-02-19,0.0,26.32,78.06
Mullaitivu,2010-02-20,0.0,26.42,80.79
Mullaitivu,2010-02-21,0.0,26.71,79.86
Mullaitivu,2010-02-22,0.0,26.85,81.3
Mullaitivu,2010-02-23,0.01,26.86,77.05
Mullaitivu,2010-02-24,0.01,27.0,76.58
Mullaitivu,2010-02-25,0.0,27.12,75.7
Mullaitivu,2010-02-26,0.0,27.05,76.85
Mullaitivu,2010-02-27,0.0,27.19,76.51
Mullaitivu,2010-02-28,0.0,27.2,74.91
Mullaitivu,2010-03-01,0.0,26.81,72.01
Mullaitivu,2010-03-02,0.0,26.24,69.18
Mullaitivu,2010-03-03,0.0,26.28,68.79
Mullaitivu,2010-03-04,0.0,26.85,67.74
Mullaitivu,2010-03-05,0.0,27.69,70.31
Mullaitivu,2010-03-06,0.0,28.44,71.5
Mullaitivu,2010-03-07,0.01,28.05,76.57
Mullaitivu,2010-03-08,0.0,28.23,77.4
Mullaitivu,2010-03-09,0.01,28.19,74.58
Mullaitivu,2010-03-10,0.0,28.13,74.96
Mullaitivu,2010-03-11,0.06,28.42,72.58
Mullaitivu,2010-03-12,0.06,28.44,71.93
Mullaitivu,2010-03-13,0.52,28.5,76.05
Mullaitivu,2010-03-14,0.0,28.36,73.25
Mullaitivu,2010-03-15,0.0,28.62,70.74
Mullaitivu,2010-03-16,0.0,28.57,71.69
Mullaitivu,2010-03-17,0.0,28.3,73.86
Mullaitivu,2010-03-18,0.03,28.54,70.74
Mullaitivu,2010-03-19,0.1,28.83,74.84
Mullaitivu,2010-03-20,0.03,29.04,72.09
Mullaitivu,2010-03-21,0.0,29.11,69.13
Mullaitivu,2010-03-22,0.01,28.84,73.81
Mullaitivu,2010-03-23,0.25,28.97,72.61
Mullaitivu,2010-03-24,0.0,28.74,72.7
Mullaitivu,2010-03-25,1.31,28.96,74.26
Mullaitivu,2010-03-26,4.44,29.57,74.85
Mullaitivu,2010-03-27,8.64,29.45,76.24
Mullaitivu,2010-03-28,3.74,29.16,75.96
Mullaitivu,2010-03-29,2.75,29.09,77.16
Mullaitivu,2010-03-30,1.66,30.04,73.22
Mullaitivu,2010-03-31,1.03,30.15,73.03
Mullaitivu,2010-04-01,0.21,30.59,72.07
Mullaitivu,2010-04-02,0.23,30.15,73.71
Mullaitivu,2010-04-03,0.22,29.72,73.81
Mullaitivu,2010-04-04,1.7,29.3,76.68
Mullaitivu,2010-04-05,2.25,29.29,74.65
Mullaitivu,2010-04-06,3.37,29.44,72.8
Mullaitivu,2010-04-07,1.97,29.39,73.82
Mullaitivu,2010-04-08,2.69,29.19,81.66
Mullaitivu,2010-04-09,0.21,29.7,77.89
Mullaitivu,2010-04-10,0.02,30.43,69.31
Mullaitivu,2010-04-11,0.06,30.95,66.31
Mullaitivu,2010-04-12,0.31,30.64,74.12
Mullaitivu,2010-04-13,0.42,31.11,70.47
Mullaitivu,2010-04-14,0.08,31.16,70.57
Mullaitivu,2010-04-15,0.35,30.84,72.08
Mullaitivu,2010-04-16,6.78,30.24,74.59
Mullaitivu,2010-04-17,12.19,29.34,81.3
Mullaitivu,2010-04-18,1.65,29.86,76.5
Mullaitivu,2010-04-19,1.07,30.09,76.62
Mullaitivu,2010-04-20,0.54,30.54,74.45
Mullaitivu,2010-04-21,0.75,30.59,74.4
Mullaitivu,2010-04-22,0.69,30.48,74.94
Mullaitivu,2010-04-23,1.82,29.93,78.24
Mullaitivu,2010-04-24,1.85,30.17,75.06
Mullaitivu,2010-04-25,1.85,30.6,70.6
Mullaitivu,2010-04-26,12.93,29.47,77.31
Mullaitivu,2010-04-27,11.45,29.58,76.97
Mullaitivu,2010-04-28,10.88,29.94,75.78
Mullaitivu,2010-04-29,10.95,29.55,80.16
Mullaitivu,2010-04-30,17.91,29.46,78.33
Mullaitivu,2010-05-01,6.69,29.87,71.44
Mullaitivu,2010-05-02,0.81,29.64,78.11
Mullaitivu,2010-05-03,2.51,29.95,74.31
Mullaitivu,2010-05-04,3.43,29.71,78.85
Mullaitivu,2010-05-05,1.95,30.01,79.35
Mullaitivu,2010-05-06,2.09,30.22,80.19
Mullaitivu,2010-05-07,2.92,30.04,79.99
Mullaitivu,2010-05-08,3.93,30.18,77.54
Mullaitivu,2010-05-09,2.88,30.01,80.16
Mullaitivu,2010-05-10,1.68,30.63,75.11
Mullaitivu,2010-05-11,0.76,30.64,76.9
Mullaitivu,2010-05-12,0.27,31.34,74.32
Mullaitivu,2010-05-13,0.14,30.92,77.07
Mullaitivu,2010-05-14,0.61,30.26,80.66
Mullaitivu,2010-05-15,0.7,30.78,73.65
Mullaitivu,2010-05-16,2.2,30.86,73.96
Mullaitivu,2010-05-17,1.7,30.52,73.9
Mullaitivu,2010-05-18,26.0,30.25,79.05
Mullaitivu,2010-05-19,13.88,29.5,80.27
Mullaitivu,2010-05-20,6.33,29.18,80.89
Mullaitivu,2010-05-21,1.59,29.35,78.08
Mullaitivu,2010-05-22,0.47,29.32,81.39
Mullaitivu,2010-05-23,0.72,29.33,80.3
Mullaitivu,2010-05-24,0.61,29.51,81.55
Mullaitivu,2010-05-25,0.6,29.63,80.01
Mullaitivu,2010-05-26,0.29,29.55,79.55
Mullaitivu,2010-05-27,0.31,29.5,81.01
Mullaitivu,2010-05-28,0.42,29.51,82.15
Mullaitivu,2010-05-29,0.38,29.44,82.45
Mullaitivu,2010-05-30,0.26,29.72,78.64
Mullaitivu,2010-05-31,0.08,30.03,73.76
Mullaitivu,2010-06-01,0.03,30.39,73.94
Mullaitivu,2010-06-02,0.16,30.28,77.46
Mullaitivu,2010-06-03,0.25,29.74,80.98
Mullaitivu,2010-06-04,0.29,29.71,81.77
Mullaitivu,2010-06-05,1.58,29.78,78.82
Mullaitivu,2010-06-06,0.62,29.32,76.09
Mullaitivu,2010-06-07,1.32,28.7,76.8
Mullaitivu,2010-06-08,0.42,29.26,74.5
Mullaitivu,2010-06-09,2.12,29.55,76.56
Mullaitivu,2010-06-10,7.31,28.82,81.03
Mullaitivu,2010-06-11,8.73,28.51,83.3
Mullaitivu,2010-06-12,1.41,28.76,80.56
Mullaitivu,2010-06-13,1.01,28.91,78.95
Mullaitivu,2010-06-14,1.19,29.16,75.91
Mullaitivu,2010-06-15,0.68,29.24,74.63
Mullaitivu,2010-06-16,1.19,28.28,81.92
Mullaitivu,2010-06-17,1.95,28.52,81.0
Mullaitivu,2010-06-18,1.87,28.72,74.95
Mullaitivu,2010-06-19,1.65,29.15,76.54
Mullaitivu,2010-06-20,2.07,29.4,75.84
Mullaitivu,2010-06-21,1.9,29.36,75.52
Mullaitivu,2010-06-22,1.87,29.12,78.18
Mullaitivu,2010-06-23,2.76,28.99,78.67
Mullaitivu,2010-06-24,0.43,28.92,71.38
Mullaitivu,2010-06-25,0.2,29.48,70.07
Mullaitivu,2010-06-26,0.06,29.95,69.69
Mullaitivu,2010-06-27,0.26,29.75,73.97
Mullaitivu,2010-06-28,0.99,29.63,77.56
Mullaitivu,2010-06-29,0.94,29.37,75.21
Mullaitivu,2010-06-30,0.98,29.08,73.06
Mullaitivu,2010-07-01,0.91,29.18,67.26
Mullaitivu,2010-07-02,0.57,28.94,70.44
Mullaitivu,2010-07-03,0.63,29.07,72.79
Mullaitivu,2010-07-04,3.23,29.03,75.17
Mullaitivu,2010-07-05,2.16,28.93,77.28
Mullaitivu,2010-07-06,0.89,29.0,71.32
Mullaitivu,2010-07-07,2.33,29.13,73.42
Mullaitivu,2010-07-08,3.14,28.43,78.58
Mullaitivu,2010-07-09,3.18,28.17,78.94
Mullaitivu,2010-07-10,2.96,29.34,73.92
Mullaitivu,2010-07-11,6.22,28.8,77.59
Mullaitivu,2010-07-12,2.82,28.67,77.47
Mullaitivu,2010-07-13,2.78,28.8,74.63
Mullaitivu,2010-07-14,2.34,28.59,75.16
Mullaitivu,2010-07-15,3.52,28.68,77.59
Mullaitivu,2010-07-16,2.3,28.77,76.88
Mullaitivu,2010-07-17,1.53,29.02,73.51
Mullaitivu,2010-07-18,1.5,29.08,73.34
Mullaitivu,2010-07-19,3.09,28.26,76.32
Mullaitivu,2010-07-20,1.88,28.39,74.14
Mullaitivu,2010-07-21,1.26,29.24,73.58
Mullaitivu,2010-07-22,1.24,29.24,74.64
Mullaitivu,2010-07-23,1.45,29.14,75.1
Mullaitivu,2010-07-24,0.96,29.46,73.06
Mullaitivu,2010-07-25,0.24,29.26,70.33
Mullaitivu,2010-07-26,0.23,29.54,69.59
Mullaitivu,2010-07-27,0.41,29.27,73.09
Mullaitivu,2010-07-28,0.55,28.9,73.08
Mullaitivu,2010-07-29,0.34,29.18,71.94
Mullaitivu,2010-07-30,0.03,29.04,72.05
Mullaitivu,2010-07-31,0.0,29.24,71.22
Mullaitivu,2010-08-01,0.03,29.72,71.19
Mullaitivu,2010-08-02,0.38,29.46,73.53
Mullaitivu,2010-08-03,0.92,29.09,75.47
Mullaitivu,2010-08-04,0.97,29.1,73.36
Mullaitivu,2010-08-05,0.17,29.02,77.3
Mullaitivu,2010-08-06,0.48,29.28,77.84
Mullaitivu,2010-08-07,0.4,29.5,75.72
Mullaitivu,2010-08-08,0.18,29.52,76.03
Mullaitivu,2010-08-09,0.27,29.45,75.39
Mullaitivu,2010-08-10,0.37,29.48,73.15
Mullaitivu,2010-08-11,0.69,29.73,73.13
Mullaitivu,2010-08-12,1.61,28.98,76.59
Mullaitivu,2010-08-13,0.57,29.24,74.44
Mullaitivu,2010-08-14,2.81,28.02,79.96
Mullaitivu,2010-08-15,6.89,28.15,82.1
Mullaitivu,2010-08-16,3.31,28.4,77.65
Mullaitivu,2010-08-17,2.17,28.9,75.04
Mullaitivu,2010-08-18,0.93,29.22,70.59
Mullaitivu,2010-08-19,0.84,29.16,71.39
Mullaitivu,2010-08-20,16.3,27.51,80.98
Mullaitivu,2010-08-21,48.64,26.71,84.81
Mullaitivu,2010-08-22,13.51,27.62,81.5
Mullaitivu,2010-08-23,4.19,28.65,77.61
