district,date,PRECTOTCORR,T2M,RH2M
Nuwara Eliya,2010-01-01,0.03,20.76,89.05
Nuwara Eliya,2010-01-02,0.36,20.8,91.17
Nuwara Eliya,2010-01-03,7.99,20.98,92.45
Nuwara Eliya,2010-01-04,0.46,20.34,89.65
Nuwara Eliya,2010-01-05,0.0,19.16,84.82
Nuwara Eliya,2010-01-06,0.0,18.78,87.25
Nuwara Eliya,2010-01-07,0.3,20.45,88.99
Nuwara Eliya,2010-01-08,7.68,21.06,91.99
Nuwara Eliya,2010-01-09,12.88,22.2,91.02
Nuwara Eliya,2010-01-10,1.8,21.59,88.42
Nuwara Eliya,2010-01-11,5.71,22.3,86.43
Nuwara Eliya,2010-01-12,15.56,22.71,85.84
Nuwara Eliya,2010-01-13,18.82,22.72,88.24
Nuwara Eliya,2010-01-14,0.81,21.78,88.54
Nuwara Eliya,2010-01-15,0.03,21.2,88.75
Nuwara Eliya,2010-01-16,4.25,21.67,89.83
Nuwara Eliya,2010-01-17,9.48,21.43,89.64
Nuwara Eliya,2010-01-18,0.9,21.38,89.12
Nuwara Eliya,2010-01-19,4.36,21.37,89.6
Nuwara Eliya,2010-01-20,0.35,20.52,87.13
Nuwara Eliya,2010-01-21,0.04,20.43,87.91
Nuwara Eliya,2010-01-22,0.0,20.11,86.98
Nuwara Eliya,2010-01-23,0.0,19.95,86.46
Nuwara Eliya,2010-01-24,0.0,20.34,85.03
Nuwara Eliya,2010-01-25,0.0,20.2,84.53
Nuwara Eliya,2010-01-26,0.0,21.04,86.88
Nuwara Eliya,2010-01-27,2.88,22.13,89.12
Nuwara Eliya,2010-01-28,1.33,21.97,88.27
Nuwara Eliya,2010-01-29,2.76,21.84,88.56
Nuwara Eliya,2010-01-30,3.8,22.06,90.59
Nuwara Eliya,2010-01-31,7.54,22.14,90.69
Nuwara Eliya,2010-02-01,15.75,22.15,91.09
Nuwara Eliya,2010-02-02,8.51,22.16,91.05
Nuwara Eliya,2010-02-03,1.23,21.88,88.75
Nuwara Eliya,2010-02-04,0.38,21.46,87.68
Nuwara Eliya,2010-02-05,0.0,21.3,88.42
Nuwara Eliya,2010-02-06,0.0,20.98,87.24
Nuwara Eliya,2010-02-07,0.0,20.49,87.08
Nuwara Eliya,2010-02-08,0.0,20.34,86.17
Nuwara Eliya,2010-02-09,0.01,21.17,83.97
Nuwara Eliya,2010-02-10,0.69,22.7,87.31
Nuwara Eliya,2010-02-11,0.59,22.61,87.66
Nuwara Eliya,2010-02-12,0.04,21.66,88.29
Nuwara Eliya,2010-02-13,1.52,22.15,88.16
Nuwara Eliya,2010-02-14,0.05,21.49,84.86
Nuwara Eliya,2010-02-15,0.06,21.0,82.85
Nuwara Eliya,2010-02-16,14.68,21.98,89.88
Nuwara Eliya,2010-02-17,5.46,22.6,90.45
Nuwara Eliya,2010-02-18,0.0,22.67,83.03
Nuwara Eliya,2010-02-19,0.0,22.63,82.59
Nuwara Eliya,2010-02-20,0.0,22.19,82.05
