district,date,PRECTOTCORR,T2M,RH2M
Polonnaruwa,2010-01-01,0.41,25.13,84.45
Polonnaruwa,2010-01-02,0.96,25.35,85.9
Polonnaruwa,2010-01-03,3.29,24.73,87.49
Polonnaruwa,2010-01-04,0.6,23.99,81.75
Polonnaruwa,2010-01-05,0.02,23.63,78.86
Polonnaruwa,2010-01-06,0.03,23.97,79.93
Polonnaruwa,2010-01-07,0.66,24.73,87.92
Polonnaruwa,2010-01-08,10.94,25.57,92.86
Polonnaruwa,2010-01-09,11.52,25.55,89.56
Polonnaruwa,2010-01-10,10.18,25.44,87.45
Polonnaruwa,2010-01-11,3.76,25.57,87.17
Polonnaruwa,2010-01-12,12.44,25.65,86.0
Polonnaruwa,2010-01-13,15.17,25.62,88.39
Polonnaruwa,2010-01-14,0.17,25.39,87.33
Polonnaruwa,2010-01-15,0.16,25.12,83.03
Polonnaruwa,2010-01-16,6.24,25.89,86.75
Polonnaruwa,2010-01-17,1.29,25.66,83.43
Polonnaruwa,2010-01-18,2.54,25.47,84.61
Polonnaruwa,2010-01-19,0.04,25.2,83.74
Polonnaruwa,2010-01-20,0.01,24.88,81.67
Polonnaruwa,2010-01-21,0.0,24.58,81.38
Polonnaruwa,2010-01-22,0.0,24.04,83.31
Polonnaruwa,2010-01-23,0.0,23.9,81.87
Polonnaruwa,2010-01-24,0.0,24.44,76.25
Polonnaruwa,2010-01-25,0.0,24.62,79.63
Polonnaruwa,2010-01-26,0.08,24.92,85.46
Polonnaruwa,2010-01-27,1.44,25.85,86.68
Polonnaruwa,2010-01-28,0.27,25.71,83.77
Polonnaruwa,2010-01-29,1.35,25.49,84.91
Polonnaruwa,2010-01-30,1.34,25.68,85.34
Polonnaruwa,2010-01-31,2.56,25.65,85.98
Polonnaruwa,2010-02-01,4.54,25.7,86.92
Polonnaruwa,2010-02-02,1.67,25.49,86.52
Polonnaruwa,2010-02-03,0.16,25.21,82.02
Polonnaruwa,2010-02-04,0.05,24.77,82.23
Polonnaruwa,2010-02-05,0.01,24.98,83.03
Polonnaruwa,2010-02-06,0.0,25.23,79.93
Polonnaruwa,2010-02-07,0.0,24.78,78.77
Polonnaruwa,2010-02-08,0.0,24.21,79.86
Polonnaruwa,2010-02-09,0.0,24.72,80.55
Polonnaruwa,2010-02-10,0.25,25.72,85.46
Polonnaruwa,2010-02-11,0.07,26.12,84.42
Polonnaruwa,2010-02-12,0.09,25.83,83.57
Polonnaruwa,2010-02-13,0.02,25.85,83.92
Polonnaruwa,2010-02-14,0.0,25.27,81.58
Polonnaruwa,2010-02-15,0.12,25.44,79.29
Polonnaruwa,2010-02-16,32.53,25.89,87.67
Polonnaruwa,2010-02-17,7.12,26.41,84.11
Polonnaruwa,2010-02-18,0.0,25.79,82.65
Polonnaruwa,2010-02-19,0.0,25.5,81.08
Polonnaruwa,2010-02-20,0.0,25.6,85.26
Polonnaruwa,2010-02-21,0.0,25.91,82.85
Polonnaruwa,2010-02-22,0.0,26.1,84.03
Polonnaruwa,2010-02-23,0.0,25.62,81.25
Polonnaruwa,2010-02-24,0.0,25.33,81.93
Polonnaruwa,2010-02-25,0.0,25.39,82.73
Polonnaruwa,2010-02-26,0.0,25.44,83.16
Polonnaruwa,2010-02-27,0.0,25.83,81.01
Polonnaruwa,2010-02-28,0.0,25.99,81.36
Polonnaruwa,2010-03-01,0.0,25.28,78.86
Polonnaruwa,2010-03-02,0.0,24.82,75.33
Polonnaruwa,2010-03-03,0.0,24.62,75.45
Polonnaruwa,2010-03-04,0.0,25.4,73.01
Polonnaruwa,2010-03-05,0.0,26.65,77.72
Polonnaruwa,2010-03-06,0.0,27.49,76.81
Polonnaruwa,2010-03-07,0.0,26.9,78.91
Polonnaruwa,2010-03-08,0.0,27.0,81.35
Polonnaruwa,2010-03-09,0.0,27.17,77.42
Polonnaruwa,2010-03-10,0.0,27.29,77.14
Polonnaruwa,2010-03-11,0.0,27.94,72.36
Polonnaruwa,2010-03-12,0.0,27.97,72.2
Polonnaruwa,2010-03-13,0.0,27.97,78.71
Polonnaruwa,2010-03-14,0.0,28.01,74.0
Polonnaruwa,2010-03-15,0.0,27.75,72.67
Polonnaruwa,2010-03-16,0.0,27.56,72.39
Polonnaruwa,2010-03-17,0.0,27.49,71.95
Polonnaruwa,2010-03-18,0.01,28.12,68.91
Polonnaruwa,2010-03-19,0.01,28.59,72.37
Polonnaruwa,2010-03-20,0.0,28.62,71.72
Polonnaruwa,2010-03-21,0.0,28.73,72.86
Polonnaruwa,2010-03-22,0.04,28.65,71.63
Polonnaruwa,2010-03-23,0.01,28.88,70.48
Polonnaruwa,2010-03-24,0.4,28.75,71.8
Polonnaruwa,2010-03-25,5.35,28.48,73.65
Polonnaruwa,2010-03-26,4.5,28.95,74.78
Polonnaruwa,2010-03-27,13.92,27.98,81.94
Polonnaruwa,2010-03-28,5.74,27.99,78.31
Polonnaruwa,2010-03-29,2.8,28.83,75.53
Polonnaruwa,2010-03-30,5.11,28.85,76.71
Polonnaruwa,2010-03-31,3.27,29.11,74.85
Polonnaruwa,2010-04-01,0.12,29.92,70.28
Polonnaruwa,2010-04-02,0.06,28.8,75.62
Polonnaruwa,2010-04-03,0.31,28.99,74.23
Polonnaruwa,2010-04-04,2.26,28.45,76.36
Polonnaruwa,2010-04-05,3.71,28.95,72.74
Polonnaruwa,2010-04-06,1.23,28.78,68.67
Polonnaruwa,2010-04-07,4.04,28.51,72.47
