district,date,PRECTOTCORR,T2M,RH2M
Puttalam,2010-01-01,0.03,24.99,82.69
Puttalam,2010-01-02,0.04,25.39,83.93
Puttalam,2010-01-03,0.16,24.87,84.49
Puttalam,2010-01-04,0.02,24.09,81.22
Puttalam,2010-01-05,0.0,23.18,80.46
Puttalam,2010-01-06,0.0,23.75,80.8
Puttalam,2010-01-07,0.18,24.96,80.67
Puttalam,2010-01-08,6.45,25.66,89.05
Puttalam,2010-01-09,16.61,25.89,90.46
Puttalam,2010-01-10,3.67,25.98,83.15
Puttalam,2010-01-11,4.18,26.29,82.77
Puttalam,2010-01-12,4.36,26.24,83.86
Puttalam,2010-01-13,9.56,26.15,86.38
Puttalam,2010-01-14,0.27,25.9,85.29
Puttalam,2010-01-15,0.02,25.2,82.27
Puttalam,2010-01-16,2.64,25.68,85.7
Puttalam,2010-01-17,0.38,25.64,83.18
Puttalam,2010-01-18,0.03,25.3,83.93
Puttalam,2010-01-19,0.01,25.16,82.54
Puttalam,2010-01-20,0.0,24.82,82.08
Puttalam,2010-01-21,0.0,24.37,81.27
Puttalam,2010-01-22,0.0,23.63,79.44
Puttalam,2010-01-23,0.0,23.68,78.8
Puttalam,2010-01-24,0.01,24.07,79.65
Puttalam,2010-01-25,0.0,24.38,80.74
Puttalam,2010-01-26,0.0,24.98,83.6
Puttalam,2010-01-27,0.47,25.77,85.16
Puttalam,2010-01-28,0.06,25.71,83.21
Puttalam,2010-01-29,0.08,25.5,80.73
Puttalam,2010-01-30,0.06,25.73,81.97
Puttalam,2010-01-31,0.14,25.65,81.14
Puttalam,2010-02-01,0.75,25.73,81.77
Puttalam,2010-02-02,0.27,25.54,80.78
Puttalam,2010-02-03,0.0,25.18,79.73
Puttalam,2010-02-04,0.0,25.03,79.48
Puttalam,2010-02-05,0.0,25.32,79.04
Puttalam,2010-02-06,0.0,25.16,77.99
Puttalam,2010-02-07,0.0,24.93,76.88
Puttalam,2010-02-08,0.0,24.64,75.45
Puttalam,2010-02-09,0.0,24.66,79.6
Puttalam,2010-02-10,0.13,26.0,80.83
Puttalam,2010-02-11,0.13,26.58,79.7
Puttalam,2010-02-12,0.0,26.24,80.19
Puttalam,2010-02-13,0.03,26.71,79.27
Puttalam,2010-02-14,0.0,26.2,77.8
Puttalam,2010-02-15,0.0,25.89,76.65
Puttalam,2010-02-16,5.91,26.15,81.2
Puttalam,2010-02-17,1.78,26.91,81.8
Puttalam,2010-02-18,0.0,26.74,77.35
Puttalam,2010-02-19,0.0,26.76,75.56
Puttalam,2010-02-20,0.0,26.82,77.43
Puttalam,2010-02-21,0.0,27.07,75.62
Puttalam,2010-02-22,0.0,27.33,76.08
Puttalam,2010-02-23,0.0,27.1,73.29
Puttalam,2010-02-24,0.0,26.81,70.33
Puttalam,2010-02-25,0.0,27.77,70.2
Puttalam,2010-02-26,0.0,27.59,69.19
Puttalam,2010-02-27,0.0,27.54,70.24
Puttalam,2010-02-28,0.0,27.73,70.49
Puttalam,2010-03-01,0.0,27.13,67.43
Puttalam,2010-03-02,0.0,26.51,64.91
Puttalam,2010-03-03,0.0,26.25,64.31
Puttalam,2010-03-04,0.0,26.71,68.71
Puttalam,2010-03-05,0.0,27.84,68.91
Puttalam,2010-03-06,0.0,28.02,68.04
Puttalam,2010-03-07,0.01,29.04,71.01
Puttalam,2010-03-08,0.0,29.9,64.98
Puttalam,2010-03-09,0.0,29.21,66.66
Puttalam,2010-03-10,0.0,29.04,67.51
Puttalam,2010-03-11,0.0,29.23,65.82
Puttalam,2010-03-12,0.0,29.56,63.27
Puttalam,2010-03-13,0.02,28.83,70.93
Puttalam,2010-03-14,0.01,29.64,63.91
Puttalam,2010-03-15,0.0,29.32,61.39
Puttalam,2010-03-16,0.0,29.11,60.35
Puttalam,2010-03-17,0.0,28.75,65.27
Puttalam,2010-03-18,0.0,29.2,62.71
Puttalam,2010-03-19,0.0,29.87,62.6
Puttalam,2010-03-20,0.0,30.0,63.69
Puttalam,2010-03-21,0.01,30.28,62.45
Puttalam,2010-03-22,0.31,30.13,64.43
Puttalam,2010-03-23,0.47,30.47,62.55
Puttalam,2010-03-24,1.28,30.0,65.04
Puttalam,2010-03-25,1.12,30.17,66.04
Puttalam,2010-03-26,6.46,29.55,70.82
Puttalam,2010-03-27,21.41,27.89,82.31
Puttalam,2010-03-28,5.61,28.68,71.05
Puttalam,2010-03-29,3.59,29.18,74.6
Puttalam,2010-03-30,4.16,28.99,74.34
Puttalam,2010-03-31,3.51,29.02,73.88
Puttalam,2010-04-01,0.6,29.61,72.25
Puttalam,2010-04-02,0.22,29.66,73.08
Puttalam,2010-04-03,0.41,30.21,68.88
Puttalam,2010-04-04,6.01,29.72,69.47
Puttalam,2010-04-05,11.7,28.21,79.59
Puttalam,2010-04-06,5.95,29.16,70.0
Puttalam,2010-04-07,12.46,28.96,70.26
Puttalam,2010-04-08,3.89,28.67,78.31
Puttalam,2010-04-09,0.74,29.04,75.52
Puttalam,2010-04-10,1.0,28.93,77.77
Puttalam,2010-04-11,0.35,29.88,64.41
Puttalam,2010-04-12,0.22,29.39,75.9
Puttalam,2010-04-13,1.17,29.73,72.44
Puttalam,2010-04-14,1.15,29.2,79.0
Puttalam,2010-04-15,2.23,30.09,73.45
Puttalam,2010-04-16,8.42,29.17,79.87
Puttalam,2010-04-17,30.74,28.32,84.93
Puttalam,2010-04-18,9.31,28.36,83.42
Puttalam,2010-04-19,3.25,28.32,81.47
Puttalam,2010-04-20,0.73,28.97,79.25
Puttalam,2010-04-21,1.1,28.93,80.13
Puttalam,2010-04-22,1.06,29.18,79.95
Puttalam,2010-04-23,4.76,28.16,87.0
Puttalam,2010-04-24,5.18,28.21,81.89
Puttalam,2010-04-25,2.09,28.82,75.6
Puttalam,2010-04-26,10.46,27.28,86.87
Puttalam,2010-04-27,13.7,27.81,81.73
Puttalam,2010-04-28,5.71,28.93,76.05
Puttalam,2010-04-29,7.99,29.06,78.63
Puttalam,2010-04-30,27.85,29.0,80.48
Puttalam,2010-05-01,15.4,28.38,70.12
