district,date,PRECTOTCORR,T2M,RH2M
Ratnapura,2010-01-01,0.0,23.55,83.35
Ratnapura,2010-01-02,0.1,23.38,85.77
Ratnapura,2010-01-03,7.4,23.69,87.79
Ratnapura,2010-01-04,0.36,23.42,84.6
Ratnapura,2010-01-05,0.0,22.42,78.1
Ratnapura,2010-01-06,0.0,21.94,80.99
Ratnapura,2010-01-07,0.1,23.43,80.21
Ratnapura,2010-01-08,8.13,23.49,87.33
Ratnapura,2010-01-09,9.16,23.7,90.19
Ratnapura,2010-01-10,0.68,23.54,89.42
Ratnapura,2010-01-11,10.95,23.96,87.79
Ratnapura,2010-01-12,13.16,24.62,86.7
Ratnapura,2010-01-13,18.18,24.43,88.89
Ratnapura,2010-01-14,1.34,24.21,85.88
Ratnapura,2010-01-15,0.02,23.98,84.87
Ratnapura,2010-01-16,1.64,24.18,85.02
Ratnapura,2010-01-17,9.72,24.06,85.52
Ratnapura,2010-01-18,0.69,23.95,85.34
Ratnapura,2010-01-19,5.98,24.09,85.94
Ratnapura,2010-01-20,0.49,23.29,82.05
Ratnapura,2010-01-21,0.11,23.18,83.05
Ratnapura,2010-01-22,0.0,23.18,81.52
Ratnapura,2010-01-23,0.0,23.08,81.97
Ratnapura,2010-01-24,0.0,22.93,83.06
Ratnapura,2010-01-25,0.0,23.01,79.44
Ratnapura,2010-01-26,0.0,23.71,81.61
Ratnapura,2010-01-27,2.13,24.59,84.9
Ratnapura,2010-01-28,0.84,24.6,84.26
Ratnapura,2010-01-29,2.64,24.56,83.57
Ratnapura,2010-01-30,3.86,24.58,86.88
Ratnapura,2010-01-31,8.1,24.71,86.45
Ratnapura,2010-02-01,17.31,24.52,87.8
Ratnapura,2010-02-02,14.31,24.56,88.91
Ratnapura,2010-02-03,1.93,24.69,84.91
Ratnapura,2010-02-04,0.22,24.24,83.06
Ratnapura,2010-02-05,0.0,24.13,83.44
Ratnapura,2010-02-06,0.0,23.79,82.29
Ratnapura,2010-02-07,0.0,23.24,82.55
Ratnapura,2010-02-08,0.0,23.33,80.44
Ratnapura,2010-02-09,0.01,23.93,80.78
Ratnapura,2010-02-10,0.63,24.98,85.5
Ratnapura,2010-02-11,0.7,24.99,84.79
Ratnapura,2010-02-12,0.05,24.34,82.51
Ratnapura,2010-02-13,3.72,24.87,83.1
Ratnapura,2010-02-14,0.18,23.8,83.36
Ratnapura,2010-02-15,0.02,23.49,80.84
Ratnapura,2010-02-16,8.19,24.52,84.8
Ratnapura,2010-02-17,4.19,25.03,87.57
Ratnapura,2010-02-18,0.0,25.14,82.17
Ratnapura,2010-02-19,0.0,25.16,81.02
Ratnapura,2010-02-20,0.0,24.73,80.4
Ratnapura,2010-02-21,0.0,24.26,80.73
Ratnapura,2010-02-22,0.0,24.49,81.08
Ratnapura,2010-02-23,0.0,24.05,77.75
Ratnapura,2010-02-24,0.0,24.28,77.82
Ratnapura,2010-02-25,0.0,24.94,80.36
Ratnapura,2010-02-26,0.0,25.08,77.78
Ratnapura,2010-02-27,0.0,24.72,74.18
Ratnapura,2010-02-28,0.0,24.45,77.97
Ratnapura,2010-03-01,0.0,24.09,75.28
Ratnapura,2010-03-02,0.0,24.38,69.33
Ratnapura,2010-03-03,0.0,24.37,73.73
Ratnapura,2010-03-04,0.0,24.7,79.58
Ratnapura,2010-03-05,0.0,25.12,80.01
Ratnapura,2010-03-06,0.06,24.24,78.42
Ratnapura,2010-03-07,0.24,25.47,79.33
Ratnapura,2010-03-08,0.26,26.32,78.24
Ratnapura,2010-03-09,0.42,25.93,76.18
Ratnapura,2010-03-10,0.0,25.28,77.59
Ratnapura,2010-03-11,0.6,25.51,77.42
Ratnapura,2010-03-12,0.35,26.04,77.23
Ratnapura,2010-03-13,0.0,25.6,80.23
Ratnapura,2010-03-14,0.0,26.13,77.05
Ratnapura,2010-03-15,0.0,25.83,71.09
Ratnapura,2010-03-16,0.0,25.95,69.75
Ratnapura,2010-03-17,0.0,25.4,70.96
Ratnapura,2010-03-18,0.01,25.57,73.86
Ratnapura,2010-03-19,1.04,26.18,73.36
Ratnapura,2010-03-20,0.16,26.27,72.9
Ratnapura,2010-03-21,3.02,26.51,74.71
Ratnapura,2010-03-22,4.51,26.71,78.37
Ratnapura,2010-03-23,2.61,26.95,79.02
Ratnapura,2010-03-24,16.71,25.69,88.37
Ratnapura,2010-03-25,1.02,26.65,81.13
Ratnapura,2010-03-26,14.48,26.66,79.11
Ratnapura,2010-03-27,45.16,25.67,86.48
Ratnapura,2010-03-28,5.56,25.66,80.48
Ratnapura,2010-03-29,1.74,26.28,81.5
Ratnapura,2010-03-30,14.68,26.22,84.94
Ratnapura,2010-03-31,10.73,25.7,86.38
Ratnapura,2010-04-01,1.63,26.02,85.88
Ratnapura,2010-04-02,0.13,26.86,83.05
Ratnapura,2010-04-03,1.46,26.71,80.94
Ratnapura,2010-04-04,2.84,25.7,85.08
Ratnapura,2010-04-05,9.18,25.95,82.81
Ratnapura,2010-04-06,5.65,25.27,81.94
Ratnapura,2010-04-07,8.41,25.52,81.53
Ratnapura,2010-04-08,1.76,25.46,85.17
Ratnapura,2010-04-09,8.97,24.92,86.67
Ratnapura,2010-04-10,13.05,25.5,85.14
Ratnapura,2010-04-11,8.82,25.85,86.1
Ratnapura,2010-04-12,2.84,25.71,88.99
Ratnapura,2010-04-13,10.72,25.47,90.04
Ratnapura,2010-04-14,6.44,25.41,90.43
Ratnapura,2010-04-15,0.55,26.6,83.27
Ratnapura,2010-04-16,6.61,26.58,85.51
Ratnapura,2010-04-17,27.03,26.22,87.82
Ratnapura,2010-04-18,14.2,26.37,85.84
Ratnapura,2010-04-19,6.39,25.86,87.33
Ratnapura,2010-04-20,1.85,25.86,88.28
Ratnapura,2010-04-21,14.0,25.58,90.1
Ratnapura,2010-04-22,17.63,26.17,88.79
Ratnapura,2010-04-23,12.48,25.9,91.48
Ratnapura,2010-04-24,21.63,25.48,90.04
Ratnapura,2010-04-25,7.29,25.1,89.98
Ratnapura,2010-04-26,14.25,25.21,89.26
Ratnapura,2010-04-27,7.73,25.66,87.58
Ratnapura,2010-04-28,2.21,25.91,87.02
Ratnapura,2010-04-29,17.06,26.29,86.92
Ratnapura,2010-04-30,17.78,26.47,86.32
Ratnapura,2010-05-01,7.25,26.29,89.12
Ratnapura,2010-05-02,8.24,26.96,85.3
Ratnapura,2010-05-03,7.92,26.0,91.33
Ratnapura,2010-05-04,13.17,25.74,92.69
Ratnapura,2010-05-05,3.87,26.09,90.57
Ratnapura,2010-05-06,7.42,25.53,92.39
Ratnapura,2010-05-07,7.73,26.16,89.79
Ratnapura,2010-05-08,9.86,25.75,93.58
Ratnapura,2010-05-09,11.66,25.73,89.53
Ratnapura,2010-05-10,1.41,26.33,85.4
Ratnapura,2010-05-11,3.62,26.06,89.41
Ratnapura,2010-05-12,9.65,26.65,89.41
Ratnapura,2010-05-13,13.68,26.56,91.4
Ratnapura,2010-05-14,22.52,25.55,88.64
Ratnapura,2010-05-15,6.92,25.79,87.9
Ratnapura,2010-05-16,17.5,25.77,88.71
Ratnapura,2010-05-17,54.58,25.42,92.15
Ratnapura,2010-05-18,38.69,25.02,92.77
Ratnapura,2010-05-19,27.81,25.26,93.03
Ratnapura,2010-05-20,18.03,24.88,93.73
Ratnapura,2010-05-21,12.46,24.69,93.23
Ratnapura,2010-05-22,7.15,25.15,90.38
Ratnapura,2010-05-23,6.48,24.86,93.66
Ratnapura,2010-05-24,7.31,25.34,91.7
Ratnapura,2010-05-25,6.52,25.44,90.86
Ratnapura,2010-05-26,2.68,25.8,89.76
Ratnapura,2010-05-27,0.99,25.88,90.41
Ratnapura,2010-05-28,6.79,25.8,91.14
Ratnapura,2010-05-29,3.64,25.74,90.54
Ratnapura,2010-05-30,2.22,25.53,89.89
Ratnapura,2010-05-31,0.27,25.56,88.35
Ratnapura,2010-06-01,0.0,26.09,86.96
Ratnapura,2010-06-02,0.39,26.05,88.4
Ratnapura,2010-06-03,1.59,25.68,90.68
Ratnapura,2010-06-04,1.52,26.0,90.3
Ratnapura,2010-06-05,3.66,25.28,88.94
Ratnapura,2010-06-06,3.9,25.09,88.88
Ratnapura,2010-06-07,5.03,24.85,89.93
Ratnapura,2010-06-08,1.5,24.13,88.51
Ratnapura,2010-06-09,4.06,24.39,88.57
Ratnapura,2010-06-10,13.33,24.92,87.81
Ratnapura,2010-06-11,14.47,24.81,90.27
Ratnapura,2010-06-12,14.89,24.9,88.73
Ratnapura,2010-06-13,5.09,24.74,90.76
Ratnapura,2010-06-14,3.74,24.44,90.56
Ratnapura,2010-06-15,3.52,24.67,90.47
Ratnapura,2010-06-16,10.0,24.47,92.38
Ratnapura,2010-06-17,5.67,24.77,90.9
Ratnapura,2010-06-18,6.01,24.57,88.28
Ratnapura,2010-06-19,8.08,24.76,88.06
Ratnapura,2010-06-20,5.41,25.01,88.63
Ratnapura,2010-06-21,4.79,25.02,89.32
Ratnapura,2010-06-22,5.15,24.91,89.87
Ratnapura,2010-06-23,19.68,24.86,89.6
Ratnapura,2010-06-24,7.16,24.92,87.41
Ratnapura,2010-06-25,1.09,24.66,88.55
Ratnapura,2010-06-26,2.69,24.95,88.05
Ratnapura,2010-06-27,5.67,25.11,90.88
Ratnapura,2010-06-28,6.53,24.6,92.27
Ratnapura,2010-06-29,2.72,24.64,89.24
Ratnapura,2010-06-30,3.43,24.31,90.33
Ratnapura,2010-07-01,6.49,24.09,89.51
Ratnapura,2010-07-02,3.74,24.17,90.6
Ratnapura,2010-07-03,3.8,24.76,89.7
Ratnapura,2010-07-04,5.21,24.38,91.52
Ratnapura,2010-07-05,5.39,24.49,90.33
Ratnapura,2010-07-06,0.82,24.16,89.29
Ratnapura,2010-07-07,4.14,25.08,86.87
Ratnapura,2010-07-08,6.18,24.89,89.45
