district,date,PRECTOTCORR,T2M,RH2M
Trincomalee,2010-01-01,0.46,25.98,78.99
Trincomalee,2010-01-02,0.8,26.07,81.49
Trincomalee,2010-01-03,1.23,25.6,81.02
Trincomalee,2010-01-04,0.34,24.89,76.82
Trincomalee,2010-01-05,0.01,24.7,73.93
Trincomalee,2010-01-06,0.11,25.2,74.28
Trincomalee,2010-01-07,1.18,25.63,83.99
Trincomalee,2010-01-08,12.0,26.4,88.66
Trincomalee,2010-01-09,4.2,26.59,84.66
Trincomalee,2010-01-10,8.72,26.23,83.99
Trincomalee,2010-01-11,5.83,26.21,83.86
Trincomalee,2010-01-12,13.95,26.09,84.06
Trincomalee,2010-01-13,13.2,26.21,85.86
Trincomalee,2010-01-14,0.17,26.23,83.21
Trincomalee,2010-01-15,0.2,26.03,78.13
Trincomalee,2010-01-16,3.33,26.73,82.26
Trincomalee,2010-01-17,0.58,26.58,78.35
Trincomalee,2010-01-18,0.63,26.32,79.61
Trincomalee,2010-01-19,0.0,26.11,78.42
Trincomalee,2010-01-20,0.0,25.85,77.85
Trincomalee,2010-01-21,0.0,25.43,77.98
Trincomalee,2010-01-22,0.0,24.82,79.29
Trincomalee,2010-01-23,0.0,24.79,77.33
Trincomalee,2010-01-24,0.0,25.54,70.59
Trincomalee,2010-01-25,0.0,25.49,77.04
Trincomalee,2010-01-26,0.1,25.79,81.85
Trincomalee,2010-01-27,1.43,26.52,83.11
Trincomalee,2010-01-28,0.2,26.44,79.66
Trincomalee,2010-01-29,0.5,26.19,79.86
Trincomalee,2010-01-30,0.33,26.29,80.35
Trincomalee,2010-01-31,0.53,26.22,81.0
Trincomalee,2010-02-01,1.33,26.23,82.55
Trincomalee,2010-02-02,0.41,26.16,80.49
Trincomalee,2010-02-03,0.03,25.88,77.06
Trincomalee,2010-02-04,0.03,25.58,77.83
Trincomalee,2010-02-05,0.01,25.93,78.2
Trincomalee,2010-02-06,0.0,26.09,75.37
Trincomalee,2010-02-07,0.0,25.62,74.13
Trincomalee,2010-02-08,0.0,25.13,76.0
Trincomalee,2010-02-09,0.0,25.4,77.94
Trincomalee,2010-02-10,0.04,26.23,80.86
Trincomalee,2010-02-11,0.02,26.69,79.86
Trincomalee,2010-02-12,0.04,26.62,79.02
Trincomalee,2010-02-13,0.01,26.48,80.31
Trincomalee,2010-02-14,0.0,26.02,78.55
Trincomalee,2010-02-15,0.03,26.33,74.78
Trincomalee,2010-02-16,11.87,26.74,81.46
Trincomalee,2010-02-17,2.1,27.09,79.64
Trincomalee,2010-02-18,0.0,26.41,78.31
Trincomalee,2010-02-19,0.0,26.39,75.77
Trincomalee,2010-02-20,0.0,26.28,80.78
Trincomalee,2010-02-21,0.0,26.62,79.01
Trincomalee,2010-02-22,0.0,26.73,81.98
Trincomalee,2010-02-23,0.0,26.5,77.86
Trincomalee,2010-02-24,0.0,26.37,78.1
Trincomalee,2010-02-25,0.0,26.49,77.57
Trincomalee,2010-02-26,0.0,26.52,78.15
Trincomalee,2010-02-27,0.0,26.79,77.92
Trincomalee,2010-02-28,0.0,26.82,77.25
