district,date,PRECTOTCORR,T2M,RH2M
Vavuniya,2010-01-01,0.12,24.95,83.05
Vavuniya,2010-01-02,0.2,25.02,84.32
Vavuniya,2010-01-03,0.17,24.41,84.52
Vavuniya,2010-01-04,0.02,23.6,80.55
Vavuniya,2010-01-05,0.0,23.11,79.39
Vavuniya,2010-01-06,0.21,23.82,80.75
Vavuniya,2010-01-07,0.82,24.71,84.7
Vavuniya,2010-01-08,15.7,25.46,92.44
Vavuniya,2010-01-09,4.57,25.82,89.35
Vavuniya,2010-01-10,7.31,25.66,86.47
Vavuniya,2010-01-11,7.86,25.57,87.1
Vavuniya,2010-01-12,15.89,25.45,87.96
Vavuniya,2010-01-13,12.48,25.61,88.8
Vavuniya,2010-01-14,0.2,25.48,86.98
Vavuniya,2010-01-15,0.15,24.96,82.34
Vavuniya,2010-01-16,1.58,25.64,85.98
Vavuniya,2010-01-17,0.23,25.48,82.98
Vavuniya,2010-01-18,0.11,25.21,83.41
Vavuniya,2010-01-19,0.0,24.92,83.0
Vavuniya,2010-01-20,0.0,24.59,82.05
Vavuniya,2010-01-21,0.0,23.94,80.8
Vavuniya,2010-01-22,0.0,23.25,78.81
Vavuniya,2010-01-23,0.0,23.44,80.33
Vavuniya,2010-01-24,0.01,24.05,78.65
Vavuniya,2010-01-25,0.02,24.48,81.12
Vavuniya,2010-01-26,0.07,24.83,84.26
Vavuniya,2010-01-27,2.46,25.52,86.85
Vavuniya,2010-01-28,0.45,25.53,82.7
Vavuniya,2010-01-29,0.05,25.13,81.03
Vavuniya,2010-01-30,0.02,25.14,82.1
Vavuniya,2010-01-31,0.01,25.04,82.94
Vavuniya,2010-02-01,0.08,25.12,83.55
Vavuniya,2010-02-02,0.02,24.91,81.23
Vavuniya,2010-02-03,0.0,24.52,80.49
Vavuniya,2010-02-04,0.01,24.42,80.15
Vavuniya,2010-02-05,0.0,24.82,80.45
Vavuniya,2010-02-06,0.0,24.94,77.91
Vavuniya,2010-02-07,0.0,24.37,77.18
Vavuniya,2010-02-08,0.0,23.72,78.99
Vavuniya,2010-02-09,0.0,23.93,82.64
Vavuniya,2010-02-10,0.01,25.01,84.09
Vavuniya,2010-02-11,0.0,25.54,83.16
Vavuniya,2010-02-12,0.01,25.44,83.69
Vavuniya,2010-02-13,0.01,25.68,82.79
Vavuniya,2010-02-14,0.0,25.0,83.21
Vavuniya,2010-02-15,0.0,24.92,80.29
Vavuniya,2010-02-16,2.55,25.71,81.79
Vavuniya,2010-02-17,0.4,26.19,83.45
Vavuniya,2010-02-18,0.0,25.64,81.92
Vavuniya,2010-02-19,0.0,25.43,80.15
Vavuniya,2010-02-20,0.0,25.48,83.07
Vavuniya,2010-02-21,0.0,25.8,81.97
Vavuniya,2010-02-22,0.0,26.05,83.39
Vavuniya,2010-02-23,0.0,26.03,79.1
Vavuniya,2010-02-24,0.0,25.97,79.31
Vavuniya,2010-02-25,0.0,26.17,78.03
Vavuniya,2010-02-26,0.0,26.08,79.1
Vavuniya,2010-02-27,0.0,26.24,78.48
Vavuniya,2010-02-28,0.0,26.29,76.77
Vavuniya,2010-03-01,0.0,25.6,73.58
Vavuniya,2010-03-02,0.0,24.95,71.28
Vavuniya,2010-03-03,0.0,25.05,71.31
Vavuniya,2010-03-04,0.0,25.97,68.12
Vavuniya,2010-03-05,0.0,27.23,69.97
Vavuniya,2010-03-06,0.0,27.83,71.07
Vavuniya,2010-03-07,0.0,27.9,74.88
Vavuniya,2010-03-08,0.0,28.06,75.37
Vavuniya,2010-03-09,0.0,27.87,72.86
Vavuniya,2010-03-10,0.0,28.03,72.05
Vavuniya,2010-03-11,0.0,28.24,69.8
Vavuniya,2010-03-12,0.0,28.36,68.43
Vavuniya,2010-03-13,0.0,28.2,74.68
Vavuniya,2010-03-14,0.0,28.29,69.71
Vavuniya,2010-03-15,0.0,28.17,70.31
Vavuniya,2010-03-16,0.0,28.14,69.93
Vavuniya,2010-03-17,0.0,27.91,71.61
Vavuniya,2010-03-18,0.01,28.25,68.48
Vavuniya,2010-03-19,0.02,28.81,70.83
Vavuniya,2010-03-20,0.0,28.9,70.54
Vavuniya,2010-03-21,0.0,29.09,67.82
Vavuniya,2010-03-22,0.02,29.07,69.69
Vavuniya,2010-03-23,0.39,29.18,68.86
Vavuniya,2010-03-24,0.01,29.16,68.43
Vavuniya,2010-03-25,2.46,29.06,71.26
Vavuniya,2010-03-26,5.32,29.62,71.94
Vavuniya,2010-03-27,12.35,28.85,77.71
Vavuniya,2010-03-28,4.43,28.45,77.17
Vavuniya,2010-03-29,2.37,28.72,76.36
Vavuniya,2010-03-30,1.77,29.85,72.15
Vavuniya,2010-03-31,1.11,29.76,71.42
Vavuniya,2010-04-01,0.11,30.73,68.13
Vavuniya,2010-04-02,0.13,29.91,72.43
Vavuniya,2010-04-03,0.17,29.74,70.2
Vavuniya,2010-04-04,2.41,29.27,73.13
Vavuniya,2010-04-05,3.52,29.16,73.4
Vavuniya,2010-04-06,2.5,29.04,69.35
Vavuniya,2010-04-07,2.35,28.95,71.46
Vavuniya,2010-04-08,2.19,28.62,80.76
Vavuniya,2010-04-09,0.26,29.65,74.98
Vavuniya,2010-04-10,0.05,30.42,66.66
Vavuniya,2010-04-11,0.05,30.92,62.83
Vavuniya,2010-04-12,0.36,30.43,71.69
Vavuniya,2010-04-13,0.3,31.01,67.63
Vavuniya,2010-04-14,0.03,30.91,68.78
Vavuniya,2010-04-15,0.41,31.19,67.7
Vavuniya,2010-04-16,10.84,30.02,74.09
Vavuniya,2010-04-17,17.56,28.59,83.5
Vavuniya,2010-04-18,2.27,29.38,77.1
Vavuniya,2010-04-19,0.9,29.24,76.99
Vavuniya,2010-04-20,0.18,30.24,72.04
Vavuniya,2010-04-21,0.42,30.34,72.22
Vavuniya,2010-04-22,0.36,29.81,75.42
Vavuniya,2010-04-23,2.81,29.16,80.25
Vavuniya,2010-04-24,2.17,29.25,77.71
Vavuniya,2010-04-25,1.78,30.33,70.21
Vavuniya,2010-04-26,17.42,28.6,79.66
Vavuniya,2010-04-27,12.61,29.01,77.34
Vavuniya,2010-04-28,9.79,29.4,76.13
Vavuniya,2010-04-29,9.23,29.09,79.83
Vavuniya,2010-04-30,19.82,28.55,80.68
Vavuniya,2010-05-01,8.14,28.74,75.11
Vavuniya,2010-05-02,0.67,29.34,77.8
Vavuniya,2010-05-03,2.32,29.63,76.52
Vavuniya,2010-05-04,1.65,28.52,83.52
Vavuniya,2010-05-05,0.94,28.97,82.23
Vavuniya,2010-05-06,2.49,29.1,82.44
Vavuniya,2010-05-07,3.26,28.91,83.8
Vavuniya,2010-05-08,6.29,29.03,82.04
Vavuniya,2010-05-09,3.13,28.78,83.19
Vavuniya,2010-05-10,2.0,29.75,77.52
Vavuniya,2010-05-11,0.83,29.72,78.48
Vavuniya,2010-05-12,0.24,30.65,75.91
Vavuniya,2010-05-13,0.1,30.22,78.21
Vavuniya,2010-05-14,0.69,29.08,82.94
Vavuniya,2010-05-15,0.59,30.36,72.33
Vavuniya,2010-05-16,1.38,30.07,74.5
Vavuniya,2010-05-17,1.3,29.99,74.89
Vavuniya,2010-05-18,21.42,29.01,81.58
Vavuniya,2010-05-19,9.59,28.59,82.08
Vavuniya,2010-05-20,3.48,28.03,82.56
Vavuniya,2010-05-21,0.88,28.31,78.9
Vavuniya,2010-05-22,0.31,28.49,80.94
Vavuniya,2010-05-23,0.56,28.51,81.17
Vavuniya,2010-05-24,0.34,28.88,80.7
Vavuniya,2010-05-25,0.37,29.08,79.63
Vavuniya,2010-05-26,0.13,29.16,78.09
Vavuniya,2010-05-27,0.1,29.15,79.08
Vavuniya,2010-05-28,0.1,29.11,80.71
Vavuniya,2010-05-29,0.12,29.11,80.4
Vavuniya,2010-05-30,0.06,29.29,76.98
Vavuniya,2010-05-31,0.01,29.72,71.22
Vavuniya,2010-06-01,0.0,30.36,69.58
Vavuniya,2010-06-02,0.01,30.27,73.03
Vavuniya,2010-06-03,0.04,29.43,77.84
Vavuniya,2010-06-04,0.05,29.44,78.45
Vavuniya,2010-06-05,0.74,29.28,75.83
Vavuniya,2010-06-06,0.3,28.77,75.86
Vavuniya,2010-06-07,0.32,28.64,73.08
Vavuniya,2010-06-08,0.1,28.58,73.21
Vavuniya,2010-06-09,0.47,28.82,74.38
Vavuniya,2010-06-10,3.41,28.07,78.57
Vavuniya,2010-06-11,3.31,27.81,80.24
Vavuniya,2010-06-12,0.62,28.21,78.31
Vavuniya,2010-06-13,0.51,28.42,76.69
Vavuniya,2010-06-14,0.97,28.78,73.37
Vavuniya,2010-06-15,0.53,28.59,74.14
Vavuniya,2010-06-16,0.63,27.78,80.09
Vavuniya,2010-06-17,0.76,27.95,79.74
Vavuniya,2010-06-18,0.56,28.19,72.1
Vavuniya,2010-06-19,0.51,28.86,73.73
Vavuniya,2010-06-20,1.97,29.26,72.66
Vavuniya,2010-06-21,1.46,29.17,73.42
Vavuniya,2010-06-22,0.84,28.87,75.43
Vavuniya,2010-06-23,1.42,28.57,75.97
Vavuniya,2010-06-24,0.24,29.09,65.59
Vavuniya,2010-06-25,0.12,29.42,65.17
Vavuniya,2010-06-26,0.05,29.88,66.72
Vavuniya,2010-06-27,0.14,29.65,70.77
Vavuniya,2010-06-28,0.34,29.4,73.8
Vavuniya,2010-06-29,0.27,29.25,70.65
Vavuniya,2010-06-30,0.37,28.88,69.13
Vavuniya,2010-07-01,0.25,29.09,62.95
Vavuniya,2010-07-02,0.25,28.92,66.11
Vavuniya,2010-07-03,0.12,29.19,68.34
Vavuniya,2010-07-04,1.35,29.14,70.41
Vavuniya,2010-07-05,1.24,28.96,71.97
Vavuniya,2010-07-06,0.52,28.69,68.17
Vavuniya,2010-07-07,2.96,29.03,72.48
Vavuniya,2010-07-08,2.83,27.78,78.92
Vavuniya,2010-07-09,2.29,28.06,76.88
Vavuniya,2010-07-10,4.08,29.35,71.82
Vavuniya,2010-07-11,7.36,28.12,78.23
Vavuniya,2010-07-12,1.62,28.32,75.59
Vavuniya,2010-07-13,1.35,28.62,70.68
