district,date,rain_sum,temp_max,temp_min
Colombo,2025-12-06,0.0,28.5,26.2
Colombo,2025-12-07,0.0,27.9,25.9
Colombo,2025-12-08,0.0,28.8,25.5
Colombo,2025-12-09,0.0,28.1,26.0
Colombo,2025-12-10,0.0,28.1,25.6
Colombo,2025-12-11,0.0,28.5,25.7
Colombo,2025-12-12,0.0,27.8,25.4
Colombo,2025-12-13,0.23,28.6,25.1
Colombo,2025-12-14,5.6,28.8,21.7
Colombo,2025-12-15,0.0,29.8,20.4
Colombo,2025-12-16,0.0,26.7,22.2
Colombo,2025-12-17,0.0,25.0,21.8
Colombo,2025-12-18,0.0,26.5,22.3
Colombo,2025-12-19,0.0,28.1,21.9
Gampaha,2025-12-06,0.0,32.4,23.2
Gampaha,2025-12-07,0.0,32.5,23.5
Gampaha,2025-12-08,0.0,32.2,23.2
Gampaha,2025-12-09,0.0,29.6,24.1
Gampaha,2025-12-10,0.0,30.4,23.0
Gampaha,2025-12-11,0.0,31.5,23.3
Gampaha,2025-12-12,0.0,32.3,23.0
Gampaha,2025-12-13,0.07,32.0,22.7
Gampaha,2025-12-14,4.62,29.0,21.2
Gampaha,2025-12-15,0.0,30.4,20.6
Gampaha,2025-12-16,0.6,26.6,22.0
Gampaha,2025-12-17,0.3,24.3,21.7
Gampaha,2025-12-18,0.0,25.1,21.8
Gampaha,2025-12-19,0.0,30.2,22.0
Kalutara,2025-12-06,0.0,29.8,23.6
Kalutara,2025-12-07,0.0,30.0,23.2
Kalutara,2025-12-08,0.0,32.4,23.1
Kalutara,2025-12-09,0.0,30.2,23.7
Kalutara,2025-12-10,0.0,29.9,22.8
Kalutara,2025-12-11,0.0,30.0,23.5
Kalutara,2025-12-12,0.0,29.5,23.7
Kalutara,2025-12-13,1.23,31.5,23.4
Kalutara,2025-12-14,5.98,29.7,21.6
Kalutara,2025-12-15,0.2,30.0,20.1
Kalutara,2025-12-16,0.3,26.5,21.1
Kalutara,2025-12-17,0.0,25.5,20.5
Kalutara,2025-12-18,0.0,27.4,21.4
Kalutara,2025-12-19,0.0,29.7,21.3
Kandy,2025-12-06,0.0,30.4,20.7
Kandy,2025-12-07,0.0,30.2,21.8
Kandy,2025-12-08,0.0,30.5,20.6
Kandy,2025-12-09,0.0,28.6,23.1
Kandy,2025-12-10,0.0,28.2,21.1
Kandy,2025-12-11,0.0,29.5,21.3
Kandy,2025-12-12,0.0,31.3,20.4
Kandy,2025-12-13,0.12,31.1,19.4
Kandy,2025-12-14,13.55,24.5,18.7
Kandy,2025-12-15,0.0,28.2,17.3
Kandy,2025-12-16,41.3,21.7,18.6
Kandy,2025-12-17,3.2,23.5,18.3
Kandy,2025-12-18,0.6,23.7,19.8
Kandy,2025-12-19,1.1,26.7,20.0
Matale,2025-12-06,0.0,29.8,21.7
Matale,2025-12-07,0.0,29.3,22.2
Matale,2025-12-08,0.0,28.8,22.3
Matale,2025-12-09,0.0,25.2,22.3
Matale,2025-12-10,0.0,26.0,22.0
Matale,2025-12-11,0.0,27.1,22.3
Matale,2025-12-12,0.0,28.4,21.6
Matale,2025-12-13,0.05,26.3,21.8
Matale,2025-12-14,11.17,25.7,19.3
Matale,2025-12-15,0.0,28.1,17.8
Matale,2025-12-16,43.0,22.2,19.7
Matale,2025-12-17,10.3,22.8,19.1
Matale,2025-12-18,0.7,23.9,20.2
Matale,2025-12-19,5.2,27.4,20.2
Nuwara Eliya,2025-12-06,0.0,24.3,13.5
Nuwara Eliya,2025-12-07,0.0,22.8,14.0
Nuwara Eliya,2025-12-08,0.0,23.8,13.1
Nuwara Eliya,2025-12-09,0.0,21.8,15.1
Nuwara Eliya,2025-12-10,0.0,22.2,14.5
Nuwara Eliya,2025-12-11,0.0,23.0,15.5
Nuwara Eliya,2025-12-12,0.0,23.7,13.4
Nuwara Eliya,2025-12-13,0.48,24.2,12.4
Nuwara Eliya,2025-12-14,19.73,16.9,12.3
Nuwara Eliya,2025-12-15,0.0,19.7,11.5
Nuwara Eliya,2025-12-16,14.6,14.0,11.6
Nuwara Eliya,2025-12-17,3.1,15.8,11.3
Nuwara Eliya,2025-12-18,16.5,19.3,13.0
Nuwara Eliya,2025-12-19,3.6,19.0,13.0
Galle,2025-12-06,0.0,27.0,25.8
Galle,2025-12-07,0.0,27.5,26.0
Galle,2025-12-08,0.0,27.8,26.0
Galle,2025-12-09,0.0,27.8,25.7
Galle,2025-12-10,0.0,27.3,26.1
Galle,2025-12-11,0.0,27.4,26.3
Galle,2025-12-12,0.0,27.3,26.0
Galle,2025-12-13,0.0,27.3,25.9
Galle,2025-12-14,1.2,29.4,23.6
Galle,2025-12-15,0.0,28.2,22.6
Galle,2025-12-16,0.0,26.4,23.8
Galle,2025-12-17,0.0,27.8,22.5
Galle,2025-12-18,0.0,28.5,22.8
Galle,2025-12-19,0.0,28.7,22.9
Matara,2025-12-06,0.0,29.5,25.0
Matara,2025-12-07,0.0,29.6,25.1
Matara,2025-12-08,0.0,28.9,25.2
Matara,2025-12-09,0.0,28.7,25.3
Matara,2025-12-10,0.0,29.7,25.3
Matara,2025-12-11,0.0,30.2,25.4
Matara,2025-12-12,0.0,30.3,24.7
Matara,2025-12-13,0.02,29.9,24.5
Matara,2025-12-14,1.9,30.8,22.8
Matara,2025-12-15,0.0,29.7,21.3
Matara,2025-12-16,0.3,26.8,22.4
Matara,2025-12-17,0.0,29.7,21.5
Matara,2025-12-18,0.0,29.6,21.5
Matara,2025-12-19,0.0,31.0,21.9
Hambantota,2025-12-06,0.0,31.7,23.5
Hambantota,2025-12-07,0.0,32.2,23.4
Hambantota,2025-12-08,0.0,32.9,22.3
Hambantota,2025-12-09,0.0,29.5,23.7
Hambantota,2025-12-10,0.0,30.1,23.2
Hambantota,2025-12-11,0.0,31.5,23.9
Hambantota,2025-12-12,0.0,32.7,22.9
Hambantota,2025-12-13,0.05,32.3,22.2
Hambantota,2025-12-14,0.0,29.5,22.0
Hambantota,2025-12-15,0.0,28.5,20.8
Hambantota,2025-12-16,2.1,24.5,22.1
Hambantota,2025-12-17,0.0,29.3,21.0
Hambantota,2025-12-18,0.0,28.7,21.8
Hambantota,2025-12-19,0.0,29.7,22.8
Jaffna,2025-12-06,0.0,27.7,25.9
Jaffna,2025-12-07,0.0,26.8,25.8
Jaffna,2025-12-08,0.0,27.6,26.0
Jaffna,2025-12-09,0.0,26.3,24.9
Jaffna,2025-12-10,0.0,26.2,25.3
Jaffna,2025-12-11,0.0,26.0,25.6
Jaffna,2025-12-12,0.0,26.3,25.7
Jaffna,2025-12-13,0.0,26.3,25.8
Jaffna,2025-12-14,0.0,26.9,23.1
Jaffna,2025-12-15,0.0,26.9,22.6
Jaffna,2025-12-16,2.8,25.6,24.0
Jaffna,2025-12-17,4.1,24.4,23.6
Jaffna,2025-12-18,6.6,23.9,23.2
Jaffna,2025-12-19,0.6,24.5,23.7
Kilinochchi,2025-12-06,0.0,30.3,24.1
Kilinochchi,2025-12-07,0.0,28.7,24.0
Kilinochchi,2025-12-08,0.0,30.3,24.1
Kilinochchi,2025-12-09,0.0,26.2,24.0
Kilinochchi,2025-12-10,0.0,26.9,23.4
Kilinochchi,2025-12-11,0.0,27.4,23.6
Kilinochchi,2025-12-12,0.0,27.1,23.7
Kilinochchi,2025-12-13,0.0,27.2,23.3
Kilinochchi,2025-12-14,0.0,26.8,22.7
Kilinochchi,2025-12-15,0.0,26.8,22.9
Kilinochchi,2025-12-16,15.1,24.8,23.2
Kilinochchi,2025-12-17,26.9,24.7,23.4
Kilinochchi,2025-12-18,19.5,24.1,22.9
Kilinochchi,2025-12-19,2.6,24.4,23.6
Mannar,2025-12-06,0.0,28.0,25.6
Mannar,2025-12-07,0.0,27.1,25.4
Mannar,2025-12-08,0.0,27.6,25.8
Mannar,2025-12-09,0.0,26.4,25.6
Mannar,2025-12-10,0.0,26.2,25.4
Mannar,2025-12-11,0.0,26.6,25.4
Mannar,2025-12-12,0.0,26.3,25.2
Mannar,2025-12-13,0.0,26.4,25.2
Mannar,2025-12-14,0.0,27.9,21.7
Mannar,2025-12-15,0.0,27.8,21.3
Mannar,2025-12-16,8.3,24.7,23.2
Mannar,2025-12-17,57.6,23.8,22.5
Mannar,2025-12-18,11.5,23.7,22.8
Mannar,2025-12-19,0.4,25.8,23.4
Vavuniya,2025-12-06,0.0,31.0,23.0
Vavuniya,2025-12-07,0.0,29.4,23.3
Vavuniya,2025-12-08,0.0,30.8,23.0
Vavuniya,2025-12-09,0.0,26.2,23.4
Vavuniya,2025-12-10,0.0,27.7,22.8
Vavuniya,2025-12-11,0.0,28.3,22.9
Vavuniya,2025-12-12,0.0,28.0,22.6
Vavuniya,2025-12-13,0.0,27.0,22.3
Vavuniya,2025-12-14,0.0,27.4,19.9
Vavuniya,2025-12-15,0.0,28.3,19.0
Vavuniya,2025-12-16,12.2,22.8,21.7
Vavuniya,2025-12-17,76.7,22.8,20.6
Vavuniya,2025-12-18,1.7,23.2,21.8
Vavuniya,2025-12-19,0.6,24.6,22.0
Mullaitivu,2025-12-06,0.0,30.0,24.1
Mullaitivu,2025-12-07,0.0,28.0,23.9
Mullaitivu,2025-12-08,0.0,30.3,23.7
Mullaitivu,2025-12-09,0.4,25.7,24.0
Mullaitivu,2025-12-10,0.0,26.6,23.5
Mullaitivu,2025-12-11,0.0,27.0,23.7
Mullaitivu,2025-12-12,0.0,27.4,23.5
Mullaitivu,2025-12-13,0.0,26.5,23.4
Mullaitivu,2025-12-14,0.0,26.4,22.7
Mullaitivu,2025-12-15,0.0,27.1,22.8
Mullaitivu,2025-12-16,16.9,24.8,23.4
Mullaitivu,2025-12-17,17.9,24.4,23.4
Mullaitivu,2025-12-18,2.7,24.0,23.5
Mullaitivu,2025-12-19,0.4,25.0,23.6
Batticaloa,2025-12-06,0.0,29.9,24.0
Batticaloa,2025-12-07,0.0,29.2,24.0
Batticaloa,2025-12-08,0.0,30.1,24.2
Batticaloa,2025-12-09,0.0,27.8,24.0
Batticaloa,2025-12-10,0.0,27.7,24.2
Batticaloa,2025-12-11,0.0,28.0,24.1
Batticaloa,2025-12-12,0.0,28.4,23.8
Batticaloa,2025-12-13,0.0,27.4,23.8
Batticaloa,2025-12-14,0.0,27.1,24.0
Batticaloa,2025-12-15,0.3,27.0,23.3
Batticaloa,2025-12-16,12.3,24.1,23.0
Batticaloa,2025-12-17,1.9,24.0,22.4
Batticaloa,2025-12-18,0.6,26.8,22.5
Batticaloa,2025-12-19,0.5,27.4,22.8
Ampara,2025-12-06,0.0,31.2,23.5
Ampara,2025-12-07,0.0,30.3,23.5
Ampara,2025-12-08,0.0,30.7,24.2
Ampara,2025-12-09,0.0,28.0,24.3
Ampara,2025-12-10,0.0,27.1,23.9
Ampara,2025-12-11,0.0,28.1,23.5
Ampara,2025-12-12,0.0,29.6,23.1
Ampara,2025-12-13,0.0,27.9,23.5
Ampara,2025-12-14,0.0,27.0,22.3
Ampara,2025-12-15,0.6,27.6,20.6
Ampara,2025-12-16,16.9,23.0,22.3
Ampara,2025-12-17,0.4,24.1,21.7
Ampara,2025-12-18,1.3,28.2,22.0
Ampara,2025-12-19,0.0,28.0,22.7
Trincomalee,2025-12-06,0.0,30.5,23.1
Trincomalee,2025-12-07,0.0,28.9,23.1
Trincomalee,2025-12-08,0.0,30.7,23.2
Trincomalee,2025-12-09,0.0,26.7,23.3
Trincomalee,2025-12-10,0.1,27.0,23.3
Trincomalee,2025-12-11,0.0,27.5,22.9
Trincomalee,2025-12-12,0.0,27.7,22.5
Trincomalee,2025-12-13,0.0,26.6,22.6
Trincomalee,2025-12-14,0.0,27.1,22.7
Trincomalee,2025-12-15,0.0,27.1,23.0
Trincomalee,2025-12-16,16.7,23.9,23.2
Trincomalee,2025-12-17,32.5,24.2,21.5
Trincomalee,2025-12-18,1.8,25.7,21.9
Trincomalee,2025-12-19,1.2,26.1,22.9
Kurunegala,2025-12-06,0.0,32.5,20.9
Kurunegala,2025-12-07,0.0,32.1,22.5
Kurunegala,2025-12-08,0.0,31.5,23.0
Kurunegala,2025-12-09,0.0,28.7,23.6
Kurunegala,2025-12-10,0.0,30.5,22.2
Kurunegala,2025-12-11,0.0,31.2,22.7
Kurunegala,2025-12-12,0.0,31.5,22.1
Kurunegala,2025-12-13,0.0,30.6,22.1
Kurunegala,2025-12-14,7.05,27.6,21.0
Kurunegala,2025-12-15,0.0,29.4,19.3
Kurunegala,2025-12-16,24.3,23.9,21.1
Kurunegala,2025-12-17,10.1,24.2,20.9
Kurunegala,2025-12-18,0.4,25.5,21.4
Kurunegala,2025-12-19,3.2,28.7,21.4
Puttalam,2025-12-06,0.0,29.0,25.0
Puttalam,2025-12-07,0.0,29.2,25.0
Puttalam,2025-12-08,0.0,28.9,24.9
Puttalam,2025-12-09,0.0,27.2,25.2
Puttalam,2025-12-10,0.0,28.1,24.8
Puttalam,2025-12-11,0.0,28.3,24.9
Puttalam,2025-12-12,0.0,28.9,24.5
Puttalam,2025-12-13,0.0,28.2,24.2
Puttalam,2025-12-14,0.0,27.3,23.3
Puttalam,2025-12-15,0.0,27.4,22.5
Puttalam,2025-12-16,5.8,25.6,23.5
Puttalam,2025-12-17,43.3,24.2,23.6
Puttalam,2025-12-18,1.3,25.0,23.5
Puttalam,2025-12-19,3.2,26.5,23.7
Anuradhapura,2025-12-06,0.0,31.5,23.0
Anuradhapura,2025-12-07,0.0,30.7,23.6
Anuradhapura,2025-12-08,0.0,31.0,23.3
Anuradhapura,2025-12-09,0.0,27.4,23.5
Anuradhapura,2025-12-10,0.0,29.5,23.2
Anuradhapura,2025-12-11,0.0,29.1,23.3
Anuradhapura,2025-12-12,0.0,29.9,23.0
Anuradhapura,2025-12-13,0.0,28.4,22.7
Anuradhapura,2025-12-14,0.0,27.4,20.2
Anuradhapura,2025-12-15,0.0,27.9,19.2
Anuradhapura,2025-12-16,20.8,23.0,21.5
Anuradhapura,2025-12-17,43.3,22.4,21.4
Anuradhapura,2025-12-18,0.7,24.5,21.4
Anuradhapura,2025-12-19,0.9,25.9,21.8
Polonnaruwa,2025-12-06,0.0,30.5,23.5
Polonnaruwa,2025-12-07,0.0,29.2,23.4
Polonnaruwa,2025-12-08,0.0,30.3,23.3
Polonnaruwa,2025-12-09,0.0,27.0,23.5
Polonnaruwa,2025-12-10,0.0,26.7,23.5
Polonnaruwa,2025-12-11,0.0,27.1,23.2
Polonnaruwa,2025-12-12,0.0,28.2,23.0
Polonnaruwa,2025-12-13,0.0,26.3,22.9
Polonnaruwa,2025-12-14,0.2,26.7,21.4
Polonnaruwa,2025-12-15,0.0,27.4,20.6
Polonnaruwa,2025-12-16,41.8,23.1,21.9
Polonnaruwa,2025-12-17,23.3,23.0,21.3
Polonnaruwa,2025-12-18,0.3,25.6,22.0
Polonnaruwa,2025-12-19,0.0,27.0,22.0
Badulla,2025-12-06,0.0,25.7,18.4
Badulla,2025-12-07,0.0,25.2,18.6
Badulla,2025-12-08,0.0,24.8,17.8
Badulla,2025-12-09,0.0,23.7,19.0
Badulla,2025-12-10,0.0,22.7,18.7
Badulla,2025-12-11,0.0,24.3,18.8
Badulla,2025-12-12,0.0,25.5,17.9
Badulla,2025-12-13,0.42,24.3,17.6
Badulla,2025-12-14,5.8,20.9,18.0
Badulla,2025-12-15,0.0,23.9,17.4
Badulla,2025-12-16,25.9,20.1,19.1
Badulla,2025-12-17,1.4,21.5,18.0
Badulla,2025-12-18,0.3,25.1,19.5
Badulla,2025-12-19,0.3,24.5,19.4
Monaragala,2025-12-06,0.0,30.1,21.9
Monaragala,2025-12-07,0.0,29.3,21.6
Monaragala,2025-12-08,0.0,29.8,21.6
Monaragala,2025-12-09,0.0,26.8,22.2
Monaragala,2025-12-10,0.0,26.7,21.7
Monaragala,2025-12-11,0.0,28.5,22.4
Monaragala,2025-12-12,0.0,29.8,21.5
Monaragala,2025-12-13,0.0,29.8,21.4
Monaragala,2025-12-14,0.0,25.9,21.3
Monaragala,2025-12-15,0.2,27.8,19.8
Monaragala,2025-12-16,40.7,22.8,21.2
Monaragala,2025-12-17,1.4,24.7,21.3
Monaragala,2025-12-18,4.8,29.5,21.5
Monaragala,2025-12-19,0.0,28.4,22.2
Ratnapura,2025-12-06,0.0,30.8,24.0
Ratnapura,2025-12-07,0.0,31.6,23.7
Ratnapura,2025-12-08,0.0,33.2,23.8
Ratnapura,2025-12-09,0.0,30.7,23.7
Ratnapura,2025-12-10,0.0,30.4,23.1
Ratnapura,2025-12-11,0.0,30.7,24.0
Ratnapura,2025-12-12,0.0,30.6,24.2
Ratnapura,2025-12-13,2.9,32.1,23.6
Ratnapura,2025-12-14,8.35,29.0,21.9
Ratnapura,2025-12-15,0.0,30.3,20.9
Ratnapura,2025-12-16,1.5,27.3,21.5
Ratnapura,2025-12-17,0.0,25.1,20.6
Ratnapura,2025-12-18,0.0,28.6,21.6
Ratnapura,2025-12-19,0.0,31.0,21.8
Kegalle,2025-12-06,0.0,32.2,22.3
Kegalle,2025-12-07,0.0,31.5,23.0
Kegalle,2025-12-08,0.0,31.8,22.8
Kegalle,2025-12-09,0.0,29.4,24.0
Kegalle,2025-12-10,0.0,30.0,22.5
Kegalle,2025-12-11,0.0,30.6,22.6
Kegalle,2025-12-12,0.0,32.6,22.0
Kegalle,2025-12-13,0.0,31.4,22.1
Kegalle,2025-12-14,11.22,28.2,20.9
Kegalle,2025-12-15,0.0,29.6,19.0
Kegalle,2025-12-16,16.6,26.0,20.4
Kegalle,2025-12-17,2.2,25.0,19.9
Kegalle,2025-12-18,1.3,26.0,21.1
Kegalle,2025-12-19,0.5,28.4,21.1
