district,date,rain_sum,temp_max,temp_min
Colombo,2025-12-04,4.9,29.8,23.4
Colombo,2025-12-05,5.9,30.2,23.4
Colombo,2025-12-06,19.8,30.6,22.9
Colombo,2025-12-07,5.5,29.6,22.7
Colombo,2025-12-08,0.4,31.1,23.4
Colombo,2025-12-09,15.3,29.2,23.5
Colombo,2025-12-10,1.8,29.1,23.3
Colombo,2025-12-11,7.0,29.3,23.5
Colombo,2025-12-12,10.4,29.8,22.8
Colombo,2025-12-13,5.4,29.7,23.0
Colombo,2025-12-14,0.8,29.5,23.2
Colombo,2025-12-15,0.5,29.5,22.7
Colombo,2025-12-16,3.4,30.0,23.4
Colombo,2025-12-17,8.6,30.0,23.9
Gampaha,2025-12-04,1.4,31.0,22.4
Gampaha,2025-12-05,14.4,31.2,22.7
Gampaha,2025-12-06,31.2,31.3,21.9
Gampaha,2025-12-07,2.5,31.1,21.2
Gampaha,2025-12-08,3.8,31.0,22.3
Gampaha,2025-12-09,32.4,30.0,22.9
Gampaha,2025-12-10,2.2,28.6,22.8
Gampaha,2025-12-11,2.4,29.1,23.1
Gampaha,2025-12-12,17.6,30.7,22.0
Gampaha,2025-12-13,5.4,30.0,22.5
Gampaha,2025-12-14,1.1,29.4,22.7
Gampaha,2025-12-15,0.5,29.4,22.1
Gampaha,2025-12-16,6.2,30.9,23.1
Gampaha,2025-12-17,16.3,29.9,23.3
Kalutara,2025-12-04,9.5,30.3,22.3
Kalutara,2025-12-05,10.9,30.4,21.9
Kalutara,2025-12-06,31.7,29.9,21.6
Kalutara,2025-12-07,15.5,31.0,21.2
Kalutara,2025-12-08,0.7,31.5,21.9
Kalutara,2025-12-09,8.2,30.5,22.1
Kalutara,2025-12-10,11.2,27.5,22.4
Kalutara,2025-12-11,18.4,30.2,21.4
Kalutara,2025-12-12,8.5,29.5,21.7
Kalutara,2025-12-13,16.2,29.8,21.9
Kalutara,2025-12-14,12.9,30.4,21.5
Kalutara,2025-12-15,0.2,30.3,20.6
Kalutara,2025-12-16,6.6,31.0,21.4
Kalutara,2025-12-17,20.6,29.0,22.9
Kandy,2025-12-04,0.8,29.3,20.2
Kandy,2025-12-05,1.4,28.3,20.0
Kandy,2025-12-06,3.7,28.1,19.9
Kandy,2025-12-07,0.7,29.3,19.4
Kandy,2025-12-08,0.0,29.6,19.4
Kandy,2025-12-09,1.6,27.7,20.4
Kandy,2025-12-10,15.0,26.7,20.9
Kandy,2025-12-11,20.2,26.6,20.5
Kandy,2025-12-12,7.8,27.9,20.7
Kandy,2025-12-13,15.4,28.4,20.6
Kandy,2025-12-14,0.7,27.7,21.2
Kandy,2025-12-15,0.7,28.7,20.4
Kandy,2025-12-16,0.6,28.8,21.2
Kandy,2025-12-17,2.3,26.9,21.5
Matale,2025-12-04,1.2,30.3,20.4
Matale,2025-12-05,1.8,29.0,20.2
Matale,2025-12-06,2.5,29.5,18.9
Matale,2025-12-07,0.5,30.7,20.4
Matale,2025-12-08,0.0,29.8,20.2
Matale,2025-12-09,5.4,27.7,21.2
Matale,2025-12-10,20.9,27.5,21.1
Matale,2025-12-11,4.1,26.9,21.0
Matale,2025-12-12,3.5,29.0,20.5
Matale,2025-12-13,2.7,27.4,21.0
Matale,2025-12-14,0.9,27.3,20.6
Matale,2025-12-15,1.0,27.4,21.1
Matale,2025-12-16,13.2,30.3,20.4
Matale,2025-12-17,3.7,28.2,20.8
Nuwara Eliya,2025-12-04,0.8,21.4,11.5
Nuwara Eliya,2025-12-05,8.4,20.9,12.4
Nuwara Eliya,2025-12-06,6.6,18.3,11.6
Nuwara Eliya,2025-12-07,1.0,20.7,11.0
Nuwara Eliya,2025-12-08,4.7,20.7,11.2
Nuwara Eliya,2025-12-09,3.4,20.1,10.8
Nuwara Eliya,2025-12-10,3.4,18.0,12.4
Nuwara Eliya,2025-12-11,9.9,17.8,12.4
Nuwara Eliya,2025-12-12,6.3,19.7,13.1
Nuwara Eliya,2025-12-13,2.4,20.0,12.0
Nuwara Eliya,2025-12-14,1.6,19.2,12.7
Nuwara Eliya,2025-12-15,0.1,20.3,11.0
Nuwara Eliya,2025-12-16,1.0,20.0,12.2
Nuwara Eliya,2025-12-17,17.9,18.3,13.5
Galle,2025-12-04,3.9,30.6,22.2
Galle,2025-12-05,4.3,31.6,23.2
Galle,2025-12-06,9.2,29.7,23.0
Galle,2025-12-07,16.8,30.4,22.3
Galle,2025-12-08,2.7,29.4,23.2
Galle,2025-12-09,13.7,30.5,23.0
Galle,2025-12-10,1.0,29.0,23.7
Galle,2025-12-11,12.8,28.9,23.1
Galle,2025-12-12,6.1,29.9,22.7
Galle,2025-12-13,11.8,29.5,22.6
Galle,2025-12-14,4.7,29.2,22.7
Galle,2025-12-15,0.0,29.7,22.2
Galle,2025-12-16,2.1,29.9,22.2
Galle,2025-12-17,14.0,29.4,23.2
Matara,2025-12-04,3.6,28.6,24.0
Matara,2025-12-05,13.3,29.0,24.7
Matara,2025-12-06,15.9,28.7,24.2
Matara,2025-12-07,2.8,28.5,23.8
Matara,2025-12-08,0.5,27.9,24.2
Matara,2025-12-09,3.0,28.1,24.9
Matara,2025-12-10,1.8,27.9,25.1
Matara,2025-12-11,12.8,27.3,24.4
Matara,2025-12-12,2.6,29.1,23.7
Matara,2025-12-13,1.6,27.6,23.9
Matara,2025-12-14,1.1,27.9,23.8
Matara,2025-12-15,0.0,28.6,22.9
Matara,2025-12-16,0.4,28.8,25.4
Matara,2025-12-17,4.8,28.1,25.0
Hambantota,2025-12-04,2.1,29.8,24.4
Hambantota,2025-12-05,9.5,30.0,24.0
Hambantota,2025-12-06,7.5,29.4,23.9
Hambantota,2025-12-07,4.5,29.9,23.8
Hambantota,2025-12-08,0.4,31.4,23.8
Hambantota,2025-12-09,13.0,28.4,23.7
Hambantota,2025-12-10,1.4,28.2,23.7
Hambantota,2025-12-11,35.4,27.8,23.6
Hambantota,2025-12-12,3.1,29.7,23.6
Hambantota,2025-12-13,0.9,30.3,24.2
Hambantota,2025-12-14,2.5,30.2,24.5
Hambantota,2025-12-15,0.7,29.1,23.2
Hambantota,2025-12-16,1.5,30.0,23.8
Hambantota,2025-12-17,4.5,27.4,23.9
Jaffna,2025-12-04,3.1,29.9,24.0
Jaffna,2025-12-05,11.2,29.9,22.9
Jaffna,2025-12-06,6.4,30.4,23.0
Jaffna,2025-12-07,3.1,28.3,23.4
Jaffna,2025-12-08,0.8,28.7,24.6
Jaffna,2025-12-09,14.2,27.0,23.3
Jaffna,2025-12-10,23.1,25.5,22.7
Jaffna,2025-12-11,4.7,26.8,24.0
Jaffna,2025-12-12,10.1,26.9,23.3
Jaffna,2025-12-13,0.0,27.9,24.1
Jaffna,2025-12-14,0.0,27.6,23.4
Jaffna,2025-12-15,2.9,26.9,22.9
Jaffna,2025-12-16,8.0,27.7,22.8
Jaffna,2025-12-17,4.6,28.3,24.1
Kilinochchi,2025-12-04,4.7,29.2,23.0
Kilinochchi,2025-12-05,3.6,29.8,23.4
Kilinochchi,2025-12-06,8.6,30.4,23.3
Kilinochchi,2025-12-07,8.8,27.8,23.8
Kilinochchi,2025-12-08,0.9,28.8,24.2
Kilinochchi,2025-12-09,21.9,26.8,22.8
Kilinochchi,2025-12-10,40.4,26.3,23.1
Kilinochchi,2025-12-11,20.7,26.8,23.3
Kilinochchi,2025-12-12,28.4,26.7,22.6
Kilinochchi,2025-12-13,1.0,28.0,23.6
Kilinochchi,2025-12-14,1.0,27.6,23.0
Kilinochchi,2025-12-15,4.8,27.7,22.6
Kilinochchi,2025-12-16,13.2,28.1,22.7
Kilinochchi,2025-12-17,10.8,28.5,23.7
Mannar,2025-12-04,4.1,29.8,23.5
Mannar,2025-12-05,1.8,29.3,24.4
Mannar,2025-12-06,0.8,31.5,24.6
Mannar,2025-12-07,2.6,28.2,23.7
Mannar,2025-12-08,0.9,29.5,25.0
Mannar,2025-12-09,10.2,27.7,23.6
Mannar,2025-12-10,11.2,26.5,23.6
Mannar,2025-12-11,8.8,26.9,23.7
Mannar,2025-12-12,4.9,27.0,23.5
Mannar,2025-12-13,0.6,28.5,24.3
Mannar,2025-12-14,1.2,27.9,24.2
Mannar,2025-12-15,1.1,26.9,23.9
Mannar,2025-12-16,9.8,28.2,23.0
Mannar,2025-12-17,2.0,28.7,24.2
Vavuniya,2025-12-04,3.0,29.4,22.5
Vavuniya,2025-12-05,3.3,28.8,22.8
Vavuniya,2025-12-06,0.1,30.1,23.8
Vavuniya,2025-12-07,4.0,28.5,22.8
Vavuniya,2025-12-08,0.3,29.3,22.5
Vavuniya,2025-12-09,11.5,25.9,22.3
Vavuniya,2025-12-10,14.1,25.3,22.2
Vavuniya,2025-12-11,15.9,25.6,22.4
Vavuniya,2025-12-12,14.4,28.0,22.4
Vavuniya,2025-12-13,6.8,25.7,22.5
Vavuniya,2025-12-14,0.7,27.7,21.4
Vavuniya,2025-12-15,2.3,27.2,21.1
Vavuniya,2025-12-16,3.5,27.6,22.2
Vavuniya,2025-12-17,10.9,26.4,22.9
Mullaitivu,2025-12-04,11.4,28.1,24.1
Mullaitivu,2025-12-05,2.0,29.6,25.4
Mullaitivu,2025-12-06,8.3,29.7,24.5
Mullaitivu,2025-12-07,6.0,28.1,24.5
Mullaitivu,2025-12-08,3.4,28.6,25.8
Mullaitivu,2025-12-09,30.4,26.2,24.1
Mullaitivu,2025-12-10,28.2,25.7,23.9
Mullaitivu,2025-12-11,21.4,26.0,23.7
Mullaitivu,2025-12-12,28.1,27.0,23.6
Mullaitivu,2025-12-13,4.7,26.5,24.2
Mullaitivu,2025-12-14,2.2,27.1,23.7
Mullaitivu,2025-12-15,11.3,27.1,23.5
Mullaitivu,2025-12-16,16.7,27.4,23.6
Mullaitivu,2025-12-17,9.3,27.0,24.3
Batticaloa,2025-12-04,11.8,29.9,23.5
Batticaloa,2025-12-05,15.9,27.6,23.7
Batticaloa,2025-12-06,0.5,30.4,23.2
Batticaloa,2025-12-07,12.3,29.3,23.4
Batticaloa,2025-12-08,3.5,29.8,23.6
Batticaloa,2025-12-09,25.1,26.8,24.2
Batticaloa,2025-12-10,45.1,26.8,23.4
Batticaloa,2025-12-11,17.8,26.6,23.6
Batticaloa,2025-12-12,3.9,29.2,23.7
Batticaloa,2025-12-13,6.1,27.5,23.6
Batticaloa,2025-12-14,7.2,27.5,23.3
Batticaloa,2025-12-15,17.4,27.6,23.3
Batticaloa,2025-12-16,3.8,27.5,23.1
Batticaloa,2025-12-17,34.2,26.6,23.5
Ampara,2025-12-04,12.0,30.2,22.9
Ampara,2025-12-05,18.6,28.2,22.7
Ampara,2025-12-06,2.5,29.9,22.9
Ampara,2025-12-07,7.8,29.2,22.8
Ampara,2025-12-08,0.4,29.8,23.0
Ampara,2025-12-09,31.0,27.0,23.0
Ampara,2025-12-10,32.0,27.1,22.5
Ampara,2025-12-11,38.7,27.0,22.6
Ampara,2025-12-12,2.7,29.1,22.6
Ampara,2025-12-13,2.4,28.3,22.6
Ampara,2025-12-14,3.4,27.2,22.4
Ampara,2025-12-15,4.0,27.7,22.2
Ampara,2025-12-16,4.2,28.7,22.3
Ampara,2025-12-17,25.5,25.5,22.6
Trincomalee,2025-12-04,14.3,28.6,23.4
Trincomalee,2025-12-05,3.5,28.9,24.8
Trincomalee,2025-12-06,1.4,30.0,25.5
Trincomalee,2025-12-07,5.4,28.9,24.2
Trincomalee,2025-12-08,0.8,28.9,24.3
Trincomalee,2025-12-09,37.4,25.8,23.8
Trincomalee,2025-12-10,21.5,26.3,23.5
Trincomalee,2025-12-11,13.7,26.8,23.4
Trincomalee,2025-12-12,4.7,29.1,24.0
Trincomalee,2025-12-13,27.8,25.4,23.8
Trincomalee,2025-12-14,3.4,27.5,23.0
Trincomalee,2025-12-15,12.6,27.5,23.3
Trincomalee,2025-12-16,9.7,27.4,23.7
Trincomalee,2025-12-17,13.3,26.8,23.7
Kurunegala,2025-12-04,0.6,30.8,22.3
Kurunegala,2025-12-05,2.9,30.0,21.8
Kurunegala,2025-12-06,4.5,30.3,20.8
Kurunegala,2025-12-07,0.3,31.3,22.4
Kurunegala,2025-12-08,0.0,30.5,22.2
Kurunegala,2025-12-09,7.7,28.5,22.6
Kurunegala,2025-12-10,7.5,27.9,22.3
Kurunegala,2025-12-11,6.5,27.6,22.5
Kurunegala,2025-12-12,3.8,29.6,22.1
Kurunegala,2025-12-13,1.4,27.7,22.8
Kurunegala,2025-12-14,0.6,28.0,22.3
Kurunegala,2025-12-15,1.5,28.2,22.3
Kurunegala,2025-12-16,2.4,30.3,22.3
Kurunegala,2025-12-17,0.7,28.6,22.5
Puttalam,2025-12-04,11.9,29.5,23.2
Puttalam,2025-12-05,16.6,29.8,23.2
Puttalam,2025-12-06,1.0,30.8,22.9
Puttalam,2025-12-07,3.4,30.0,23.4
Puttalam,2025-12-08,0.3,30.7,23.4
Puttalam,2025-12-09,10.6,28.7,23.1
Puttalam,2025-12-10,8.7,27.5,23.2
Puttalam,2025-12-11,4.1,28.8,23.3
Puttalam,2025-12-12,11.0,28.8,23.0
Puttalam,2025-12-13,8.5,28.7,22.8
Puttalam,2025-12-14,1.9,28.3,22.0
Puttalam,2025-12-15,0.8,29.0,21.2
Puttalam,2025-12-16,10.2,30.0,23.1
Puttalam,2025-12-17,10.9,29.0,23.9
Anuradhapura,2025-12-04,1.5,30.0,22.8
Anuradhapura,2025-12-05,16.3,27.8,22.7
Anuradhapura,2025-12-06,0.1,30.3,22.8
Anuradhapura,2025-12-07,4.3,29.1,23.1
Anuradhapura,2025-12-08,0.4,29.5,22.7
Anuradhapura,2025-12-09,16.3,27.3,22.6
Anuradhapura,2025-12-10,9.5,27.2,22.8
Anuradhapura,2025-12-11,19.4,27.0,22.9
Anuradhapura,2025-12-12,18.8,27.9,22.5
Anuradhapura,2025-12-13,14.7,26.5,22.6
Anuradhapura,2025-12-14,2.5,28.1,21.7
Anuradhapura,2025-12-15,2.3,27.8,21.0
Anuradhapura,2025-12-16,10.8,28.7,22.2
Anuradhapura,2025-12-17,8.9,27.2,23.0
Polonnaruwa,2025-12-04,7.2,30.4,22.7
Polonnaruwa,2025-12-05,30.6,27.4,22.4
Polonnaruwa,2025-12-06,1.6,30.3,21.7
Polonnaruwa,2025-12-07,11.0,30.0,22.6
Polonnaruwa,2025-12-08,0.7,30.1,22.3
Polonnaruwa,2025-12-09,22.2,26.2,22.9
Polonnaruwa,2025-12-10,27.1,26.8,22.7
Polonnaruwa,2025-12-11,18.3,27.6,22.6
Polonnaruwa,2025-12-12,5.1,29.0,22.3
Polonnaruwa,2025-12-13,20.8,25.9,22.8
Polonnaruwa,2025-12-14,5.9,27.2,21.9
Polonnaruwa,2025-12-15,6.6,28.3,22.1
Polonnaruwa,2025-12-16,9.0,28.7,22.2
Polonnaruwa,2025-12-17,20.7,25.6,23.0
Badulla,2025-12-04,3.4,26.9,19.6
Badulla,2025-12-05,10.0,24.9,19.9
Badulla,2025-12-06,8.7,25.7,19.1
Badulla,2025-12-07,7.5,26.6,18.4
Badulla,2025-12-08,2.9,25.6,18.9
Badulla,2025-12-09,7.9,23.5,20.1
Badulla,2025-12-10,12.9,24.6,19.8
Badulla,2025-12-11,28.6,23.6,19.9
Badulla,2025-12-12,8.2,25.1,20.5
Badulla,2025-12-13,9.6,25.0,19.4
Badulla,2025-12-14,13.5,23.2,20.0
Badulla,2025-12-15,6.7,23.9,19.9
Badulla,2025-12-16,2.6,27.3,20.3
Badulla,2025-12-17,36.1,22.9,20.0
Monaragala,2025-12-04,9.8,30.5,22.1
Monaragala,2025-12-05,21.9,28.6,21.9
Monaragala,2025-12-06,6.6,29.0,22.5
Monaragala,2025-12-07,2.4,29.8,22.0
Monaragala,2025-12-08,0.0,30.8,22.4
Monaragala,2025-12-09,7.6,27.9,21.9
Monaragala,2025-12-10,17.1,28.0,21.8
Monaragala,2025-12-11,20.3,27.2,22.1
Monaragala,2025-12-12,2.0,28.5,22.1
Monaragala,2025-12-13,1.9,28.0,22.6
Monaragala,2025-12-14,1.5,28.5,22.5
Monaragala,2025-12-15,0.3,29.5,22.8
Monaragala,2025-12-16,2.6,30.0,22.3
Monaragala,2025-12-17,16.4,24.9,22.5
Ratnapura,2025-12-04,10.4,31.7,22.5
Ratnapura,2025-12-05,13.4,31.5,22.8
Ratnapura,2025-12-06,4.1,31.1,22.4
Ratnapura,2025-12-07,2.8,31.9,21.8
Ratnapura,2025-12-08,2.3,30.8,22.9
Ratnapura,2025-12-09,5.1,31.0,22.4
Ratnapura,2025-12-10,8.1,28.8,22.7
Ratnapura,2025-12-11,13.8,29.7,21.8
Ratnapura,2025-12-12,9.2,29.4,21.8
Ratnapura,2025-12-13,4.4,30.7,22.2
Ratnapura,2025-12-14,6.6,30.3,22.2
Ratnapura,2025-12-15,0.0,31.1,20.8
Ratnapura,2025-12-16,8.6,31.6,21.7
Ratnapura,2025-12-17,28.7,29.2,22.7
Kegalle,2025-12-04,1.0,30.4,21.9
Kegalle,2025-12-05,7.9,30.4,21.3
Kegalle,2025-12-06,9.8,30.3,20.7
Kegalle,2025-12-07,7.4,30.7,20.2
Kegalle,2025-12-08,0.2,30.8,20.9
Kegalle,2025-12-09,16.3,28.7,21.9
Kegalle,2025-12-10,20.2,26.7,21.9
Kegalle,2025-12-11,5.8,28.4,21.9
Kegalle,2025-12-12,12.7,29.4,21.3
Kegalle,2025-12-13,2.4,28.9,21.3
Kegalle,2025-12-14,0.7,28.7,21.4
Kegalle,2025-12-15,0.3,28.7,21.4
Kegalle,2025-12-16,3.4,29.9,21.5
Kegalle,2025-12-17,4.2,29.2,21.9
